pack,tier,predicate_kind,predicate_coord,arena_size,nearest_actor_coord,nearest_actor_type,distance,defect_class,recommendation
def-multi-direction,hard,units_in_region_gte,"(36,20,r=5)",128x40,"(28,16)",e1(enemy),8,OK,OK
def-multi-direction,hard,units_in_region_gte,"(92,20,r=5)",128x40,"(100,16)",e1(enemy),8,OK,OK
def-multi-direction,hard,units_in_region_gte,"(36,32,r=5)",128x40,"(28,24)",e1(enemy),8,OK,OK
def-multi-direction,hard,units_in_region_gte,"(92,32,r=5)",128x40,"(100,24)",e1(enemy),8,OK,OK
def-pre-position-mobile-reserve,easy,units_in_region_gte,"(60,12,r=10)",80x40,"(72,10)",e1(enemy),12,OK,OK
def-pre-position-mobile-reserve,medium,units_in_region_gte,"(60,14,r=12)",80x40,"(72,10)",e1(enemy),12,OK,OK
def-pre-position-mobile-reserve,medium,units_in_region_gte,"(60,26,r=12)",80x40,"(72,30)",e1(enemy),12,OK,OK
def-pre-position-mobile-reserve,hard,units_in_region_gte,"(60,12,r=10)",80x40,"(72,10)",e1(enemy),12,OK,OK
def-pre-position-mobile-reserve,hard,units_in_region_gte,"(65,20,r=12)",80x40,"(74,20)",e1(enemy),9,OK,OK
def-pre-position-mobile-reserve,hard,units_in_region_gte,"(60,28,r=10)",80x40,"(72,30)",e1(enemy),12,OK,OK
def-reinforce-the-breach,easy,units_in_region_gte,"(62,28,r=12)",88x40,"(78,12)",e1(enemy),16,OK,OK
def-reinforce-the-breach,medium,units_in_region_gte,"(62,28,r=12)",88x40,"(78,12)",e1(enemy),16,OK,OK
def-reinforce-the-breach,hard,units_in_region_gte,"(62,28,r=12)",88x40,"(78,12)",e1(enemy),16,OK,OK
def-retreat-and-rebuild,easy,building_in_region,"(10,20,r=8)",136x40,"(6,20)",powr(agent),4,OK,OK
def-retreat-and-rebuild,easy,building_in_region,"(10,20,r=8)",136x40,"(6,20)",powr(agent),4,OK,OK
def-retreat-and-rebuild,medium,building_in_region,"(10,20,r=8)",136x40,"(6,20)",powr(agent),4,OK,OK
def-retreat-and-rebuild,medium,building_in_region,"(10,20,r=8)",136x40,"(6,20)",powr(agent),4,OK,OK
def-retreat-and-rebuild,hard,building_in_region,"(10,14,r=8)",136x40,"(6,14)",powr(agent),4,OK,OK
def-retreat-and-rebuild,hard,building_in_region,"(10,14,r=8)",136x40,"(6,14)",powr(agent),4,OK,OK
def-retreat-and-rebuild,hard,building_in_region,"(10,26,r=8)",136x40,"(6,26)",powr(agent),4,OK,OK
def-retreat-and-rebuild,hard,building_in_region,"(10,26,r=8)",136x40,"(6,26)",powr(agent),4,OK,OK
def-tower-line-vs-cluster,easy,building_in_region,"(60,4,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,easy,building_in_region,"(60,12,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,easy,building_in_region,"(60,28,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,easy,building_in_region,"(60,36,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,medium,building_in_region,"(60,20,r=5)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,hard,building_in_region,"(60,20,r=5)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,hard,building_in_region,"(60,4,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,hard,building_in_region,"(60,12,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,hard,building_in_region,"(60,28,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
def-tower-line-vs-cluster,hard,building_in_region,"(60,36,r=3)",112x40,"(14,18)",tent(agent),46,OK,OK
econ-deny-enemy-expansion,easy,enemy_key_buildings_destroyed_in_region,"(60,20,r=6)",136x40,"(60,20)",proc(enemy),0,OK,OK
econ-deny-enemy-expansion,medium,enemy_key_buildings_destroyed_in_region,"(60,20,r=6)",136x40,"(60,20)",proc(enemy),0,OK,OK
econ-deny-enemy-expansion,hard,enemy_key_buildings_destroyed_in_region,"(60,20,r=6)",136x40,"(60,20)",proc(enemy),0,OK,OK
econ-far-patch-vs-near-patch,hard,units_of_type_in_region_gte,"(16,14,r=8)",128x48,"(16,14)",mine(neutral),0,OK,OK
econ-far-patch-vs-near-patch,hard,units_of_type_in_region_gte,"(16,28,r=8)",128x48,"(16,28)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,easy,units_of_type_in_region_gte,"(16,18,r=6)",128x48,"(16,18)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,easy,units_of_type_in_region_gte,"(60,18,r=6)",128x48,"(60,18)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,medium,units_of_type_in_region_gte,"(16,18,r=6)",128x48,"(16,18)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,medium,units_of_type_in_region_gte,"(80,18,r=6)",128x48,"(80,18)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,hard,units_of_type_in_region_gte,"(16,14,r=6)",128x48,"(16,14)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,hard,units_of_type_in_region_gte,"(80,14,r=6)",128x48,"(80,14)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,hard,units_of_type_in_region_gte,"(16,28,r=6)",128x48,"(16,28)",mine(neutral),0,OK,OK
econ-harvester-pathing-optimization,hard,units_of_type_in_region_gte,"(80,28,r=6)",128x48,"(80,28)",mine(neutral),0,OK,OK
expansion-balanced-2-base-defended,easy,building_in_region,"(130,15,r=8)",160x60,"(18,20)",powr(agent),112,OK,OK
expansion-balanced-2-base-defended,medium,building_in_region,"(130,15,r=8)",160x60,"(18,20)",powr(agent),112,OK,OK
expansion-balanced-2-base-defended,hard,building_in_region,"(130,15,r=8)",160x60,"(18,20)",powr(agent),112,OK,OK
expansion-balanced-2-base-defended,hard,building_in_region,"(130,45,r=8)",160x60,"(18,20)",powr(agent),112,OK,OK
lh-build-army-coordinate-multifront-attack,easy,enemy_key_buildings_destroyed_in_region,"(130,15,r=8)",160x60,"(130,15)",fact(enemy),0,OK,OK
lh-build-army-coordinate-multifront-attack,easy,enemy_key_buildings_destroyed_in_region,"(130,45,r=8)",160x60,"(130,45)",fact(enemy),0,OK,OK
lh-build-army-coordinate-multifront-attack,medium,enemy_key_buildings_destroyed_in_region,"(130,15,r=8)",160x60,"(130,15)",fact(enemy),0,OK,OK
lh-build-army-coordinate-multifront-attack,medium,enemy_key_buildings_destroyed_in_region,"(130,45,r=8)",160x60,"(130,45)",fact(enemy),0,OK,OK
lh-build-army-coordinate-multifront-attack,hard,enemy_key_buildings_destroyed_in_region,"(130,15,r=8)",160x60,"(130,15)",fact(enemy),0,OK,OK
lh-build-army-coordinate-multifront-attack,hard,enemy_key_buildings_destroyed_in_region,"(130,45,r=8)",160x60,"(130,45)",fact(enemy),0,OK,OK
lh-credit-only-final-phase,easy,enemy_key_buildings_destroyed_in_region,"(130,30,r=8)",160x60,"(130,30)",fact(enemy),0,OK,OK
lh-credit-only-final-phase,medium,enemy_key_buildings_destroyed_in_region,"(130,30,r=8)",160x60,"(130,30)",fact(enemy),0,OK,OK
lh-credit-only-final-phase,hard,enemy_key_buildings_destroyed_in_region,"(130,30,r=8)",160x60,"(130,30)",fact(enemy),0,OK,OK
lh-opening-to-defense-to-counter,easy,enemy_key_buildings_destroyed_in_region,"(85,20,r=8)",96x40,"(85,20)",fact(enemy),0,OK,OK
lh-opening-to-defense-to-counter,medium,enemy_key_buildings_destroyed_in_region,"(85,20,r=8)",96x40,"(85,20)",fact(enemy),0,OK,OK
lh-opening-to-defense-to-counter,hard,enemy_key_buildings_destroyed_in_region,"(85,20,r=8)",96x40,"(85,20)",fact(enemy),0,OK,OK
lh-tech-pivot-attack,easy,units_of_type_in_region_gte,"(80,18,r=10)",96x40,"(82,18)",fact(enemy),2,OK,OK
lh-tech-pivot-attack,medium,units_of_type_in_region_gte,"(80,5,r=10)",96x40,"(82,5)",fact(enemy),2,OK,OK
lh-tech-pivot-attack,medium,units_of_type_in_region_gte,"(80,38,r=10)",96x40,"(82,38)",fact(enemy),2,D2,"fix predicate: coord (80,38) out of arena 96x40 cordon=2"
lh-tech-pivot-attack,hard,units_of_type_in_region_gte,"(80,5,r=10)",96x40,"(82,5)",fact(enemy),2,OK,OK
lh-tech-pivot-attack,hard,units_of_type_in_region_gte,"(80,38,r=10)",96x40,"(82,38)",fact(enemy),2,D2,"fix predicate: coord (80,38) out of arena 96x40 cordon=2"
longhorizon-opening-to-assault,easy,reach_region,"(80,20,r=8)",96x40,"(80,18)",fact(enemy),2,OK,OK
longhorizon-opening-to-assault,medium,reach_region,"(80,20,r=7)",96x40,"(80,18)",fact(enemy),2,OK,OK
longhorizon-opening-to-assault,hard,reach_region,"(80,20,r=6)",96x40,"(80,18)",fact(enemy),2,OK,OK
mcv-deploy-relocate-under-pressure,easy,building_in_region,"(60,8,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,easy,building_in_region,"(60,32,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,easy,building_in_region,"(60,8,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,easy,building_in_region,"(60,32,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,medium,building_in_region,"(60,8,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,medium,building_in_region,"(60,32,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,medium,building_in_region,"(60,8,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,medium,building_in_region,"(60,32,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(60,8,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(60,32,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(40,8,r=8)",120x40,"(14,18)",tent(agent),26,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(40,32,r=8)",120x40,"(14,18)",tent(agent),26,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(60,8,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(60,32,r=8)",120x40,"(14,18)",tent(agent),46,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(40,8,r=8)",120x40,"(14,18)",tent(agent),26,OK,OK
mcv-deploy-relocate-under-pressure,hard,building_in_region,"(40,32,r=8)",120x40,"(14,18)",tent(agent),26,OK,OK
mfb-supply-line-link-between-bases,easy,units_in_region_gte,"(50,20,r=6)",160x60,"(42,6)",e1(enemy),14,OK,OK
mfb-supply-line-link-between-bases,medium,units_in_region_gte,"(50,20,r=6)",160x60,"(40,6)",e1(enemy),14,OK,OK
mfb-supply-line-link-between-bases,hard,building_in_region,"(15,12,r=6)",160x60,"(15,12)",fact(agent),0,OK,OK
mfb-supply-line-link-between-bases,hard,units_in_region_gte,"(50,12,r=6)",160x60,"(50,4)",e1(enemy),8,OK,OK
mfb-supply-line-link-between-bases,hard,building_in_region,"(15,28,r=6)",160x60,"(15,28)",fact(agent),0,OK,OK
mfb-supply-line-link-between-bases,hard,units_in_region_gte,"(50,28,r=6)",160x60,"(50,36)",e1(enemy),8,OK,OK
mfb-tech-base-vs-economy-base,easy,building_in_region,"(20,20,r=10)",160x80,"(20,20)",fact(agent),0,OK,OK
mfb-tech-base-vs-economy-base,easy,building_in_region,"(140,60,r=10)",160x80,"(140,60)",fact(agent),0,OK,OK
mfb-tech-base-vs-economy-base,medium,building_in_region,"(20,20,r=10)",160x80,"(20,20)",fact(agent),0,OK,OK
mfb-tech-base-vs-economy-base,medium,building_in_region,"(140,60,r=10)",160x80,"(140,60)",fact(agent),0,OK,OK
mfb-tech-base-vs-economy-base,hard,building_in_region,"(20,20,r=10)",160x80,"(20,20)",fact(agent),0,OK,OK
mfb-tech-base-vs-economy-base,hard,building_in_region,"(140,60,r=10)",160x80,"(140,60)",fact(agent),0,OK,OK
mfb-third-base-against-clock,easy,building_in_region,"(90,20,r=8)",128x40,"(53,20)",proc(agent),37,OK,OK
mfb-third-base-against-clock,medium,building_in_region,"(90,20,r=8)",128x40,"(53,20)",proc(agent),37,OK,OK
mfb-third-base-against-clock,hard,building_in_region,"(90,20,r=8)",128x64,"(53,20)",proc(agent),37,OK,OK
mfb-third-base-against-clock,hard,building_in_region,"(90,50,r=8)",128x64,"(53,20)",proc(agent),37,OK,OK
proc-conditional-branch-action,easy,enemy_key_buildings_destroyed_in_region,"(20,4,r=12)",128x48,"(20,4)",tent(enemy),0,OK,OK
proc-conditional-branch-action,easy,enemy_key_buildings_destroyed_in_region,"(20,36,r=12)",128x48,"(20,4)",tent(enemy),32,D1,"fix predicate to match actor at (20,4) [d=32, r=12]"
proc-conditional-branch-action,medium,enemy_key_buildings_destroyed_in_region,"(20,4,r=12)",128x48,"(20,4)",tent(enemy),0,OK,OK
proc-conditional-branch-action,medium,enemy_key_buildings_destroyed_in_region,"(20,36,r=12)",128x48,"(20,4)",tent(enemy),32,D1,"fix predicate to match actor at (20,4) [d=32, r=12]"
proc-conditional-branch-action,hard,enemy_key_buildings_destroyed_in_region,"(20,4,r=12)",128x48,"(20,4)",tent(enemy),0,OK,OK
proc-conditional-branch-action,hard,enemy_key_buildings_destroyed_in_region,"(20,36,r=12)",128x48,"(20,36)",tent(enemy),0,OK,OK
proc-instruction-following-edge-case,easy,units_of_type_in_region_gte,"(90,20,r=6)",32x48,"(10,20)",2tnk(agent),80,D2,"fix predicate: coord (90,20) out of arena 32x48 cordon=0"
proc-instruction-following-edge-case,medium,units_of_type_in_region_gte,"(90,20,r=6)",32x48,"(10,20)",2tnk(agent),80,D2,"fix predicate: coord (90,20) out of arena 32x48 cordon=0"
proc-instruction-following-edge-case,medium,units_of_type_in_region_gte,"(8,20,r=6)",32x48,"(8,20)",2tnk(agent),0,OK,OK
proc-instruction-following-edge-case,medium,units_of_type_in_region_gte,"(8,20,r=6)",32x48,"(8,20)",2tnk(agent),0,OK,OK
proc-instruction-following-edge-case,hard,units_of_type_in_region_gte,"(90,20,r=6)",32x48,"(10,20)",2tnk(agent),80,D2,"fix predicate: coord (90,20) out of arena 32x48 cordon=0"
proc-instruction-following-edge-case,hard,units_of_type_in_region_gte,"(8,20,r=6)",32x48,"(8,20)",2tnk(agent),0,OK,OK
proc-instruction-following-edge-case,hard,units_of_type_in_region_gte,"(8,20,r=6)",32x48,"(8,20)",2tnk(agent),0,OK,OK
proc-no-attack-passive-only,easy,reach_region,"(110,20,r=6)",104x32,"(55,18)",gun(enemy),55,D2,"fix predicate: coord (110,20) out of arena 104x32 cordon=0"
proc-no-attack-passive-only,medium,reach_region,"(110,20,r=6)",104x32,"(75,18)",gun(enemy),35,D2,"fix predicate: coord (110,20) out of arena 104x32 cordon=0"
