"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget"
"coord-mutual-support","medium","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","6× medium tank @(6,17-22)","Two bracketing rocket clusters (3× e3 @(34-36,24) + 3× e3 @(42-44,16)) + 5× rocket cluster around (60,20); sentinel fact @(120,20)","static (st2 rocket clusters along the lane)","","Commander, this is a mutual-support advance through bracketing rocket fire. You are given 6 medium tanks tightly packed at the west edge. Two harasser clusters bracket the lane around x=35..44 — three rockets to the north, three to the south — and a 5-rocket cluster covers the objective at (60,20). Keep the formation tight; regroup before each contact. Pass the (40,20) checkpoint with 5 tanks together, then arrive at (60,20) with 5, kill 7, keep ≥5 alive, within about 50 turns.","Sequenced: ≥5 at (40,20), then ≥5 at (60,20); ≥7 kills; ≥5 alive; within 4500 ticks.","<3 alive, or deadline (4501 ticks).","75","6753"
"coord-mutual-support","hard","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Seed-rotated 12× medium tank: sp0 NORTH (y=10-15) or sp1 SOUTH (y=25-30)","Three rocket clusters along the route + 4× rocket cluster around (60,20); sentinel fact @(120,20)","static (st2 rocket clusters along the lane)","","Commander, this is a mutual-support advance with seed-rotated staging. You are given 12 medium tanks tightly packed in either the north (y=10..15) or south (y=25..30) corridor. Three rocket clusters line the route — one south at x=32, one north at x=40, one on-axis at x=46 — plus four more rockets at the (60,20) objective. Keep the ball tight; regroup before every contact. Pass the (43,20) checkpoint with 5 tanks together, then (60,20) with 5, kill 8, keep ≥5 alive, within about 50 turns.","Sequenced: ≥5 at (43,20), then ≥5 at (60,20); ≥8 kills; ≥5 alive; within 4500 ticks.","<3 alive, or deadline (4501 ticks).","75","6753"
"coord-relay-attack","easy","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","4× medium tank @(15,20) Squad A + 4× rifle infantry @(5,30) Squad B (Defend)","1× medium tank + 3× rifle infantry @(60-62,20) (Return-Fire); sentinel proc @(120,6)","reactive (st1 enemy column — ReturnFire, fires back after taking fire)","","Commander, this is a relay-attack mission. You are given two squads on the west: 4 medium tanks at (15,20) and 4 rifle infantry at (5,30). An enemy cluster at (60,20) — 1 medium tank and 3 riflemen — will one-shot your rifles on contact. Engage the enemy tank first with your armour, then commit the rifles to mop up. 4 kills total, no more than 4 losses, within about 30 turns.","Sequenced: kill enemy tank, then total kills ≥4; ≤4 losses; within 3000 ticks.","All dead, >4 lost, or deadline (3001 ticks).","36","3243"
"coord-relay-attack","medium","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","4× medium tank @(15,20) + 4× rifle infantry @(5,30)","2× medium tank + 4× rifle infantry @(60-62,20); sentinel proc @(120,6)","reactive (st1 enemy column — ReturnFire, fires back after taking fire)","","Commander, this is a relay-attack mission. You are given 4 medium tanks at (15,20) and 4 rifle infantry at (5,30). The enemy cluster at (60,20) is 2 medium tanks and 4 riflemen. Kill both enemy tanks with your armour first, then walk the infantry in for cleanup. 6 kills total, no more than 4 losses, within about 45 turns.","Sequenced: kill 2 enemy tanks, then total ≥6; ≤4 losses; within 4000 ticks.","All dead, >4 lost, or deadline (4001 ticks).","45","4053"
"coord-relay-attack","hard","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Seed-rotated: sp0 4×2tnk@(15,12) + 4×e1@(5,18); sp1 4×2tnk@(15,28) + 4×e1@(5,34)","3× medium tank + 5× rifle infantry @(60-62,20); sentinel proc @(120,6)","reactive (st1 enemy column — ReturnFire, fires back after taking fire)","","Commander, this is a relay-attack mission with seed-rotated staging. You are given 4 medium tanks and 4 rifle infantry on the west, staged either north or south by seed (rifles set back from the tanks). The enemy cluster at (60,20) is 3 medium tanks and 5 riflemen. Kill all 3 enemy tanks with armour first, then mop up with the rifles. 8 kills total, no more than 4 losses, within about 50 turns.","Sequenced: kill 3 enemy tanks, then total ≥8; ≤4 losses; within 4500 ticks.","All dead, >4 lost, or deadline (4501 ticks).","50","4503"
"coord-relay-vision-chain","easy","action","rush-hour-arena","128x40","wide","observe, move_units, stop","4× jeep around (14-16,17-23) on HoldFire + Construction Yard @(10,20)","2× rocket infantry HIDDEN @(108,20) HoldFire; sentinel fact @(124,5)","passive (st0 HIDDEN rocket cluster — never fires, never moves; pure perception probe)","","Commander, this is a vision-relay scouting mission. You are given 4 jeeps and a Construction Yard at the west edge near y=20. A hidden enemy cluster sits at (108,20). Three relay regions must be HELD SIMULTANEOUSLY — one at (45,20), one at (75,20), and one all the way at the objective near (108,20). Space your jeeps to keep all three regions occupied at the same instant; discover at least 2 enemies; hold the yard; within about 24 turns.","Jeep in EACH of (45,20)/(75,20)/(108,20) rings simultaneously; ≥2 enemies discovered; yard alive; within 2400 ticks.","Yard lost, or deadline (2401 ticks).","30","2703"
"coord-relay-vision-chain","medium","action","rush-hour-arena","128x40","wide","observe, move_units, stop","4× jeep around (14-16,17-23) HoldFire + Construction Yard @(10,20)","3× rocket infantry HIDDEN @(108,20) HoldFire; sentinel fact @(124,5)","passive (st0 HIDDEN rocket cluster — never fires, never moves; pure perception probe)","","Commander, this is a vision-relay scouting mission. You are given 4 jeeps and a Construction Yard on the west. The chain now needs FOUR relay regions held simultaneously — (45,20), (60,20), (75,20), and the objective near (108,20). With exactly four jeeps every scout holds one leg of the chain. Discover at least 3 enemies, hold the yard, within about 21 turns.","Jeep in EACH of (45/60/75/108, 20) rings simultaneously; ≥3 discovered; yard alive; within 1900 ticks.","Yard lost, or deadline (1901 ticks).","24","2163"
"coord-relay-vision-chain","hard","action","rush-hour-arena","128x40","wide","observe, move_units, stop","Seed-rotated 4×jeep + Construction Yard in NORTH (y=13) or SOUTH (y=27) corridor","3× rocket infantry HIDDEN @(108,13 OR 108,27) HoldFire; sentinel fact @(124,20)","passive (st0 HIDDEN rocket cluster — never fires, never moves; pure perception probe)","","Commander, this is a vision-relay scouting mission with seed-rotated corridor. You are given 4 jeeps and a Construction Yard on the west edge, on either the north (y=13) or south (y=27) corridor by seed. Hold all four relay regions on your corridor at once — (45,y), (60,y), (75,y), and the objective near (108,y) — discover 3 enemies, keep the yard. Within about 21 turns. A memorised cell on the wrong corridor fails the chain.","Jeep in each of 4 relay rings on your corridor simultaneously; ≥3 discovered; yard alive; within 1900 ticks.","Yard lost, or deadline (1901 ticks).","24","2163"
"coord-squad-handoff","easy","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","3× jeep @(5,5) NW Squad A + 3× medium tank @(5,33) SW Squad B","(none)","none (no enemies)","","Commander, this is a sequenced squad handoff. You are given 3 jeeps in the north-west at (5,5) and 3 medium tanks in the south-west at (5,33). Two delivery points are required IN ORDER: 3 jeeps inside an 8-cell ring around (50,10), THEN 3 tanks inside an 8-cell ring around (90,30). The order is enforced — Squad B's clause only counts after Squad A's latches. Launch in parallel and time the arrival. Within about 50 turns.","Sequenced: 3 jeeps at (50,10), then 3 tanks at (90,30); within 4500 ticks.","All dead, or deadline (4501 ticks).","52","4683"
"coord-squad-handoff","medium","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","3× jeep @(5,5) NW + 3× medium tank @(5,33) SW","(none)","none (no enemies)","","Commander, this is a three-stage sequenced squad handoff. You are given 3 jeeps in the north-west and 3 medium tanks in the south-west. Three delivery clauses must latch IN ORDER: 3 jeeps at (50,10), then 3 tanks at (90,30), then 3 jeeps at (60,20). Once Squad B lands at P2, redeploy the jeeps from P1 to P3. Within about 50 turns.","Sequenced: jeeps@P1, tanks@P2, jeeps@P3; within 4500 ticks.","All dead, or deadline (4501 ticks).","52","4683"
"coord-squad-handoff","hard","action","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Seed-rotated 6× jeep + 6× medium tank in NW or SW corner","(none)","none (no enemies)","","Commander, this is a four-stage sequenced squad handoff with seed-rotated staging. You are given 6 jeeps and 6 medium tanks on the west, staged in either the north-west or south-west corner by seed. Four sequenced clauses: 3 jeeps at (50,10), then 3 tanks at (90,30), then 3 jeeps at (60,20), then 3 tanks at (100,15). The clauses alternate vehicle type, so a single-squad tour can't cover them. Interleaved parallel dispatch only. Within about 50 turns.","Sequenced (4 clauses alternating jeep/tank); within 4500 ticks.","All dead, or deadline (4501 ticks).","52","4683"
"coordination-ordered-rendezvous","easy","action","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","3× medium tank @(5,8) + 3× light tank @(7,32) on HoldFire","(none)","static pickets (st2 rifle/rocket along eastern lanes)","","Commander, this is an ordered rendezvous mission. You are given 3 medium tanks in the north-west and 3 light tanks in the south-west. Two waypoints must be visited IN ORDER: W1 in the north-east at (110,8), then W2 in the south-east at (110,32). Each waypoint requires at least 2 units inside a 7-cell ring. A single column touring both legs blows the clock — launch parallel columns and let Squad B wait short of W2 until W1 latches. Within about 24 turns.","Waypoint sequence (W1 NE → W2 SE) with ≥2 units each; within 2200 ticks.","All dead, or deadline (2201 ticks).","40","3603"
"coordination-ordered-rendezvous","medium","action","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","3× medium tank @(5,6) + 3× light tank @(7,10) + 2× jeep @(5,14) on HoldFire","2× rifle infantry @(55,8) + 2× rifle infantry @(55,32) on Defend; sentinel fact @(115,20)","static pickets (st2 rifle/rocket along eastern lanes)","","Commander, this is a three-stop ordered rendezvous. You are given 3 medium tanks, 3 light tanks, and 2 jeeps on the north-west edge. Three waypoints in order: W1 north-east at (115,6), then a south-west detour at (20,36), then W3 south-east at (115,34). Enemy rifle pickets contest both eastern lanes. A single column can't absorb the south-west detour leg. At most 2 losses, within about 33 turns.","Waypoint sequence (W1 → W2 SW detour → W3 SE) with ≥2 each; ≤2 losses; within 3000 ticks.","All dead, >2 lost, or deadline (3001 ticks).","48","4323"
"coordination-ordered-rendezvous","hard","action","rush-hour-arena","128x40","wide","move_units, attack_unit, stop_units","3× medium tank @(5,6) + 3× light tank @(7,10) + 3× jeep @(5,14)","2× rifle infantry @(55,8) + 2× rocket infantry @(55,32) on Defend; sentinel fact @(115,20)","static pickets (st2 rifle/rocket along eastern lanes)","","Commander, this is a four-stop ordered rendezvous. You are given 3 medium tanks, 3 light tanks, and 3 jeeps on the north-west edge. Four waypoints in order: W1 north-east at (115,6), then south-west at (20,36), then south-east at (115,34), then mid-east at (60,20). Enemy rifles AND rocket soldiers contest the lanes. Even three squads can't tour the chain as a single column; ordered parallel dispatch only. At most 1 loss, within about 36 turns.","Waypoint sequence (W1 → W2 → W3 → W4) with ≥2 each; ≤1 loss; within 3200 ticks.","All dead, >1 lost, or deadline (3201 ticks).","52","4683"
"coordination-staggered-window","easy","action","rush-hour-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank @(5,6) + 3× light tank @(7,9) + 2× jeep @(5,12)","1× Barracks @(115,6) NE + 1× Ore Refinery @(20,36) SW + 1× Power Plant @(60,20)","passive (no bot; buildings as docks)","","Commander, this is a staggered-window dock occupation. You are given 3 medium tanks, 3 light tanks, and 2 jeeps on the north-west. Two docks must be held AT THE SAME INSTANT — an enemy Barracks in the north-east at (115,6) and an enemy Refinery in the south-west at (20,36) — with at least 3 of your units at EACH dock. A single column touring A then B leaves A empty when it arrives at B. Split the force, dispatch both squads in parallel. Within about 30 turns.","≥3 units at (115,6,r=8) AND ≥3 at (20,36,r=8) simultaneously; within 2700 ticks.","All dead, or deadline (2701 ticks).","32","2883"
"coordination-staggered-window","medium","action","rush-hour-arena","128x40","wide","move_units, attack_unit, stop","3× medium tank @(5,6) + 3× light tank @(7,9) + 2× jeep @(5,12)","1× Barracks @(115,6) + 1× Refinery @(20,36) + 1× Power Plant @(60,20)","passive (no bot; buildings as docks)","","Commander, this is a tighter staggered-window dock occupation. Same two docks (NE Barracks, SW Refinery), but the clock tightens to about 24 turns. The NE leg is much longer than the SW, so the NE squad must launch first with the SW squad following promptly. ≥3 units at each dock simultaneously, or the joint clause never co-fires.","≥3 units at (115,6) AND ≥3 at (20,36) simultaneously; within 2200 ticks.","All dead, or deadline (2201 ticks).","26","2343"
"coordination-staggered-window","hard","action","rush-hour-arena","128x40","wide","move_units, attack_unit, stop","Seed-rotated 12× (4×2tnk + 4×1tnk + 4×jeep) in NW (y=6-12) or SW (y=27-33)","1× Barracks @(115,6) NE + 1× Refinery @(20,36) SW + 1× Power Plant @(115,34) SE + 1× Barracks @(60,20) centre","passive (no bot; buildings as docks)","","Commander, this is a three-way staggered-window dock occupation, no coordinates given. You are given 4 medium tanks, 4 light tanks, and 4 jeeps on the west edge, staged either north (y=6..12) or south (y=27..33) by seed. Three docks must be held at once — find them by building type: an enemy Barracks in the north-east, a Refinery in the south-west, a Power Plant in the south-east. ≥3 units at EACH at the same instant. Three different directions means no single column covers them; genuine three-way parallel dispatch only. Within about 30 turns.","≥3 at each of NE Barracks / SW Refinery / SE Power Plant simultaneously; within 2700 ticks.","All dead, or deadline (2701 ticks).","32","2883"
"mcv-deploy-and-build","easy","reasoning","mcv-deploy-and-build-arena","96x40","fit","observe, deploy, build, place_building, move_units, stop","1× MCV @(20,20) + $1000","sentinel fact @(88,20) (anti auto-done)","static patrol (st2 rifle pair near forward fact)","","Commander, this is an MCV deploy-and-build chain. You are given one Mobile Construction Vehicle (MCV) at (20,20) and $1000. Deploying the MCV consumes the vehicle and creates a Construction Yard one cell up-and-left of the deploy site, which re-enables your Building and Defense production queues. From the new yard, queue a Power Plant ($300) adjacent, then a Barracks ($500) adjacent. Within about 50 turns. Failing to deploy in the first 22 turns loses on the early-deploy gate.","Yard + Power Plant + Barracks owned within 4500 ticks.","Deadline (4501), or no yard by tick 2000.","55","4953"
"mcv-deploy-and-build","medium","reasoning","mcv-deploy-and-build-arena","96x40","fit","observe, deploy, build, place_building, move_units, stop","1× MCV @(20,20) + $1000","2× rifle infantry @(60,20-22) on Defend; sentinel fact @(88,20)","static patrol (st2 rifle pair near forward fact)","","Commander, this is an MCV deploy-and-build chain under light pressure. You are given one MCV at (20,20) and $1000; a 2-rifleman Soviet patrol lurks east at (60,20). Deploy promptly (the deploy creates a Construction Yard one cell up-and-left), then queue a Power Plant and a Barracks adjacent to the new yard. Losing the MCV before deploy loses the run. Within about 28 turns.","Yard + Power Plant + Barracks within 2500 ticks.","Deadline (2501), or no yard by tick 800.","30","2703"
"mcv-deploy-and-build","hard","reasoning","mcv-deploy-and-build-arena","96x40","fit","observe, deploy, build, place_building, move_units, stop","Seed-rotated 1× MCV in NW (12,8) or SW (12,32) + $1000","2× rifle infantry @(60,20-22); sentinel fact @(88,20)","static patrol (st2 rifle pair near forward fact)","","Commander, this is an MCV deploy-and-build chain with seed-rotated staging and a richer goal. You are given one MCV in either the north-west (12,8) or south-west (12,32) corner by seed, with $1000. Deploy promptly, then build a Power Plant, a Barracks, AND one extra building (a second Power Plant fits the budget). Within about 34 turns. Stopping at three buildings loses the four-building floor.","Yard + Power Plant + Barracks + ≥4 buildings total, within 3000 ticks.","Deadline (3001), or no yard by tick 800.","36","3243"
"mcv-deploy-defensible-site","easy","reasoning","mcv-deploy-defensible-site-arena","112x40","fit","observe, move_units, deploy, build, place_building, stop","1× MCV @(52,20) at corridor mouth + $1000","2× rifle infantry @(95,8) east lobe (Return-Fire); sentinel fact @(108,4)","rusher (st1/st3 east-lobe band funnels through corridor)","","Commander, this is a defensible-site MCV deploy. The map is split by a water wall with a single corridor near y=20. An enemy detachment sits in the east lobe (the open, terrain-unprotected side). Your MCV starts at the corridor mouth at (52,20). Drive WEST through the corridor into the defensible pocket behind the wall around (15,30), deploy there, then add a Power Plant and a Barracks. Within about 53 turns. Keep at least one unit alive.","Yard inside (15,30,r=5), Power Plant + Barracks owned, ≥1 unit alive, within 4800 ticks.","Deadline (4801), no yard by tick 1500, or yard outside the disc by tick 2400.","60","5403"
"mcv-deploy-defensible-site","medium","reasoning","mcv-deploy-defensible-site-arena","112x40","fit","observe, move_units, deploy, build, place_building, stop","1× MCV @(52,20) + $1000","5× rifle infantry @(95,8) east lobe (AttackAnything, rusher bot); sentinel fact @(108,4)","rusher (st1/st3 east-lobe band funnels through corridor)","","Commander, this is a defensible-site MCV deploy under heavier pressure. Same chokepoint geometry — water wall split by a single corridor near y=20. A heavier 5-rifleman rusher band is committed from the east lobe and must funnel through the corridor to reach the west side. Drive your MCV WEST through the corridor into the defensible pocket around (15,30) and deploy. Add a Power Plant and a Barracks, keep one unit alive, within about 53 turns.","Yard inside (15,30,r=5), Power Plant + Barracks, ≥1 unit alive, within 4800 ticks.","Deadline (4801), no yard by tick 1500, or yard outside the disc by tick 2400.","60","5403"
"mcv-deploy-defensible-site","hard","reasoning","mcv-deploy-defensible-site-arena","112x40","fit","observe, move_units, deploy, build, place_building, stop","Seed-rotated 1× MCV @(48,12) NORTH or @(48,28) SOUTH; $1000","6× rifle infantry @(95,6) + @(95,12) stacked east bands (AttackAnything); sentinel fact @(108,4)","rusher (st1/st3 east-lobe band funnels through corridor)","","Commander, this is a defensible-site MCV deploy with seed-rotated staging. Same chokepoint geometry — water wall, single corridor — but your MCV spawns at either (48,12) NORTH or (48,28) SOUTH. The defensible side is the west lobe BEHIND the water wall; the win accepts either the NW pocket (15,10) or the SW pocket (15,30). Two stacked rusher bands hit any east-lobe deploy. Read your start latitude, route to the matching west pocket, deploy, then add Power Plant + Barracks. Within about 60 turns.","Yard inside NW(15,10) or SW(15,30) disc; Power Plant + Barracks; ≥1 unit alive; within 4800 ticks.","Deadline (4801), no yard by 1500, or yard outside either disc by 2400.","70","6303"
"mcv-deploy-near-resource","easy","reasoning","mcv-deploy-near-resource-arena","96x40","fit","observe, deploy, harvest, move_units, build, place_building, stop","1× Refinery @(50,20) + 1× Harvester @(52,20) + 1× MCV @(20,20)","sentinel fact @(88,36)","none (decoy mine only; no combat)","","Commander, this is an econ-first MCV siting decision. You are given a pre-built starter base in the west with a refinery and a working harvester at (50,20), plus a spare MCV at (20,20) and an ore patch at (60,20). Drive the MCV east and deploy it adjacent to the ore patch (within a 6-cell ring around (60,20)). The starter base keeps your cash flowing without further intervention. Within about 60 turns; reach economy value 3000.","Yard inside (60,20,r=6); economy value ≥3000; within 5400 ticks.","Deadline (5401 ticks).","62","5583"
"mcv-deploy-near-resource","medium","reasoning","mcv-deploy-near-resource-arena","96x40","fit","observe, deploy, harvest, move_units, build, place_building, stop","1× Refinery @(50,20) + 1× Harvester @(52,20) + 1× MCV @(20,20)","1× decoy mine @(40,20) mid-map; sentinel fact @(88,36)","none (decoy mine only; no combat)","","Commander, this is an econ-first MCV siting decision with a decoy. Same starter base in the west with a working refinery and harvester. A SINGLE decoy mineral marker sits halfway east at (40,20) — a tempting near-mid deploy site. The real ore patch is further east at (60,20). Drive the MCV all the way east and deploy in the (60,20) disc. Within about 50 turns; reach economy value 4000.","Yard inside (60,20,r=6); economy value ≥4000; within 4500 ticks.","Deadline (4501 ticks).","52","4683"
"mcv-deploy-near-resource","hard","reasoning","mcv-deploy-near-resource-arena","96x40","fit","observe, deploy, harvest, move_units, build, place_building, stop","Seed-rotated starter base + MCV in NORTH (y=12) or SOUTH (y=28)","sentinel fact @(88,36)","none (decoy mine only; no combat)","","Commander, this is an econ-first MCV siting decision with seed-rotated row. Your starter base — refinery, harvester, MCV — spawns either at the NORTH (y=12) or SOUTH (y=28) row by seed, and each row has its own ore patch at x=60. A shared far decoy patch sits at (88,20). Read your MCV's row, drive it east, and deploy in the matching row's (60,y) disc. Within about 60 turns; reach economy value 5500.","Yard inside either (60,12,r=6) or (60,28,r=6); economy value ≥5500; within 5400 ticks.","Deadline (5401 ticks).","62","5583"
