"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","wrong_strategy_loss"
"tp-rush-objective-very-fast","medium","action","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","3× medium tank @(6,18-22) + Construction Yard","Enemy Construction Yard @(115,20) + 2× rifle picket","turtle (2× e1 picket holds the yard, no roaming)","","Commander, this is a single-objective speedrun on a tight clock. You are given 3 medium tanks at the west edge and your Construction Yard behind them. One enemy Construction Yard stands at the far east (115,20), held by a pair of riflemen. Raze it within about 33 turns.","Raze the enemy Construction Yard at (115,20), within 2900 ticks.","Yard still standing at deadline (2901 ticks).","33","2973","A long detour or unit wandering pads ~500 ticks and misses the 2900 clock."
"tp-rush-objective-very-fast","hard","action","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","3× medium tank seed-rotated NORTH (y=8-12) or SOUTH (y=28-32) + Construction Yard","Enemy Construction Yard @(115,20) + 2× rifle picket — FIXED every seed","turtle (2× e1 picket holds the yard, no roaming)","","Commander, this is a single-objective speedrun from a seed-rotated staging. You are given 3 medium tanks staged in either a north band (y≈10) or south band (y≈30) at the west edge, plus your Construction Yard. One enemy yard stands at the fixed centre-east (115,20), held by 2 riflemen. Raze it within about 33 turns.","Raze the enemy Construction Yard at (115,20), within 2900 ticks.","Yard still standing at deadline (2901 ticks).","33","2973","A memorised ""drive east on y=20"" mis-targets from both north and south spawns; detours bust the clock either way."
"tp-survive-and-grow","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, attack_move, set_stance, stop","Full base @(5-12,17-23): fact + proc + powr + tent + weap + fix + harv @(15,20) + 2× medium tank @(16,19/21); cash 1500","Light raid bands (3-4× e1 + 0-1× e3) on hunt bot, staged east — periodic probes against the base","hunt (light raid bands actively pursue agent centroid)","","Commander, this is a survive-and-grow drill. You hold a full Allied base — Construction Yard, Ore Refinery, Power Plant, Allied Barracks, War Factory, Service Depot — with one harvester on a west ore patch and two medium tanks pre-positioned. Cash $1500. Light raid bands probe in from the east at regular intervals on hunt orders. Reach economy value $2400, finish with at least 5 medium tanks alive AND your Construction Yard standing, within about 60 turns.","Economy value ≥2400, ≥5 medium tanks alive, Construction Yard standing, within 5400 ticks.","Construction Yard lost, or deadline (5401 ticks).","60","5403","Pure-defence (no extra tank production) leaves the army shy of 5 and economy short of 2400; pure-grow (no screen) loses the yard to the raids."
"tp-survive-and-grow","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, attack_move, set_stance, stop","Same full base + harv + 2× medium tank; cash 1500","Heavier sustained raids (4-5× e1 + 1-2× e3) on hunt bot","hunt (light raid bands actively pursue agent centroid)","","Commander, this is a survive-and-grow drill against sustained raids. You hold a full Allied base — Construction Yard, Ore Refinery, Power Plant, Allied Barracks, War Factory, Service Depot — with one harvester and two medium tanks. Cash $1500. Heavier raid bands probe in from the east at regular intervals on hunt orders. Reach economy value $3000, finish with ≥5 medium tanks alive AND your Construction Yard standing, within about 60 turns.","Economy value ≥3000, ≥5 medium tanks alive, Construction Yard standing, within 5400 ticks.","Construction Yard lost, or deadline (5401 ticks).","60","5403","Defend-only cannot reach $3000 economy floor; un-screened production loses the yard to the heavier bands."
"tp-survive-and-grow","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, attack_unit, attack_move, set_stance, stop","Full base spawn-rotated NORTH (y=11-17) or SOUTH (y=23-29) by seed; same composition","Raid bands staged at BOTH latitudes; bands converge on the live base — hunt bot","hunt (light raid bands actively pursue agent centroid)","","Commander, this is a survive-and-grow drill from a seed-rotated base latitude. You hold a full Allied base with one harvester and two medium tanks — the base sits in either the north corridor (y≈14) or south corridor (y≈26) depending on seed. Cash $1500. Raid bands stage at both latitudes and the live ones converge on whichever base is yours. Reach economy value $3000, finish with ≥5 medium tanks alive AND your Construction Yard standing, within about 60 turns.","Economy value ≥3000, ≥5 medium tanks alive, Construction Yard standing, within 5400 ticks.","Construction Yard lost, or deadline (5401 ticks).","60","5403","A memorised defence cell aligned to one latitude fails on the other; un-screened production loses the yard regardless of latitude."
"tp-survive-and-strike-at-window","easy","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","4× medium tank column @(8-10,18-22), Construction Yard, Ore Refinery; cash 0","Central enemy cluster — pre-placed e1 + e3 garrison (rough centre)","turtle (central cluster holds position, returns fire only)","","Commander, this is a wait-then-strike drill. You are given 4 medium tanks at the west and your base (Construction Yard + Ore Refinery). One enemy cluster sits at the centre. Two ordered phases: until tick 1200 NO kills are allowed (any kill is an instant fail); after tick 1200 destroy at least 3 enemy units before tick 4200. Finish with all 4 tanks alive at the gate. Within about 47 turns.","No kill before tick 1200 AND ≥3 kills before 4200, all 4 tanks alive at the gate (tick 1200), within 4200 ticks.","Any pre-gate kill, 4-tank floor unmet at gate, or deadline (4201 ticks).","50","4503","Pushing the column before tick 1200 triggers the premature-kill fail; idling past tick 4200 misses the within window."
"tp-survive-and-strike-at-window","medium","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","4× medium tank + base; cash 0","Slightly larger central cluster","turtle (central cluster holds position, returns fire only)","","Commander, this is a wait-then-strike drill with tighter pacing. You are given 4 medium tanks at the west and your base. One enemy cluster sits at the centre. Two ordered phases: until tick 1500 NO kills are allowed (any kill is an instant fail); after tick 1500 destroy at least 4 enemy units before tick 3600. Finish with all 4 tanks alive at the gate. Within about 40 turns.","No kill before tick 1500 AND ≥4 kills before 3600, all 4 tanks alive at gate, within 3600 ticks.","Any pre-gate kill, 4-tank floor unmet, or deadline (3601 ticks).","45","4053","Premature kill fails the chain; a column not pre-positioned near the engagement zone misses the narrower 1500-3600 strike band."
"tp-survive-and-strike-at-window","hard","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop_units","AGENT spawn_point — 4× medium tank column NORTH (y=10-14) or SOUTH (y=26-30); base duplicated under both groups","Central enemy cluster — pre-placed e1/e3 garrison","turtle (central cluster holds position, returns fire only)","","Commander, this is a wait-then-strike drill from seed-rotated staging. You are given 4 medium tanks staged in either a north band (y≈12) or south band (y≈28) at the west edge, plus your base. One enemy cluster sits at the centre. Two ordered phases: until tick 1800 NO kills are allowed (any kill is an instant fail); after tick 1800 destroy at least 4 enemy units before tick 3300. All 4 tanks alive at the gate. Within about 37 turns.","No kill before tick 1800 AND ≥4 kills before 3300, all 4 tanks alive at gate, within 3300 ticks.","Any pre-gate kill, 4-tank floor unmet, or deadline (3301 ticks).","42","3783","Pre-1800 push trips the premature fail; post-1800 column unable to reach the central cluster in 1500 ticks busts the within window."
"tp-survive-n-turns","easy","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop","6× medium tank cluster @(14-16,18-22), Construction Yard @(12,20), Power Plant","Opening rifle wave + 2× scheduled-event reinforcement waves (rusher bot)","rusher (waves charge agent base on injection)","","Commander, this is a hold-the-line drill. You are given 6 medium tanks in a tight cluster around your Construction Yard and Power Plant at the west. Rifle waves charge in from the east — one opening wave plus two reinforcement pulses on a schedule. Past tick 2700 you must still own the Construction Yard AND hold ≥4 of your medium tanks alive. Within about 40 turns.","≥4 own units alive AND Construction Yard standing AT tick 2700+, within 3600 ticks.","Construction Yard lost before gate, fewer than 4 own units alive at gate, or deadline (3601 ticks).","45","4053","Charging out of the cluster lets the waves pick off tanks one-at-a-time below the 4-floor; idling lets the chip damage take the yard."
"tp-survive-n-turns","medium","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop","6× medium tank cluster, Construction Yard, Power Plant","Opening wave + 4× scheduled reinforcement pulses (rusher bot)","rusher (waves charge agent base on injection)","","Commander, this is a hold-the-line drill against sustained pressure. You are given 6 medium tanks in a tight cluster around your Construction Yard and Power Plant at the west. Five rifle pulses charge in across the game — one opening plus four reinforcements on a schedule. Past tick 3600 you must still own the Construction Yard AND hold ≥4 tanks alive. Within about 50 turns.","≥4 own units alive AND Construction Yard standing AT tick 3600+, within 4500 ticks.","Construction Yard lost, fewer than 4 own units alive at gate, or deadline (4501 ticks).","55","4953","Charging out spreads the cluster and lets later pulses overwhelm splinters; idling allows cumulative chip damage to drop the yard before tick 3600."
"tp-survive-n-turns","hard","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, attack_move, stop","6× medium tank cluster spawn-rotated NORTH (y=10-14) or SOUTH (y=26-30), Construction Yard + Power Plant duplicated under both groups","Opening wave + 5× scheduled reinforcement pulses converging on the live base latitude (rusher bot)","rusher (waves charge agent base on injection)","","Commander, this is a hold-the-line drill from seed-rotated base latitude. You are given 6 medium tanks in a tight cluster around your Construction Yard and Power Plant, either in a north band (y≈12) or south band (y≈28). Rifle waves charge along the central lane all game — one opening plus five reinforcements on a schedule. Past tick 4500 you must still own the Construction Yard AND hold ≥4 tanks alive. Within about 60 turns.","≥4 own units alive AND Construction Yard standing AT tick 4500+, within 5400 ticks.","Construction Yard lost, fewer than 4 own units alive at gate, or deadline (5401 ticks).","65","5853","A memorised hold cell aligned to one latitude leaves the other base unscreened; charging the column splits the cluster and gives the rusher waves a path to the yard."
"tempo-double-window","easy","reasoning","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop","4× medium tank + 2× light tank @(6,20-22) on ReturnFire","Cluster A 4× e1 @(33-37,18-22) at (35,20); Cluster B 4× e1 @(103-107,18-22) at (105,20)","static (clusters stance:2; no roaming)","","Commander, this is a pulsed two-strike sequence. You are given 4 medium tanks and 2 light tanks at the west on ReturnFire. Two enemy clusters sit on the central latitude — Cluster A at (35,20) and Cluster B at (105,20), 4 riflemen each. Strike A first, hold off through the lull window (Window 2 opens after tick 3000), then push on to Cluster B. Order matters: A → safe-point at (55,36) → B. Score 7 kills with at most 4 losses, within about 50 turns.","≥7 kills AND waypoints {(35,20), (55,36), (105,20)} hit in order AND ≤4 losses, within 4500 ticks. Strike of B latches only after tick 3000.","More than 4 lost, waypoints out of order, or deadline (4501 ticks).","52","4683","Continuous attack through the centre between clusters skips the lull waypoint and the win never latches; rushing B before tick 3000 misses the timed window."
"tempo-double-window","medium","reasoning","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop","4× medium tank + 2× light tank @(6,20-22) on ReturnFire","Same clusters A/B + 1× Tesla coil guarding the through-route narrow point","static (clusters stance:2; no roaming)","","Commander, this is a pulsed two-strike sequence with a Tesla coil (high-damage electric turret) covering the centre between the clusters. You are given 4 medium tanks and 2 light tanks at the west on ReturnFire. Cluster A sits at (35,20), Cluster B at (105,20), 4 riflemen each. The Tesla coil shreds anything that crosses the centre at the wrong latitude. Strike A first, hold through the lull (Window 2 opens after tick 3000), then push to Cluster B. Order: A → safe-point at (55,36) → B. Score 7 kills with at most 4 losses, within about 50 turns.","≥7 kills AND waypoints {A, (55,36), B} hit in order AND ≤4 losses, within 4500 ticks; B latches only after tick 3000.","More than 4 lost, waypoints out of order, or deadline (4501 ticks).","52","4683","Pushing between the clusters runs the column past the Tesla coil and bleeds past the 4-loss cap; skipping the safe-point fails the ordered sequence."
"tempo-double-window","hard","reasoning","rush-hour-arena","128x40","wide-justified","move_units, attack_unit, attack_move, stop","4× 2tnk + 2× 1tnk spawn-rotated NORTH (y=10-12) or SOUTH (y=28-30) by seed","Clusters A/B + 2× Tesla coils bracketing the through-route","static (clusters stance:2; no roaming)","","Commander, this is a pulsed two-strike sequence with two Tesla coils (high-damage electric turrets) bracketing the centre. You are given 4 medium tanks and 2 light tanks staged in either a north band (y≈11) or south band (y≈29) by seed. Cluster A sits at (35,20), Cluster B at (105,20). The Tesla coils widen the lethal corridor between the clusters. Strike A, hold through the lull (Window 2 opens after tick 3000), then push to B. Order: A → safe-point at (55,36) → B. Score 7 kills with at most 2 losses, within about 50 turns.","≥7 kills AND waypoints in order AND ≤2 losses, within 4500 ticks; B latches after tick 3000.","More than 2 lost, waypoints out of order, or deadline (4501 ticks).","52","4683","Running the column past the two Teslas blows the tighter 2-loss cap; skipping the safe-point fails the ordered sequence regardless of spawn latitude."
"tempo-strike-window","easy","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, stop_units","Medium tank column at west + Construction Yard (composition per pack default)","Centre/east enemy band staged for the strike window","static (target band stance:2; no roaming)","","Commander, this is a single-window strike drill. You are given a tank column at the west and your Construction Yard. An enemy band sits east of the centre. Hold all engagement until after tick 2000 (no more than 1 pre-window kill is tolerated, but the intended discipline is zero); after tick 2000 destroy at least 4 enemies before tick 4200 with at most 3 losses. Within about 48 turns.","≥4 kills AND ≤3 losses, within 4200 ticks, latching only after tick 2000.","No own units alive, or deadline (4201 ticks).","48","4323","Pre-1999 push triggers the early-engagement fail; a late finish past 4200 misses the close-out window."
"tempo-strike-window","medium","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, stop_units","Tank column at west + Construction Yard","Centre/east enemy band, narrower strike window","static (target band stance:2; no roaming)","","Commander, this is a single-window strike drill with tighter pacing. You are given a tank column at the west and your Construction Yard. An enemy band sits east of the centre. Hold engagement until after tick 1800 (no pre-window kills); after tick 1800 destroy at least 5 enemies before tick 3600, losing at most 2. Within about 58 turns.","≥5 kills AND ≤2 losses, within 3600 ticks, latching after tick 1800.","No own units alive, or deadline (3601 ticks).","52","4683","Pre-1800 push fails the gate; pre-positioning during the lull is required to fit the narrower 1800-3600 strike band."
"tempo-strike-window","hard","reasoning","rush-hour-arena","128x40","large-trivial","move_units, attack_unit, stop_units","Tank column at west + Construction Yard","Centre/east enemy band, narrowest strike window + premature_action latch","static (target band stance:2; no roaming)","","Commander, this is an aggressive lull-then-burst strike. You are given a tank column at the west and your Construction Yard. An enemy band sits east of the centre. NO engagement at all before tick 1500 — any kill is an instant fail; after tick 1500 destroy at least 6 enemies before tick 3000 with at most 1 loss. Within about 56 turns.","≥6 kills AND ≤1 loss, within 3000 ticks, latching after tick 1500; premature-kill fail latches if any kill before tick 1499.","Premature kill, no own units alive, or deadline (3001 ticks).","56","5043","Any pre-1500 kill is instant fail; only an agent that used the lull to assemble at a launch point can hit 6 kills inside the 1500-3000 window."
"strategy-dilemma","easy","reasoning","singles-dilemma","128x40 (bounds 100x36)","wide","move_units, attack_unit, attack_move, stop","Tank/infantry strike force at the west edge (per pack default)","Central cluster — 2× pillbox + 1× Tesla coil + 4× rifle infantry — blocks the direct west-to-east lane; lighter pickets on northern flank; rear enemy Construction Yard + Ore Refinery (the objective)","static (central cluster stance:2; pickets hold)","LEAK: ""take the safer route"", ""take the northern flank"" — directly names the answer route.","Commander, this is a base-raze mission against a central kill-zone. You are given a tank-and-infantry strike force at the west edge. The enemy economic core is at the east — Construction Yard plus Ore Refinery. A heavy central cluster — 2 pillboxes, 1 Tesla coil (high-damage electric turret), 4 riflemen — bracketed across the direct lane shreds anything that drives straight through it. The northern flank past the cluster is lightly held by pickets. Raze both the Construction Yard and the Ore Refinery within about 50 turns.","Raze enemy Construction Yard AND Ore Refinery, within 4500 ticks.","Within window unmet (deadline at 4501 ticks).","55","5043","Driving the column through the central cluster gets shredded; stalling lets the deadline pass."
"strategy-dilemma","medium","reasoning","singles-dilemma","128x40 (bounds 100x36)","wide","move_units, attack_unit, attack_move, stop","Tank/infantry strike force, tighter loss budget","Same central cluster + rear yard+refinery","static (central cluster stance:2; pickets hold)","LEAK: ""take the safer route"", ""take the northern flank"" — directly names the answer route.","Commander, this is a base-raze mission with a tighter clock and a hard loss cap. You are given a tank-and-infantry strike force at the west edge. The enemy economic core (Construction Yard + Ore Refinery) sits at the east. A heavy central cluster of 2 pillboxes, 1 Tesla coil and 4 riflemen brackets the direct lane. Raze both the yard and the refinery within about 40 turns, with at most 7 total losses.","Raze yard AND refinery, ≤7 losses, within 3600 ticks.","More than 7 lost, or deadline (3601 ticks).","45","4053","Brawling through the central cluster blows the 7-loss cap even if the column reaches the base; stalling misses the 3600 clock."
"strategy-dilemma","hard","reasoning","singles-dilemma","128x40 (bounds 100x36)","wide","move_units, attack_unit, attack_move, stop","Strike force, tightest cap","Central pillbox+Tesla+rocket-soldier cluster + rear yard+refinery","static (central cluster stance:2; pickets hold)","LEAK: ""take the safer route"", ""take the northern flank"" — directly names the answer route.","Commander, this is a base-raze mission with the tightest pacing of the pack. You are given a tank-and-infantry strike force at the west edge. The enemy economic core (Construction Yard + Ore Refinery) sits at the east. A central cluster of 2 pillboxes, 1 Tesla coil and rocket soldiers brackets the direct lane. Raze yard and refinery within about 30 turns with at most 5 total losses.","Raze yard AND refinery, ≤5 losses, within 2700 ticks.","More than 5 lost, or deadline (2701 ticks).","35","3153","The direct lane is unsurvivable inside the 5-loss cap; stalling busts the clock."
"strategy-gauntlet","easy","reasoning","singles-gauntlet","128x40 (bounds 100x36)","wide","move_units, attack_unit, attack_move, stop","Tank column strike force at west","Single defended corridor → enemy base ring (Construction Yard + Ore Refinery) + forward picket screening the base ring","static garrison + forward picket (stance:2)","","Commander, this is a defended-corridor raze. You are given a tank-column strike force at the west. One defended corridor leads east to the enemy base ring (Construction Yard + Ore Refinery), with a forward picket screening the ring. A reckless all-in dies on the picket; chasing strays bleeds the column. Raze the Construction Yard and the Ore Refinery within about 89 turns with no more than 12 total losses.","Raze yard AND refinery, ≤12 losses, within 8000 ticks.","More than 12 lost, no own units alive, or deadline (8001 ticks).","90","8103","All-in into the picket bleeds past 12; chasing every stray rifleman wastes the army on non-objective targets."
