pack,family,buildables_required,tech_gates_present,tech_gates_missing,afford_at_start,afford_by_deadline,build_in_budget,faction,issues
power-budget-online,power,"proc, weap, fix, 2tnk","dome, fact, pbox, powr, tent",,True,True,False,allies,build-time-over-budget:98s>71t
proc-only-build-no-combat,procedural,weap,"fact, powr, proc, tent",,True,True,True,allies,
proc-ordered-action-strict,procedural,pbox,"fact, powr, tent",,True,True,True,allies,
proc-strict-toolban-fidelity,procedural,,fact,,True,True,True,allies,
proc-tool-use-multi-distractor,procedural,,"fact, powr, tent",,True,True,True,allies,
proc-tool-use-with-distractor,procedural,,fact,,True,True,True,allies,
rob-cash-depletion-recovery,robustness,proc,"fact, powr, proc",,True,True,True,allies,hard-adds-bldgs:tent
rob-multiple-simultaneous-pressures,robustness,"weap, harv","fact, powr, proc",,False,True,True,allies,"tight-cash:need=3400,have=2000"
rob-objective-change-midway,robustness,,fact,,True,True,True,allies,
rob-objective-shift-with-or-clause,robustness,,,,True,True,True,allies,
rob-partial-base-loss-continue,robustness,2tnk,"fact, fix, pbox, powr, proc, weap",,True,True,True,allies,
rob-unit-loss-recovery,robustness,3tnk,"fact, fix, powr, weap",,True,True,True,soviet,
scout-count-defenders,scout,jeep,"fact, fix, powr, proc, weap",,True,True,True,allies,
scout-jeep-vs-infantry-cost-effective,scout,jeep,"fact, powr, proc, tent, weap",,True,True,True,allies,
strategy-trilemma,strategy,weap,"fact, powr, proc, tent",,True,True,True,allies,
strict-production-bom,strict,"barr, e1, e2, e3","fact, powr",,True,True,True,soviet,
tech-aggro-all-in,tech,"proc, weap, tsla","barr, fact, powr",,True,True,False,soviet,build-time-over-budget:82s>50t
tech-balanced-econ-then-tech,tech,"proc, weap, dome","fact, powr, tent",,False,True,True,allies,"tight-cash:need=4400,have=2800"
tech-production-planning,tech,"weap, fix, 3tnk","fact, powr, proc",,True,True,False,soviet,build-time-over-budget:72s>60t; hard-adds-bldgs:barr
tech-turtle-defensive-tech,tech,"weap, fix, pbox, gun, dome","fact, powr, proc, tent",,False,True,False,allies,"tight-cash:need=5400,have=3000; build-time-over-budget:98s>90t"
tp-survive-and-grow,tempo,2tnk,"fact, fix, powr, proc, weap",,True,True,True,allies,
