pack,family,interrupt_mode,easy_max_turns,easy_reachable_max_tick,easy_within_ticks,easy_after_ticks,easy_effective_deadline,easy_deadline_slack,easy_agent_count,easy_agent_value,easy_enemy_count,easy_enemy_value,easy_force_ratio,easy_starting_cash,easy_kill_quota,easy_cash_goal,easy_survival_floor,easy_survival_strictness,easy_max_losses,easy_units_lost_cap,easy_spawn_groups,easy_win_pred_count,easy_fail_pred_count,easy_sched_count,easy_has_build,easy_solvable,easy_solvable_margin_pct,easy_solvability_issues,medium_max_turns,medium_reachable_max_tick,medium_within_ticks,medium_after_ticks,medium_effective_deadline,medium_deadline_slack,medium_agent_count,medium_agent_value,medium_enemy_count,medium_enemy_value,medium_force_ratio,medium_starting_cash,medium_kill_quota,medium_cash_goal,medium_survival_floor,medium_survival_strictness,medium_max_losses,medium_units_lost_cap,medium_spawn_groups,medium_win_pred_count,medium_fail_pred_count,medium_sched_count,medium_has_build,medium_solvable,medium_solvable_margin_pct,medium_solvability_issues,hard_max_turns,hard_reachable_max_tick,hard_within_ticks,hard_after_ticks,hard_effective_deadline,hard_deadline_slack,hard_agent_count,hard_agent_value,hard_enemy_count,hard_enemy_value,hard_force_ratio,hard_starting_cash,hard_kill_quota,hard_cash_goal,hard_survival_floor,hard_survival_strictness,hard_max_losses,hard_units_lost_cap,hard_spawn_groups,hard_win_pred_count,hard_fail_pred_count,hard_sched_count,hard_has_build,hard_solvable,hard_solvable_margin_pct,hard_solvability_issues,hard_spawn_groups,monotonicity_score,monotonicity_max,monotonicity_breaks,defect_classes,recommendation
building-and-planning,F6_build_tech,False,30,2703,2400,,2400,303,1,2000,2,2100,0.9524,6000,0,0,0,0.0,,,0,3,1,0,True,True,,,40,3603,3400,,3400,203,1,2000,2,2100,0.9524,5000,0,0,0,0.0,,,0,2,1,0,True,True,,,70,6303,5800,,5800,503,1,2000,2,2100,0.9524,6000,0,0,0,0.0,,,0,2,1,0,True,True,,,0,-2,6,"effective_deadline: easy→medium LOOSER (e=2400, m=3400); effective_deadline: medium→hard LOOSER (m=3400, h=5800)",,OK
combat-attack-from-behind-fog,F1_combat_micro,True,72,6483,4000,4001,4000,2483,4,3400,5,4900,0.6939,0,0,0,3,0.75,1,,0,3,2,0,False,True,25.0,,60,5403,3500,3501,3500,1903,4,3400,9,6700,0.5075,0,0,0,3,0.75,1,,0,3,2,0,False,True,25.0,,60,5403,3500,3501,3500,1903,4,3400,13,8200,0.4146,0,0,0,3,0.75,1,,2,3,2,0,False,True,25.0,,2,3,8,,,OK
combat-bait-counter-attack,F1_combat_micro,False,62,5583,3600,3601,3600,1983,5,3900,5,4900,0.7959,0,0,0,1,0.2,3,3,0,3,3,0,False,True,80.0,,62,5583,3600,3601,3600,1983,6,4750,7,5500,0.8636,0,0,0,1,0.1667,2,2,0,3,3,0,False,True,83.3,,62,5583,3600,3601,3600,1983,6,4750,7,5500,0.8636,0,0,0,1,0.1667,2,2,2,3,3,0,False,True,83.3,,2,2,8,,,OK
combat-divide-and-conquer,F1_combat_micro,True,60,5403,3000,3001,3000,2403,5,5400,5,3200,1.6875,0,4,0,3,0.6,2,,0,4,3,0,False,True,40.0,,60,5403,3000,3001,3000,2403,5,5400,9,5200,1.0385,0,8,0,3,0.6,2,,0,4,3,0,False,True,40.0,,60,5403,3000,3001,3000,2403,5,5400,10,5900,0.9153,0,9,0,3,0.6,2,,2,4,3,0,False,True,40.0,,2,4,8,,,OK
combat-flanking-attack,F1_combat_micro,True,51,4593,3000,1500,1500,3093,4,3400,11,4000,0.85,0,3,0,3,0.75,1,,0,3,4,0,False,True,25.0,,51,4593,3000,3001,3000,1593,4,3400,13,4600,0.7391,0,4,0,3,0.75,1,,0,3,2,0,False,True,25.0,,51,4593,3000,3001,3000,1593,8,6800,21,6600,1.0303,0,5,0,6,0.75,2,,2,3,2,0,False,True,25.0,,2,2,8,"max_losses: medium→hard LOOSER (m=1, h=2); effective_deadline: easy→medium LOOSER (e=1500, m=3000)",,OK
combat-focus-fire-priority,F1_combat_micro,True,30,2703,2700,2701,2700,3,4,3400,8,3300,1.0303,0,7,0,1,0.25,0,0,0,3,3,0,False,True,61.5,,45,4053,2700,2701,2700,1353,4,3400,11,3400,1.0,0,10,0,1,0.25,0,0,0,3,3,0,False,True,48.1,,120,10803,2700,2701,2700,8103,4,3400,15,3800,0.8947,0,14,0,1,0.25,1,1,2,3,3,0,False,True,30.4,,2,3,8,"max_losses: medium→hard LOOSER (m=0, h=1)",,OK
combat-formation-tank-wedge,F1_combat_micro,True,75,6753,4500,4501,4500,2253,5,4250,7,4200,1.0119,0,0,0,4,0.8,1,,0,3,2,0,False,True,20.0,,75,6753,4500,4501,4500,2253,5,4250,8,4500,0.9444,0,3,0,3,0.6,2,,0,4,2,0,False,True,40.0,,75,6753,4500,4501,4500,2253,5,4250,11,5800,0.7328,0,4,0,3,0.6,2,,2,4,2,0,False,True,40.0,,2,3,8,"max_losses: easy→medium LOOSER (e=1, m=2); survival_strictness e=0.80 > m=0.60",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
combat-harass-aggro-commit,F1_combat_micro,False,51,4593,4500,4501,4500,93,4,3400,5,6750,0.5037,0,3,0,1,0.25,3,,0,3,2,0,False,True,75.0,,62,5583,5400,4501,4501,1082,3,2550,6,7850,0.3248,0,4,0,1,0.3333,2,,0,3,2,0,False,True,66.7,,95,8553,8550,4501,4501,4052,3,2550,8,10100,0.2525,0,6,0,1,0.3333,2,,2,3,2,0,False,True,66.7,,2,4,8,"effective_deadline: easy→medium LOOSER (e=4500, m=4501)",,OK
combat-harass-balanced-hit-and-run,F1_combat_micro,False,62,5583,5400,5401,5400,183,2,1000,7,3650,0.274,0,3,0,1,0.5,0,0,0,3,3,0,False,True,50.0,,62,5583,5400,5401,5400,183,2,1000,8,3750,0.2667,0,3,0,1,0.5,0,0,0,3,3,0,False,True,50.0,,62,5583,5400,5401,5400,183,2,1000,15,5500,0.1818,0,3,0,1,0.5,0,0,2,3,3,0,False,True,50.0,,2,2,8,,,OK
combat-heli-flank,F1_combat_micro,True,21,1893,1800,1801,1800,93,3,6000,27,16100,0.3727,0,3,0,0,0.0,,,0,3,2,0,False,True,68.9,,24,2163,2100,2101,2100,63,3,6000,29,16300,0.3681,0,5,0,0,0.0,,,0,3,2,0,False,True,61.9,,21,1893,1800,1801,1800,93,3,6000,29,16300,0.3681,0,5,0,0,0.0,,,2,3,2,0,False,True,55.6,,2,2,6,"effective_deadline: easy→medium LOOSER (e=1800, m=2100)",,OK
combat-hold-chokepoint,F1_combat_micro,True,75,6753,5400,5401,5400,1353,4,4550,13,10400,0.4375,0,9,0,2,0.5,2,,0,5,2,0,False,True,50.0,,75,6753,5400,5401,5400,1353,5,5400,15,11800,0.4576,0,11,0,3,0.6,2,,0,5,2,0,False,True,40.0,,75,6753,5400,5401,5400,1353,5,5400,15,11800,0.4576,0,9,0,3,0.6,2,,2,5,2,0,False,True,40.0,,2,1,8,"kill_quota: medium→hard LOOSER (m=11, h=9); kill_quota m=11 > h=9",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
combat-kite-and-pull,F1_combat_micro,False,51,4593,4500,4501,4500,93,1,850,2,3150,0.2698,0,1,0,1,1.0,0,,0,3,2,0,False,True,0.0,,51,4593,4500,4501,4500,93,2,1700,2,3150,0.5397,0,1,0,2,1.0,0,,0,3,2,0,False,True,0.0,,41,3693,3600,3601,3600,93,3,2550,2,3150,0.8095,0,1,0,3,1.0,0,,2,3,2,0,False,True,0.0,,2,1,8,,,OK
combat-kite-jeep-vs-tank,F1_combat_micro,False,51,4593,4500,4501,4500,93,3,2550,2,3150,0.8095,0,1,0,3,1.0,0,,0,3,2,0,False,True,0.0,,51,4593,4500,4501,4500,93,3,2550,2,3150,0.8095,0,1,0,3,1.0,0,,0,3,2,0,False,True,0.0,,41,3693,3600,3601,3600,93,3,2550,2,3150,0.8095,0,1,0,3,1.0,0,,2,3,2,0,False,True,0.0,,2,1,8,,,OK
combat-naval-shore-strike,F1_combat_micro,True,32,2883,2699,2700,2699,184,1,1000,2,2100,0.4762,0,1,0,1,1.0,0,,0,2,2,0,False,True,0.0,,32,2883,2699,2700,2699,184,2,2000,4,2300,0.8696,0,3,0,1,0.5,1,,0,2,2,0,False,True,50.0,,32,2883,2699,2700,2699,184,2,2000,6,2700,0.7407,0,5,0,1,0.5,1,,0,2,2,0,False,True,50.0,,0,3,8,"max_losses: easy→medium LOOSER (e=0, m=1); survival_strictness e=1.00 > m=0.50",F-INVERT|F-NO-SEED-ROTATION,fix the inverted metric (tighten hard or loosen medium)
combat-pincer-coordination,F1_combat_micro,True,64,5763,4500,4501,4500,1263,6,5100,7,3000,1.7,0,6,0,1,0.1667,2,2,0,4,3,0,False,True,79.6,,64,5763,4500,4501,4500,1263,6,5100,8,3850,1.3247,0,6,0,1,0.1667,2,2,0,4,3,0,False,True,79.6,,64,5763,4500,4501,4500,1263,6,5100,8,3850,1.3247,0,6,0,1,0.1667,2,2,2,4,3,0,False,True,79.6,,2,1,8,,,OK
combat-prevent-retreat,F1_combat_micro,True,60,5403,3500,3501,3500,1903,4,3400,7,3200,1.0625,0,6,0,3,0.75,1,,0,4,2,0,False,True,25.0,,60,5403,3500,3501,3500,1903,4,3400,8,3300,1.0303,0,7,0,3,0.75,1,,0,4,2,0,False,True,25.0,,60,5403,3500,3501,3500,1903,4,3400,9,3200,1.0625,0,8,0,3,0.75,1,,2,4,2,0,False,True,25.0,,2,2,8,"enemy_value: medium→hard LOOSER (m=3300, h=3200)",,OK
combat-protect-vip-escort,F1_combat_micro,False,61,5493,5400,5401,5400,93,5,4500,9,4050,1.1111,0,0,0,0,0.0,,,0,3,2,0,False,True,,,61,5493,5400,5401,5400,93,5,4500,13,4850,0.9278,0,0,0,0,0.0,,,0,3,2,0,False,True,,,61,5493,5400,5401,5400,93,5,4500,9,4900,0.9184,0,0,0,0,0.0,,,2,3,2,0,False,True,,,2,2,6,,,OK
combat-retreat-after-engagement,F1_combat_micro,True,51,4593,4000,4000,4000,593,4,3400,4,3750,0.9067,0,2,0,2,0.5,2,,0,4,2,0,False,True,50.0,,51,4593,4000,4000,4000,593,4,3400,5,4050,0.8395,0,3,0,3,0.75,1,,0,4,2,0,False,True,25.0,,51,4593,4000,4000,4000,593,4,3400,4,3750,0.9067,0,2,0,3,0.75,1,,2,5,2,0,False,True,25.0,,2,1,8,"kill_quota: medium→hard LOOSER (m=3, h=2); enemy_value: medium→hard LOOSER (m=4050, h=3750); kill_quota m=3 > h=2",F-INVERT,fix the inverted metric (tighten hard or loosen medium)
combat-rocket-soldier-anti-vehicle,F1_combat_micro,False,51,4593,4500,4501,4500,93,5,6000,4,4600,1.3043,1800,1,0,1,0.2,4,,0,5,2,0,True,True,80.0,,51,4593,4500,4501,4500,93,5,6000,5,5750,1.0435,1800,2,0,1,0.2,4,,0,5,2,0,True,True,80.0,,41,3693,3600,3601,3600,93,6,6500,6,6900,0.942,1800,2,0,1,0.1667,5,,2,5,2,0,True,True,83.3,,2,3,8,"max_losses: medium→hard LOOSER (m=4, h=5)",,OK
combat-skirmish-then-disengage,F1_combat_micro,False,52,4683,4500,4501,4500,183,4,2000,5,2400,0.8333,0,3,0,3,0.75,1,,0,4,2,0,False,True,25.0,,52,4683,4500,4501,4500,183,4,2000,7,2600,0.7692,0,3,0,3,0.75,1,,0,4,2,0,False,True,25.0,,52,4683,4500,4501,4500,183,4,2000,7,2600,0.7692,0,3,0,3,0.75,1,,2,5,2,0,False,True,25.0,,2,1,8,,,OK
combat-stance-mgmt-attack,F1_combat_micro,False,60,5403,4500,4501,4500,903,5,5400,5,2400,2.25,0,3,0,3,0.6,2,,0,4,3,0,False,True,40.0,,60,5403,4500,4501,4500,903,5,5400,5,3000,1.8,0,4,0,3,0.6,2,,0,4,3,0,False,True,40.0,,60,5403,4500,4501,4500,903,5,5400,5,3000,1.8,0,4,0,3,0.6,2,,2,4,3,0,False,True,40.0,,2,2,8,,,OK
combat-suicide-charge-mission,F1_combat_micro,False,62,5583,5400,5401,5400,183,10,6300,5,6600,0.9545,0,0,0,0,0.0,,,0,2,1,0,False,True,,,73,6573,6400,6401,6400,173,10,6300,6,6900,0.913,0,0,0,0,0.0,,,0,2,1,0,False,True,,,82,7383,7200,7201,7200,183,10,6300,5,6600,0.9545,0,0,0,0,0.0,,,2,2,1,0,False,True,,,2,-2,6,"effective_deadline: easy→medium LOOSER (e=5400, m=6400); effective_deadline: medium→hard LOOSER (m=6400, h=7200); enemy_value: medium→hard LOOSER (m=6900, h=6600)",,OK
combat-tank-vs-tank-engagement,F1_combat_micro,True,30,2703,2400,2401,2400,303,4,4550,4,4550,1.0,0,3,0,1,0.25,3,,0,4,2,0,False,True,75.0,,30,2703,2400,2401,2400,303,4,4550,5,5400,0.8426,0,3,0,2,0.5,2,,0,4,2,0,False,True,50.0,,20,1803,1500,1501,1500,303,4,4550,4,4550,1.0,0,3,0,2,0.5,2,,2,4,2,0,False,True,50.0,,2,2,8,"enemy_value: medium→hard LOOSER (m=5400, h=4550)",F-INVERT-ENEMY,
combat-tanya-vs-rush,F1_combat_micro,True,30,2703,2700,2701,2700,3,1,1200,5,2400,0.5,0,4,0,1,1.0,0,,0,3,2,0,False,True,0.0,,30,2703,2700,2701,2700,3,1,1200,4,2300,0.5217,0,6,0,1,1.0,0,,0,3,2,1,False,True,0.0,,30,2703,2700,2701,2700,3,1,1200,7,2600,0.4615,0,6,0,1,1.0,0,,2,3,2,0,False,True,0.0,,2,1,8,"enemy_value: easy→medium LOOSER (e=2400, m=2300)",,OK
combat-target-priority-highvalue,F1_combat_micro,True,30,2703,2700,2701,2700,3,5,5400,13,3800,1.4211,0,12,0,3,0.6,2,,0,4,2,0,False,True,39.3,,30,2703,2700,2701,2700,3,5,5400,16,4100,1.3171,0,15,0,3,0.6,2,,0,4,2,0,False,True,25.9,,120,10803,2700,2701,2700,8103,5,5400,16,4100,1.3171,0,15,0,3,0.6,2,,2,4,2,0,False,True,25.9,,2,2,8,,,OK
combat-vehicle-vs-infantry-counter,F1_combat_micro,False,60,5403,2700,2701,2700,2703,6,6500,9,2800,2.3214,2550,6,0,0,0.0,,,0,4,2,0,True,True,65.9,,60,5403,2700,2701,2700,2703,6,6500,13,3200,2.0312,2550,8,0,0,0.0,,,0,4,2,0,True,True,57.0,,60,5403,2700,2701,2700,2703,6,6500,13,3200,2.0312,2550,8,0,0,0.0,,,2,4,2,0,True,True,57.0,,2,2,6,,,OK
coord-converge-on-target,F8_multifront,False,54,4863,4500,4501,4500,363,9,7650,5,4300,1.7791,0,0,0,1,0.1111,8,,0,3,2,0,False,True,88.9,,54,4863,4500,4501,4500,363,9,7650,6,4400,1.7386,0,0,0,1,0.1111,8,,0,3,2,0,False,True,88.9,,54,4863,4500,4501,4500,363,9,7650,6,4400,1.7386,0,0,0,1,0.1111,8,,2,3,2,0,False,True,88.9,,2,1,8,,,OK
coord-cover-and-move,F8_multifront,True,50,4503,4500,4501,4500,3,6,5100,6,6900,0.7391,0,0,0,1,0.1667,1,1,0,3,3,0,False,True,83.3,,50,4503,4500,4501,4500,3,6,5100,7,7200,0.7083,0,0,0,1,0.1667,1,1,0,3,3,0,False,True,83.3,,50,4503,4500,4501,4500,3,6,5100,13,7800,0.6538,0,0,0,1,0.1667,0,0,2,3,3,0,False,True,83.3,,2,3,8,,,OK
