"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget"
"spec-tanya-c4-strike","medium","action","spec-tanya-c4-strike-arena 80x32","80x32","fit","observe, move_units, attack_unit, set_stance, c4_detonate","1× Tanya @(14,16)","1× Ore Refinery @(22,16) + 2× enemy rifleman @(20,15)/(20,17) stance:0 (HOLD-FIRE — will NOT engage, even if attacked)","passive (st0 HoldFire — INTENTIONAL bait)","INTENTIONAL: riflemen will die silently if shot; the test is to ignore them and C4 the refinery.","Commander, this is a demolition strike past idle defenders. You are given Tanya — an elite commando carrying C4 demolition charges. On adjacency to any enemy building she can plant the charges and instantly destroy it, surviving the blast. The pistol she also carries is anti-infantry only; it cannot demolish a building inside any sensible deadline. An enemy Ore Refinery sits eight cells east; two enemy riflemen flank the refinery on HOLD-FIRE orders — they will NOT open fire even if shot at. The riflemen are bait. Demolish the refinery within about 25 turns; do not get distracted.","≥1 enemy building destroyed, within 2000 ticks.","Deadline (2001 ticks).","25","2253"
"spec-tanya-c4-strike","hard","action","spec-tanya-c4-strike-arena 80x32","80x32","fit","observe, move_units, attack_unit, set_stance, c4_detonate","1× Tanya @(10,18)","1× Ore Refinery @(24,14) + 2× enemy rifleman @(20,14)/(22,14) stance:2 (Defend — will fire on Tanya in range)","static (st2 e1 cover on approach)","NOTE: defenders fire on Tanya in range; trade-vs-commit choice. Intended.","Commander, this is a demolition strike through active cover. You are given Tanya — an elite commando carrying C4 demolition charges. On adjacency to any enemy building she can plant the charges and instantly destroy it, surviving the blast. The pistol she also carries is anti-infantry only; it cannot demolish a building inside any sensible deadline. An enemy Ore Refinery sits about 12 cells away, with two enemy riflemen on Defend stance covering the approach lane — they will fire on Tanya in range. Tanya's HP comfortably absorbs the transit damage; the question is whether you commit to the building or get drawn into a pistol trade. Demolish the refinery within about 30 turns.","≥1 enemy building destroyed, within 2700 ticks.","Deadline (2701 ticks).","30","2703"
"spec-thief-steal-cash","easy","action","spec-thief-chokepoint-40x20","40x20","fit","observe, move_units, attack_unit, infiltrate","1× thief (unarmed value-extraction specialist; drains cash from an enemy refinery or silo on adjacency, then is consumed) @(16,10)","1× Ore Refinery @(20,10) at the corridor exit; 1× enemy Construction Yard @(35,4) (engine keep-alive); enemy starts with $3000","none (undefended depot)","","Commander, this is a value-extraction raid. You are given one thief — an unarmed specialist whose only useful action is to walk into an enemy Ore Refinery or Ore Silo and drain a chunk of their cash into your wallet. The thief is consumed by the steal. A water-walled chokepoint splits the arena; one corridor at y=10 connects west to east, with the enemy Ore Refinery at the corridor exit (x=20). The depot is undefended. Drain enough cash to reach $400 within about 15 turns; the thief carries no weapon and an attack order is a no-op.","Own cash ≥400, within 1350 ticks.","Deadline (1351 ticks), or no thief left.","15","1353"
"spec-thief-steal-cash","medium","action","spec-thief-chokepoint-40x20","40x20","fit","observe, move_units, attack_unit, infiltrate","1× thief @(16,10)","1× Power Plant @(18,10) (closer; NOT a cash store — infiltrating it wastes the thief) + 1× Ore Silo @(20,10) (the actual depot) + 1× enemy Construction Yard @(35,4); enemy starts with $3000","none (undefended)","MINOR LEAK: briefing names the Power Plant as wrong-target (""only the Ore Silo holds cash""); could be softened. Acceptable for now (model still must pick).","Commander, this is a value-extraction raid with a distractor target. You are given one thief — an unarmed specialist whose only useful action is to walk into an enemy Ore Refinery or Ore Silo and drain a chunk of their cash into your wallet. The thief is consumed by the steal. Two enemy buildings sit along the corridor: a Power Plant closer to the thief and an Ore Silo one step further. Only the Ore Silo holds cash; infiltrating any other building consumes the thief for nothing. Drain enough cash to reach $400 within about 20 turns.","Own cash ≥400, within 1800 ticks.","Deadline (1801 ticks), or no thief left.","20","1803"
"spec-thief-steal-cash","hard","action","spec-thief-chokepoint-40x20","40x20","fit","observe, move_units, attack_unit, infiltrate","2× thief @(16,9)/(16,11) — both must reach the depot","1× Ore Silo @(20,10) at the corridor exit + 1× enemy rifleman @(19,10) stance:2 (Defend — fires on thieves on approach, ~25% HP per pass) + 1× enemy Construction Yard @(35,4); enemy starts with $3000","static (st2 e1 at depot)","","Commander, this is a value-extraction raid against a defended depot. You are given two thieves — unarmed specialists whose only useful action is to walk into an enemy Ore Refinery or Ore Silo and drain a chunk of their cash into your wallet. Each thief is consumed by its own steal, and each yields at most $500. An enemy Ore Silo sits at the corridor exit, guarded by one enemy rifleman who will fire on the thieves as they approach (about 25% HP lost per transit; both thieves survive a single pass each). Drain enough cash to reach $800 within about 30 turns — BOTH thieves must arrive and drain.","Own cash ≥800, within 2700 ticks.","Deadline (2701 ticks), or no thief left.","30","2703"
"rush-hour","easy","action","rush-hour-arena","128x40","fit","move_units, attack_unit, attack_move, stop_units","4 corner armies (NW, NE, SW, SE), 6 units each = 24× medium tank + 8× jeep total; all HOLD-FIRE","22× rifle infantry scattered across the 128x40 arena in 11 small groups on three bands (y=9 north, y=19-20 mid, y=31-32 south), all hidden by fog; stance:1 (ReturnFire)","reactive (st1 ReturnFire; scattered, hidden by fog)","BASELINE: historical reference pack — do NOT edit unless explicitly invoked.","Commander, this is a reconnaissance-and-destroy sweep across the whole 128x40 arena. You are given four corner armies — 24 medium tanks and 8 jeeps in total (six units per corner). The enemy is 22 rifle infantry scattered across the arena in small groups, all hidden by fog of war on the north, mid, and south rows. Spread the armies, reveal the fog as you move, find and destroy the enemy. Score at least seven kills, reveal at least 18% of the map, lose no more than five of your own, within about 41 turns. Sitting still or marching down a single row fails both bars.","≥7 kills AND explored ≥18% AND ≤5 losses, within 3603 ticks.","Force wipeout, >5 lost, or deadline (3603 ticks).","41","3693"
"rush-hour","medium","action","rush-hour-arena","128x40","fit","move_units, attack_unit, attack_move, stop_units","4 corner armies (NW, NE, SW, SE), 24× medium tank + 8× jeep total; all HOLD-FIRE","22× rifle infantry scattered across 128x40 in 11 small groups on three bands; stance:1 (ReturnFire); hidden by fog","reactive (st1 ReturnFire; scattered, hidden by fog)","BASELINE: do NOT edit unless explicitly invoked.","Commander, this is a wider reconnaissance-and-destroy sweep. You are given four corner armies — 24 medium tanks and 8 jeeps in total. The enemy is 22 rifle infantry scattered across the 128x40 arena in small groups, all hidden by fog of war on the north, mid, and south rows. Spread the armies, reveal the fog, and find and destroy the enemy. Score at least nine kills, reveal at least 28% of the map, lose no more than four of your own, within about 41 turns. A single-row pass tops out at eight kills — clearing both the north and south bands is required.","≥9 kills AND explored ≥28% AND ≤4 losses, within 3603 ticks.","Force wipeout, >4 lost, or deadline.","41","3693"
"rush-hour","hard","action","rush-hour-arena","128x40","fit","move_units, attack_unit, attack_move, stop_units","Team round-robins NW/NE/SW/SE by seed (4 spawn groups); 24× medium tank + 8× jeep total; all HOLD-FIRE; relative-coordinate briefing","22× rifle infantry scattered across 128x40 in 11 small groups on three bands; stance:1 (ReturnFire); hidden by fog","reactive (st1 ReturnFire; scattered, hidden by fog)","BASELINE: do NOT edit unless explicitly invoked.","Commander, this is a reconnaissance-and-destroy sweep across the whole 128x40 arena. Your team round-robins between four spawn corners by seed (compass-only briefing): you may stage at any of NW, NE, SW, or SE — read your own starting corner from the map. You are given 24 medium tanks and 8 jeeps in total (six units per corner). The enemy is 22 rifle infantry scattered across the arena in small groups, all hidden by fog of war on the north, mid, and south rows; localise them on the minimap yourself. Score at least ten kills, reveal at least 32% of the map, lose no more than four of your own, within about 41 turns. Only a real spread across all three rows clears the bar.","≥10 kills AND explored ≥32% AND ≤4 losses, within 3603 ticks.","Force wipeout, >4 lost, or deadline.","41","3693"
"custom-map-no-enemy","easy","perception","singles-maginot (custom confined map)","custom","fit","move_units, stop","1× jeep @(8,12) + 2× rifle infantry @(9,14)","NONE — pack has no enemy actors (whitelisted in tests/test_hard_tier.py::_NO_ENEMY)","no enemy","INTENTIONAL: pure-navigation cell — no adversary, no combat.","Commander, this is a pure navigation task on a confined custom map. There is no enemy on this map; the only failure mode is missing the deadline. You are given one jeep and two riflemen on the far west of the playable area. Move any one of your units into the goal zone near (55,16) at the far east of the playable area, within about 10 turns. The fast jeep alone is enough; idling, stopping short, or wandering loses on the clock.","≥1 unit inside radius-5 of (55,16), within 900 ticks.","Deadline (901 ticks), or all units lost (no enemy ⇒ cannot happen).","14","1263"
"custom-map-no-enemy","medium","perception","singles-maginot (custom confined map)","custom","fit","move_units, stop","1× jeep @(8,12) + 2× rifle infantry @(9,14)","NONE","no enemy","INTENTIONAL: pure-navigation cell.","Commander, this is a pure navigation task on a confined custom map — a full-force rendezvous. There is no enemy; the only failure mode is missing the deadline. You are given one jeep and two riflemen on the far west of the playable area. Every unit — not just the fast scout — must reach the goal zone at (72,16) at the far east of the playable area, within about 17 turns. Sending only the jeep ahead does not satisfy the all-in-zone requirement; the whole squad must arrive.","ALL units inside radius-5 of (72,16), within 1500 ticks.","Deadline (1501 ticks).","20","1803"
"custom-map-no-enemy","hard","perception","singles-maginot (custom confined map)","custom","fit","move_units, stop","sp0 @(8,12)+(9,14) NORTH or sp1 @(8,28)+(9,26) SOUTH by seed: 1× jeep + 2× rifle infantry per spawn group","NONE","no enemy","INTENTIONAL: pure-navigation cell — relative-coords + seed-rotated spawn.","Commander, this is a pure navigation task on a confined custom map with seed-rotated staging and a relative-coordinate goal. There is no enemy; the only failure mode is missing the deadline. Your spawn latitude flips by seed (north or south), and the goal zone is described by direction only — at the far east-central edge of the playable area; localise it on your minimap yourself. Every unit — not just the fast scout — must reach the goal zone within about 22 turns.","ALL units inside radius-7 of (72,24), within 1600 ticks.","Deadline (1601 ticks).","22","1983"
