"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","economy_setup","wrong_strategy_loss"
"econ-contention-with-enemy","medium","reasoning","econ-contention-with-enemy-96x40","96x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied west base @(8-14,18-20): fact + proc + 2× harv + 3× heavy tank @(6,18/20/22) on Defend stance","2× enemy heavy tank @(70,18/22) (raider bot, two-axis) + visible enemy economy proc @(80,20) + 2× enemy harv + anti-DRAW enemy fact @(92,20)","hunter (raider bot — drives at nearest agent harv each turn)","","Commander, this is a contested-economy drill with two raiders. Your Construction Yard (fact), Ore Refinery (proc) and two harvesters (harv, unarmed ore trucks) sit at the west base, with three heavy tanks (3tnk) on garrison. A shared ore patch lies just east at x=22; two enemy heavy tanks are approaching from the east on two separate latitudes (y=18 and y=22), each targeting your harvesters. Your garrison cannot see the patch from base. Within about 50 turns, drive the defenders forward to intercept both raiders while the harvesters auto-mine. Win requires economy value 2200, at least two kills, and both harvesters still alive.","economy_value ≥$2200 AND 2 harvs alive AND ≥2 kills, within 4500 ticks.","Both harvs lost, or deadline (4501 ticks).","51","4593","500","2 harvs auto-cycle near patch; 3× 3tnk defenders at base x=6; need to defend both y-vectors","Stall → both raiders kill harvs → LOSS. Single-axis intercept → off-axis harv dies → LOSS."
"econ-contention-with-enemy","hard","reasoning","econ-contention-with-enemy-96x40","96x40","fit","observe, build, place_building, harvest, move_units, attack_unit, attack_move, stop","Allied base seed-rotated NORTH (y=14) or SOUTH (y=26): fact + proc + 2× harv + 3× heavy tank","2× enemy heavy tank @(90,14)/(90,26) — both raiders always place + 3× enemy harv + enemy proc + anti-DRAW fact @(92,20)","hunter (raider bot — drives at nearest agent harv each turn)","","Commander, this is a contested-economy drill with seed-rotated base latitude. Your Construction Yard (fact), Ore Refinery (proc), two harvesters (harv, unarmed ore trucks) and three heavy-tank (3tnk) defenders all stage at either the NORTH (y=14) or SOUTH (y=26) latitude — the seed picks. A shared ore patch sits at x=22 on your base's latitude. Two enemy heavy tanks are approaching from the east targeting your harvesters. Within about 50 turns, drive the defenders forward to intercept both raiders while the harvesters auto-mine. Win requires economy value 2200, at least two kills, and both harvesters still alive.","economy_value ≥$2200 AND 2 harvs alive AND ≥2 kills, within 4500 ticks.","Both harvs lost, or deadline (4501 ticks).","51","4593","500","2 harvs auto-cycle on spawn-matched patch; 3× 3tnk defenders; raiders track nearest harv across latitudes","Stall → raiders kill harvs → LOSS. Pure defense without harvest signal — but auto-route covers; risk is harv death."
"econ-contested-expansion","easy","reasoning","econ-contested-corridor-128x40","128x40","wide","observe, build, place_building, move_units, attack_move, attack_unit, set_stance, harvest, sell, stop","SW mini-base @(10-16,28-32): fact + powr + proc + 1× harv on home patch + 2× Light Tank (1tnk) @(18-20,32) on Defend","3× rocket infantry @(64-68,18-20) patrol bot on contested patch + anti-DRAW enemy fact @(118,10)","patrol bot — e3 oscillate around contested patch on Defend stance (auto-fire in range)","","Commander, this is a contested-expansion mission. You hold a mini-base in the south-west corner — Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), one harvester (harv, an unarmed ore-collector truck) auto-cycling a small home patch at (15, 30), and two Light Tanks (1tnk) — with $2000 in the bank. A richer ore patch sits at the centre of the map at (66, 20), inside a horizontal corridor framed by water walls — the only passable band between your lobe and the patch. Two enemy infantry already loiter on the patch. Within about 45 turns, finish with at least $5800 cash. Build a second Refinery ($1400) and place it AT the contested patch — the engine ships the new refinery with a free harvester spawned on-site — and escort with your two Light Tanks so the guards do not kill the new ore truck.","2 procs AND cash ≥$5800, within 4000 ticks.","Construction Yard lost, or deadline (4001 ticks).","45","4053","2000","Home patch 3000 cap (too small alone); contested patch (66,20) 30000 amount; engine auto-spawns harv at new proc location and binds by path distance","Stall → home patch caps below bar → LOSS. Home-proc placement → both harvs compete on dry home patch → LOSS. Patch-no-escort → patrol e3 kills new harv → LOSS."
"econ-contested-expansion","medium","reasoning","econ-contested-corridor-128x40","128x40","wide","observe, build, place_building, move_units, attack_move, attack_unit, set_stance, harvest, sell, stop","SW mini-base: fact + powr + proc + 1× harv + 2× Light Tank on Defend","3× rocket infantry on contested patch + 1× rocket infantry at western corridor entry @(45,19) (patrol bot) + anti-DRAW enemy fact","patrol bot — e3 oscillate around contested patch on Defend stance (auto-fire in range)","","Commander, this is a contested-expansion mission with the corridor under fire. You hold a mini-base in the south-west corner — Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), one harvester (harv, an unarmed ore-collector truck) cycling a small home patch at (15, 30), and two Light Tanks (1tnk) — with $2000. A richer ore patch sits at the centre of the map at (66, 20), inside a water-walled corridor. Three enemy rocket infantry are positioned: two on the patch and one at the western corridor entry at (45, 19). Within about 45 turns, finish with at least $6500 cash. Build a second Refinery ($1400) and place it AT the contested patch — the free on-site harvester will mine it — and escort with your Light Tanks, shooting through the corridor guard to reach the patch.","2 procs AND cash ≥$6500, within 4000 ticks.","Construction Yard lost, or deadline (4001 ticks).","45","4053","2000","Home patch 3000; rich patch 30000; extra e3 picket at west corridor entry blocks unescorted approach","Stall → home patch caps → LOSS. Home-proc → empty 2nd proc → LOSS. No-escort → harv killed by patrol → LOSS."
"econ-contested-expansion","hard","reasoning","econ-contested-corridor-128x40","128x40","wide","observe, build, place_building, move_units, attack_move, attack_unit, set_stance, harvest, sell, stop","Mini-base seed-rotated NW (y=8) or SW (y=32) corner: fact + powr + proc + 1× harv + 2× Light Tank","3× rocket infantry on patch + 1× at corridor entry (patrol bot, duplicated both spawns) + anti-DRAW enemy fact","patrol bot — e3 oscillate around contested patch on Defend stance (auto-fire in range)","","Commander, this is a contested-expansion mission with seed-rotated base corner. You hold a mini-base in either the north-west (y=8) or south-west (y=32) corner — Construction Yard (fact), Power Plant (powr), Ore Refinery (proc), one harvester (harv, an unarmed ore-collector truck) on a small home patch on the matching latitude, and two Light Tanks (1tnk) — with $2000. The contested patch is always at (66, 20) inside the central water-walled corridor; three enemy rocket infantry are positioned (two on the patch, one at the western corridor entry). Within about 45 turns, finish with at least $6500 cash. Build a second Refinery and place it AT the contested patch — the free on-site harvester mines the rich deposit — and escort with your Light Tanks.","2 procs AND cash ≥$6500, within 4000 ticks.","Construction Yard lost, or deadline (4001 ticks).","45","4053","2000","Per-spawn home patch 3000; central rich patch 30000 always at (66,20); approach diagonals from NW vs SW differ","Stall → home patch caps → LOSS. Home-proc → no real income gain → LOSS. No-escort → e3 patrol kills new harv → LOSS."
"econ-deny-enemy-expansion","easy","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Allied west: fact @(6,20) + 4× medium tank @(10,16-24) on Return-Fire","Light expansion @(60,20): proc + 1× harv + 1× rifleman guard. Fortified main @(108,20): fact + powr + 2× pbox + 3× rocket inf. Anti-DRAW fact @(124,4)","guard (bot leashed at expansion + fortified main far east) + static enemy fortifications","","Commander, this is an economic-denial raid. You hold a Construction Yard at (6,20) and 4 medium tanks (2tnk) at (10, y=16..24) on Return-Fire orders. The enemy has just dropped a soft second base mid-map — an Ore Refinery (proc) with one harvester, lightly guarded by a single rifleman, at (60,20). The enemy's main base far east is fortified (pillboxes plus rocket infantry) and far too tough to crack in budget. Within about 72 turns, drive your tank column to the mid-map expansion and raze the enemy refinery while keeping at least 2 of your tanks and your Construction Yard alive. Turtling at home or attacking the hard main both lose the run.","Enemy proc destroyed in radius-6 of (60,20) AND ≥2 own units alive AND fact standing, within 5400 ticks.","Fewer than 2 own units, fact lost, or deadline (5401 ticks).","72","6483","pack default (no override)","No harvest engine — pure-force pack; the ""economy"" decision is whether to RAID enemy expansion before it snowballs","Stall → enemy proc never falls → after_ticks fail → LOSS. Turtle home → same → LOSS. All-in on hard main far east → tanks die on pbox + e3 → LOSS."
"econ-deny-enemy-expansion","medium","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Allied west: fact + 4× medium tank on Return-Fire","Heavier expansion @(60,20): proc + harv + 2× rifleman + 3× rocket infantry (mixed). Fortified main far east. Anti-DRAW fact.","guard (bot leashed at expansion + fortified main far east) + static enemy fortifications","","Commander, this is an economic-denial raid against a thicker garrison. You hold a Construction Yard at (6,20) and 4 medium tanks (2tnk) at (10, y=16..24) on Return-Fire orders. The enemy's soft second base mid-map at (60,20) is an Ore Refinery (proc) and a harvester, guarded by 2 riflemen plus 3 anti-tank rocket soldiers. The enemy's main base far east is fortified and not viable in budget. Within about 60 turns, drive your tank column to the mid-map expansion, focus fire on the anti-tank rocket soldiers first, raze the refinery, and keep at least 2 tanks plus your Construction Yard alive.","Enemy proc destroyed in radius-6 of (60,20) AND ≥2 own units alive AND fact standing, within 4500 ticks.","Fewer than 2 own units, fact lost, or deadline (4501 ticks).","60","5403","pack default","No harvest engine; decision is timing the raid before garrison thickens","Stall → proc snowballs → LOSS. Naive charge into e3 cluster → loses ≥3 tanks → LOSS. Attack main far east → LOSS."
"econ-deny-enemy-expansion","hard","reasoning","rush-hour-arena","128x40","wide","move_units, attack_unit, attack_move, stop","Allied west seed-rotated NORTH (y=12) or SOUTH (y=28): fact + 4× medium tank on Return-Fire","Heavy expansion @(60,20) (always central): proc + harv + 2× e1 + 3× e3. Fortified main + anti-DRAW fact.","guard (bot leashed at expansion + fortified main far east) + static enemy fortifications","","Commander, this is an economic-denial raid with seed-rotated base latitude. You hold a Construction Yard and 4 medium tanks (2tnk) on Return-Fire orders, staged at either the NORTH (y=12) or SOUTH (y=28) latitude — the seed picks. The enemy's soft second base mid-map at (60,20) is an Ore Refinery (proc) and a harvester, guarded by 2 riflemen plus 3 anti-tank rocket soldiers. The enemy's main far east is fortified and not viable. Within about 60 turns, drive your tank column from your spawn latitude to the mid-map expansion, focus the anti-tank rockets first, raze the refinery, and keep at least 2 tanks plus your Construction Yard alive.","Enemy proc destroyed in radius-6 of (60,20) AND ≥2 own units alive AND fact standing, within 4500 ticks.","Fewer than 2 own units, fact lost, or deadline (4501 ticks).","60","5403","pack default","No harvest engine; raid timing decision; spawn-rotated approach diagonal","Stall → proc snowballs → LOSS. Charge in disorder → e3 cluster kills column → LOSS. Wrong-target (main) → LOSS."
"econ-expansion-timing","easy","reasoning","econ-expansion-timing-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-16,18-22): fact + proc + powr + weap + 1× harv on near patches","1× anti-DRAW rifle infantry @(42,4) HoldFire","passive (st0 anti-DRAW e1 far east) — no enemy interaction","","Commander, this is an expansion-timing drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr) and War Factory (weap), with one harvester (harv, unarmed ore truck) on two near ore patches feeding about $95 per turn, and $1100 starting cash. Within about 30 turns, finish with economy value at least $5200 while keeping the Construction Yard and at least one refinery standing. A second harvester ($1400 from the war factory) sharply lifts income; a second refinery ($2000) without harvs to feed it just burns budget.","economy_value ≥$5200 AND fact standing AND ≥1 proc, within 2700 ticks.","Construction Yard lost, no proc, or deadline (2701 ticks).","30","2703","1100","1 harv on 2 near patches @ ~95 cr/turn; weap available to build 2nd harv ($1400)","Stall → income too slow → economy bar unmet → LOSS. 2nd proc without 2nd harv → empty refinery, cash gone → LOSS."
"econ-expansion-timing","medium","reasoning","econ-expansion-timing-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base @(8-16,18-22): fact + proc + powr + weap + 1× harv on near patches","1× anti-DRAW rifle infantry @(42,4) HoldFire","passive (st0 anti-DRAW e1 far east) — no enemy interaction","","Commander, this is a tighter expansion-timing drill. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr) and War Factory (weap), with one harvester (harv, unarmed ore truck) on two near ore patches feeding about $95 per turn, and $1100 starting cash. Within about 40 turns, finish with economy value at least $7300 while keeping the Construction Yard and refinery standing. A timely second harvester nearly doubles income; over-expansion (extra refinery) burns budget without throughput.","economy_value ≥$7300 AND fact standing AND ≥1 proc, within 3600 ticks.","Construction Yard lost, no proc, or deadline (3601 ticks).","40","3603","1100","1 harv @ ~95 cr/turn; weap can build 2nd or 3rd harv","Stall → bar unmet → LOSS. Over-expand (2nd proc) → cash drain, no income gain → LOSS."
"econ-expansion-timing","hard","reasoning","econ-expansion-timing-48x40","48x40","fit","observe, build, place_building, harvest, move_units, stop","Allied base seed-rotated NORTH (y=10) or SOUTH (y=28): fact + proc + powr + weap + 1× harv","1× anti-DRAW rifle infantry @(42,4) HoldFire","passive (st0 anti-DRAW e1 far east) — no enemy interaction","","Commander, this is the tightest expansion-timing drill with seed-rotated base latitude. You hold a Construction Yard (fact), Ore Refinery (proc), Power Plant (powr) and War Factory (weap), with one harvester (harv, unarmed ore truck) on the matching latitude's patches feeding about $95 per turn, and $1100 starting cash. Within about 50 turns, finish with economy value at least $10200 while keeping the Construction Yard and refinery standing. Multiple harvesters compound income; over-building refineries without harvs to feed them stalls progress.","economy_value ≥$10200 AND fact standing AND ≥1 proc, within 4500 ticks.","Construction Yard lost, no proc, or deadline (4501 ticks).","50","4503","1100","1 harv on matching latitude patches @ ~95 cr/turn; weap to build more harvs","Stall → bar unmet → LOSS. Over-expand procs → cash drain → LOSS. Memorised pre-pick fails on wrong spawn."
"econ-far-patch-vs-near-patch","easy","reasoning","econ-far-patch-vs-near-patch-arena-64x40","64x40","fit","observe, harvest, move_units, stop","Allied base: fact @(8,22) + proc @(12,18) + 1× harv pre-placed at FAR patch @(56,18)","1× anti-DRAW rifle infantry @(60,36) HoldFire","passive (st0 anti-DRAW e1) — no combat","","Commander, this is a harvester routing decision. You hold a Construction Yard (fact) and Ore Refinery (proc) on the west side, plus one harvester (harv, unarmed ore truck) already sitting on a far ore patch at (56,18). A near patch at (16,18) sits beside your refinery. The harv will auto-route to whichever patch is closest by path distance after delivering, so leaving it on the far patch means an enormous round-trip per bale; manually re-routing it to the near patch slashes the cycle time. Within about 50 turns, deliver economy value of at least $3000 while keeping the Construction Yard and refinery standing.","economy_value ≥$3000 AND fact AND proc, within 4500 ticks.","fact or proc lost, or deadline (4501 ticks).","50","4503","0","Single harv on far patch (56,18) — distance ~44 cells from proc (12,18); near patch (16,18) is ~4 cells. Reroute is decisive","Stall (let harv stay on far patch) → 44-cell round-trip per bale → income bar unmet → LOSS."
"econ-far-patch-vs-near-patch","medium","reasoning","econ-far-patch-vs-near-patch-arena-64x40","64x40","fit","observe, harvest, move_units, stop","Allied base: fact + proc + 1× harv pre-placed at FAR patch @(56,18)","1× anti-DRAW rifle infantry @(60,36) HoldFire","passive (st0 anti-DRAW e1) — no combat","","Commander, this is a harvester routing decision with a higher economy bar. You hold a Construction Yard (fact) and Ore Refinery (proc) on the west side, plus one harvester (harv, unarmed ore truck) sitting on a far ore patch at (56,18). A near patch at (16,18) sits beside your refinery. The harv will auto-route to whichever patch is closest by path distance after delivering. Within about 50 turns, deliver economy value of at least $5000 while keeping the Construction Yard and refinery standing.","economy_value ≥$5000 AND fact AND proc, within 4500 ticks.","fact or proc lost, or deadline (4501 ticks).","50","4503","0","Same layout, higher $5000 bar makes the slow far-patch route insufficient","Stall → far-patch round-trip insufficient → LOSS. Mis-route to other off-base patch wastes time."
