pack,level,classification,leak_phrases,rewrite_suggestion
combat-formation-tank-wedge,easy,HEAVY,"""Driving as a single column down y=20 puts the lead tank inside every Dragon's range at once."" | ""Form a wedge — leader at y=20 absorbing the blocker's fire, flankers offset to y=18 and y=22 so they engage the rocket line end-on from off-axis — and push at least 4 tanks into the rally disc.""","Full rewrite: drop the ""single column = bad"" negative-policy and the explicit ""form a wedge, leader at y=20, flankers at y=18/22"" formation prescription."
combat-formation-tank-wedge,medium,HEAVY,"""A solid column on y=20 sits in Dragon range of BOTH brackets at once and the lead tank is destroyed in crossfire."" | ""Form a wedge — leader on y=20 absorbing the blocker, flankers angled into y=18 and y=22 so they engage each bracket end-on""","Full rewrite: same — drop negative-policy and explicit wedge geometry instruction."
combat-formation-tank-wedge,hard,HEAVY,"""Form an inverted-V wedge from each band — leader on y=20, flankers spreading to y=17..23 — and grind east in formation.""","Full rewrite: drop explicit ""inverted-V wedge"" naming and the leader/flanker placement instructions."
combat-harass-aggro-commit,easy,HEAVY,"""Three of your tanks shooting the guard at once still win the trade — focus your fire on the heavy first, then sweep the harvesters."" | ""Charging the harvesters while the heavy is alive lets it pick you off.""","Full rewrite: drop the ""focus fire on heavy first, then harvs"" sequence and the negative-policy outcome."
combat-harass-aggro-commit,medium,HEAVY,"""three of yours firing together still beat it. Focus all three on the guard first, then sweep the harvesters. Splitting fire or attacking the workers while the heavy is alive trades raiders you cannot spare.""","Full rewrite: drop the focus-then-sweep sequence and the negative-policy comparison."
combat-harass-aggro-commit,hard,HEAVY,"""Focus all three of your tanks on ONE guard at a time, then the second, then sweep the four harvesters."" | ""Splitting fire across both heavies lets them grind you down.""","Full rewrite: drop explicit focus-fire sequence and the negative-policy hint."
combat-harass-balanced-hit-and-run,easy,HEAVY,"""Strike one worker, immediately retreat west of x=50 (past its leash), let it snap back, then re-engage.""","Full rewrite: drop the entire strike-retreat-snap-back-reengage pulse-cycle script. State the leash mechanic factually."
combat-harass-balanced-hit-and-run,medium,HEAVY,"""Pulse: strike one worker, retreat west of x=50, let it snap back, re-engage.""","Full rewrite: drop the pulse-cycle script."
combat-harass-balanced-hit-and-run,hard,HEAVY,"""Engage whichever cluster your spawn opens onto: strike a worker, retreat west of x=50, let the heavy snap back, then re-engage.""","Full rewrite: drop the pulse-cycle script."
combat-heli-flank,easy,MILD,"""Fly the helicopters over the wall and gun all three down.""","Mild: the only mobile units are helis so this isn't strategy leak so much as restating the obstacle — could just say ""destroy the riflemen behind the wall""."
combat-heli-flank,medium,MILD,"""Fly the two helicopters over the wall and clear the whole line.""","Same as easy — neutral rewording (e.g., ""destroy the riflemen"")."
combat-heli-flank,hard,MILD,"""Fly the helicopters over the wall from your starting band, gun all five down""","Same — neutral rewording."
combat-hold-chokepoint,easy,HEAVY,"""Stay anchored at the mouth and concentrate ALL three tanks' fire on the lead attacker — the water forces the swarm to a four-abreast trickle, so a focused front kills faster than the queue can attrit you."" | ""Abandoning the mouth (charging east or retreating west into the open) lets the full force surround you.""","Full rewrite: drop the ""stay anchored, concentrate fire on lead"" prescription and the negative-policy description of abandoning the mouth."
combat-hold-chokepoint,medium,HEAVY,"""Anchor at the mouth and concentrate fire on the lead attacker — the water forces the swarm to a three-abreast trickle."" | ""Abandoning the mouth (charging east or retreating west into the open) lets the full force surround you.""","Full rewrite: same — drop anchor/focus + negative-policy."
combat-hold-chokepoint,hard,HEAVY,"""Anchor at the mouth and concentrate fire on the lead attacker; the water forces the swarm to a two-abreast queue"" | ""Abandoning the mouth lets the full force surround you.""","Full rewrite: same as easy/medium."
combat-kite-and-pull,easy,HEAVY,"""When the heavy closes inside seven cells, move your tank back along the lane; otherwise shoot from range.""","Full rewrite: drop the entire ""close within 7 → move back, else shoot"" decision-loop prescription."
combat-kite-and-pull,medium,HEAVY,"""Kite as a pair — back off whenever the heavy enters seven cells, snipe from outside — and kill the heavy with BOTH tanks alive""","Full rewrite: drop the kite cycle script with the 7-cell trigger."
combat-kite-and-pull,hard,HEAVY,"""The kite-and-pull cycle is the same — retreat past seven cells, attack from range""","Full rewrite: drop the explicit cycle and threshold prescription."
combat-kite-jeep-vs-tank,easy,HEAVY,"""Kite: when it closes within seven cells, move your raiders away along the lane, then attack from outside its lethal close-range window.""","Full rewrite: drop the kite cycle script with the 7-cell threshold."
combat-kite-jeep-vs-tank,medium,HEAVY,"""Kite: when the heavy enters seven cells, move away along the lane; otherwise fire from range.""","Full rewrite: drop kite cycle script."
combat-kite-jeep-vs-tank,hard,HEAVY,"""Kite: when the heavy enters seven cells, move your raiders away along the lane; otherwise fire from range.""","Full rewrite: drop kite cycle script."
combat-naval-shore-strike,easy,CLEAN,"","Forces + objective + constraint; no strategy leak."
combat-naval-shore-strike,medium,MILD,"""Hold position offshore and shell all three riflemen down""","Drop the ""hold position offshore"" prescription — the destroyer literally cannot move ashore, so this is borderline restating constraint, but ""hold offshore"" is still a positional hint."
combat-naval-shore-strike,hard,MEDIUM,"""Shell the rocket soldier FIRST before he ranges you, then clean up the four riflemen.""","Drop the explicit priority ordering — let the model derive that the rocket soldier outranges from his anti-armour weapon description."
combat-pincer-coordination,easy,HEAVY,"""Send both squads at the same time so they hit from north and south together; one squad alone cannot satisfy the four-in-region clause.""","Full rewrite: drop the explicit ""send both squads at the same time"" instruction and the negative-policy ""one squad alone fails"" hint."
combat-pincer-coordination,medium,HEAVY,"""A lone squad gets shredded by the armour before it can clear. Launch both squads on turn one for a true pincer""","Full rewrite: drop the negative-policy ""lone squad gets shredded"" and the explicit ""launch both on turn one"" instruction."
combat-pincer-coordination,hard,HEAVY,"""a lone squad gets crushed before help arrives. Drive both squads in simultaneously so neither side bleeds out.""","Full rewrite: drop negative-policy + explicit ""both squads simultaneously""."
combat-prevent-retreat,easy,HEAVY,"""slip one tank around the flank (north via y=5..10 or south via y=30..35, outside rocket range) to the cut-off disc at (43,20), while the other three grind the cluster down from the west.""","Full rewrite: drop the explicit ""slip one tank around the flank"" routing + the 3-vs-1 split prescription."
combat-prevent-retreat,medium,HEAVY,"""Detach one tank up or down the flank to reach the cut-off disc at (43,20); the other three focus-fire the cluster from range.""","Full rewrite: drop the explicit detach-one-tank + three-focus prescription."
combat-prevent-retreat,hard,HEAVY,"""Send one tank around the appropriate flank (north y=5..10 from a north spawn; south y=30..35 from a south spawn) to the cut-off disc at (43,20), grind the cluster down with the rest.""","Full rewrite: drop the explicit routing-by-spawn instructions."
combat-protect-vip-escort,easy,HEAVY,"""Move the escort tanks AHEAD to break each ambush in turn while holding the VIP back at staging; only after the route is cleared, send the harvester across to the extraction disc around (130,20).""","Full rewrite: drop the ""escort ahead, hold VIP back, then send across"" full strategy script."
combat-protect-vip-escort,medium,HEAVY,"""Move the escort tanks AHEAD to break each ambush in turn while holding the VIP back at staging; only after the route is cleared, send the harvester across""","Full rewrite: same as easy."
combat-protect-vip-escort,hard,HEAVY,"""Move the escort tanks AHEAD to break the interceptors while holding the VIP back at staging; only after the route is clear, send the harvester across""","Full rewrite: same as easy/medium."
combat-retreat-after-engagement,easy,HEAVY,"""The fight will chew you up if you stay; push east, focus-fire the two rockets, then pull back.""","Full rewrite: drop the negative-policy outcome and the explicit ""push east, focus-fire, then pull back"" script."
combat-retreat-after-engagement,medium,HEAVY,"""Strike, kill all three rockets, then disengage west before the heavy collapses the column.""","Full rewrite: drop the explicit strike-disengage script."
combat-retreat-after-engagement,hard,HEAVY,"""Strike, kill two rockets, then retreat to YOUR safe zone — not the wrong one.""","Full rewrite: drop the ""strike then retreat"" script."
combat-rocket-soldier-anti-vehicle,easy,HEAVY,"""Rifle infantry can't scratch tank armour; the budget only buys two light tanks, which lose the attrition trade against the heavies. Train six rocket soldiers (anti-vehicle launchers) from the Infantry Barracks, advance east into Dragon range""","Full rewrite: drop the negative-policy comparisons against rifles+light tanks AND the explicit ""train six rocket soldiers, advance east"" instruction."
combat-rocket-soldier-anti-vehicle,medium,HEAVY,"""Rifle infantry can't dent armour; the budget only fields two light tanks, which lose the attrition trade. Train six rocket soldiers from the Infantry Barracks, advance east""","Full rewrite: same as easy."
combat-rocket-soldier-anti-vehicle,hard,HEAVY,"""Light tanks lose attrition against heavy armour; rifles can't dent it. Train six rocket soldiers from your barracks, march east""","Full rewrite: same."
combat-skirmish-then-disengage,easy,HEAVY,"""Drive east, gun down at least three riflemen, then pull every survivor back into the 6-cell recovery disc around (4,20).""","Full rewrite: drop the explicit ""drive, kill three, pull back"" script."
combat-skirmish-then-disengage,medium,HEAVY,"""The cluster bleeds you every round you fight it, and mopping up all six eats the clock and leaves you stranded forward. Drive east, gun down three riflemen, then pull every survivor back""","Full rewrite: drop the negative-policy AND the script."
combat-skirmish-then-disengage,hard,HEAVY,"""Drive east, gun down three riflemen, then pull every survivor back into the 6-cell recovery disc around YOUR matching staging point"" | ""A slow retreat lets the hunters catch you.""","Full rewrite: drop the script + the negative-policy hint."
combat-stance-mgmt-attack,easy,HEAVY,"""none aggressive — they will not come to you. Change the tanks' orders to Attack-Anything and the engine will pathfind each kill on its own.""","Full rewrite: drop the explicit ""Change tanks' orders to Attack-Anything"" instruction — this names the exact tool call required."
combat-stance-mgmt-attack,medium,HEAVY,"""They are all on hold-fire and will not come to you. Change the tanks' orders to Attack-Anything; the engine will pathfind each kill on its own.""","Full rewrite: drop the explicit ""Change to Attack-Anything"" instruction."
combat-stance-mgmt-attack,hard,HEAVY,"""A memorised hunt path will not generalise: change the tanks' orders to Attack-Anything and let the engine pathfind the kills on its own.""","Full rewrite: drop the explicit instruction."
combat-suicide-charge-mission,easy,HEAVY,"""Keeping the strike package alive is NOT possible and NOT required. Commit every unit straight at the yard, focus-fire through the defenders, accept the losses, and raze the yard""","Full rewrite: drop the entire ""commit every unit, accept losses"" doctrine statement and the explicit ""focus-fire through defenders"" instruction."
combat-suicide-charge-mission,medium,HEAVY,"""Their Dragons outrange you in any standoff. Do not try to preserve the force: commit every unit, focus-fire through the wall""","Full rewrite: drop negative-policy (""don't preserve"") AND explicit commit/focus-fire instruction."
combat-suicide-charge-mission,hard,HEAVY,"""Halting short of the corridor or trying to keep the force alive will both miss the clock. Commit every unit all-in along whichever axis your seed opens, eat the casualties""","Full rewrite: drop multiple negative-policy hints + the explicit ""commit all-in"" instruction."
combat-tank-vs-tank-engagement,easy,HEAVY,"""Close to cannon range and concentrate fire on one enemy tank at a time, starting with the nearest — three tanks shooting one target will drop it fast"" | ""Do not drive straight into their midst; that bunches you in their crossfire and wipes the squad.""","Full rewrite: drop the explicit ""close + concentrate fire on one at a time"" instruction and the negative-policy on charging."
combat-tank-vs-tank-engagement,medium,HEAVY,"""Close to cannon range, concentrate fire on one target at a time, and work down the line"" | ""Driving straight into the cluster bunches you in their crossfire and wipes the squad.""","Full rewrite: same as easy."
combat-tank-vs-tank-engagement,hard,HEAVY,"""close to cannon range and concentrate fire on one enemy tank at a time. A brute drive into the line bunches you in crossfire and wipes the squad""","Full rewrite: same as easy/medium."
combat-tanya-vs-rush,easy,HEAVY,"""Lift Tanya's hold-fire order and attack the riflemen — at point-blank her pistol cuts down all four faster than they can dent her 150k HP. Sitting idle lets them surround her and she dies.""","Full rewrite: drop the explicit ""lift hold-fire, attack"" instruction + damage arithmetic ('150k HP'); state Tanya's stance constraint factually."
combat-tanya-vs-rush,medium,HEAVY,"""Lift Tanya's hold-fire order and attack each rifleman at point-blank — her Colt45 one-shots them.""","Full rewrite: drop the ""lift hold-fire, attack at point blank"" instruction + the one-shot claim."
combat-tanya-vs-rush,hard,HEAVY,"""Read the rush direction, lift Tanya's hold-fire order, and attack the riflemen at point-blank.""","Full rewrite: drop the explicit stance-flip + attack instruction."
combat-target-priority-highvalue,easy,HEAVY,"""The riflemen barely scratch Heavy armour; the rocket soldiers carry Dragon launchers and are the real threat. Concentrate all four tanks' fire on one rocket soldier at a time — four-on-one drops it in a turn or two — then the next, then the third, then mop up the rifles. Engaging the chaff first leaves all three rockets firing through the whole mop-up.""","Full rewrite: drop the threat-ranking statement, the focus-fire sequence prescription, and the negative-policy ""engaging chaff first leaves rockets firing""."
combat-target-priority-highvalue,medium,HEAVY,"""The riflemen barely scratch Heavy armour; the rocket soldiers (Dragon launchers) are the real threat. Concentrate all four tanks' fire on one rocket soldier at a time, then the next, then the third, then sweep the rifles. Starting on the chaff leaves all three rockets firing through the entire mop-up""","Full rewrite: same as easy."
combat-target-priority-highvalue,hard,HEAVY,"""The riflemen barely scratch Heavy armour; the rocket soldiers (Dragon launchers) are the real threat. Concentrate all four tanks' fire on one rocket soldier at a time — four-on-one drops it fast — then the next, then the third, then sweep the rifles.""","Full rewrite: same as easy/medium."
combat-vehicle-vs-infantry-counter,easy,HEAVY,"""tanks crush riflemen easily (Heavy armour soaks small-arms fire). Your budget buys exactly one dominant composition: 3 medium tanks at $800 each ($2400 total, $150 residual). Mass rockets waste cost-per-effect against soft targets; matching with own rifles is a 1:1 trade with no advantage. Build the three tanks from the War Factory and crush the cluster.""","Full rewrite: drop the explicit hard-counter naming (""tanks crush riflemen""), the dollar-per-policy outcome comparisons, AND the ""build the three tanks"" instruction."
combat-vehicle-vs-infantry-counter,medium,HEAVY,"""Three medium tanks ($2550 exactly) walk through small-arms fire; rockets waste cost-per-effect and own rifles are a 1:1 trade with no advantage. Build the trio, kill eight""","Full rewrite: same as easy — drop counter-naming, damage arithmetic, and explicit ""build the trio""."
combat-vehicle-vs-infantry-counter,hard,HEAVY,"""Three medium tanks ($2550 exactly) walk through small-arms fire; rockets and own rifles both lose the trade. Build the trio, kill eight""","Full rewrite: same."
harass-response-preserve,easy,HEAVY,"""Keep the garrison ON the Refinery and order them to attack the probe as it swings back into range — do not chase east, that leaves the Refinery undefended.""","Full rewrite: drop the explicit ""keep on refinery, attack as it swings, don't chase"" prescription and the negative-policy."
harass-response-preserve,medium,HEAVY,"""Hold the garrison ON the Refinery and order both probes engaged as they swing into range — chasing east leaves the Refinery undefended.""","Full rewrite: same — drop the prescription + negative-policy."
harass-response-preserve,hard,HEAVY,"""Hold the asset footprint and engage each probe in range — chasing east or pulling back loses a building.""","Full rewrite: drop the prescription + multiple negative-policies."
econ-burn-rate-management,easy,HEAVY,"""Sitting idle lets income lift cash past $1800; over-spending on extra production or pillboxes drops it below $400.""","Full rewrite: drop the per-policy outcome description (""sitting idle does X, over-spending does Y""); state the band + kill bar + deadline only."
econ-burn-rate-management,medium,HEAVY,"""Only a sustained two-to-three-tank commitment at the replenishment rate hits the band on the kill-bar turn — hoarding drifts above $1500, all-out spending crashes below $400.""","Full rewrite: drop the explicit ""sustained 2-3 tank commit"" prescription AND the per-policy outcomes."
econ-burn-rate-management,hard,HEAVY,"""The clock is short — over-spending cannot recover and pure hoarding drifts past the ceiling on either spawn.""","Full rewrite: drop the per-policy outcome statements."
econ-buy-vs-build-decision,easy,HEAVY,"""The budget covers EITHER four medium tanks (2tnk, $800 each, $3200 total) from the existing war factory OR a second war factory ($2000, leaving $1400 — one tank). Within about 17 turns, kill at least three enemies and keep your Construction Yard standing. A second factory does not field a defender in time.""","Full rewrite: drop the explicit two-options enumeration AND the negative-policy ""second factory does not field in time""."
econ-buy-vs-build-decision,medium,HEAVY,"""The budget covers EITHER four medium tanks ... OR a second war factory ... Long-run capacity does not survive the incoming wall.""","Full rewrite: same — drop enumeration + negative-policy."
econ-buy-vs-build-decision,hard,HEAVY,"""The budget covers EITHER four medium tanks ... OR a second war factory ($2000, residual $1400 — one tank).""","Full rewrite: same."
econ-cash-reserve-management,easy,HEAVY,"""a second Power Plant at $300 is the cheapest add"" | ""Stalling never adds the building; sinking $1400 into a second refinery dips the reserve below the floor at the latch moment.""","Full rewrite: drop the explicit ""build a 2nd power plant"" suggestion and the per-policy outcome descriptions."
econ-cash-reserve-management,medium,HEAVY,"""Two Power Plants at $300 each fit cleanly; a second refinery at $1400 dips cash too low to recover before the clock.""","Full rewrite: drop the explicit ""2 power plants fit cleanly"" prescription AND negative-policy on refinery."
econ-cash-reserve-management,hard,HEAVY,"""Three Power Plants at $300 each leave $600; mixing in a Pillbox or a second refinery busts the larger reserve before income can refill.""","Full rewrite: drop the explicit ""3 power plants"" prescription + per-option outcomes."
econ-contention-with-enemy,easy,HEAVY,"""Your tanks are too far back to see the patch from garrison. Within about 50 turns, drive the defenders forward to intercept the raider at the patch while the harvesters keep mining""","Full rewrite: drop the explicit ""drive defenders forward to intercept at the patch"" prescription."
econ-contention-with-enemy,medium,HEAVY,"""drive the defenders forward to intercept both raiders while the harvesters auto-mine""","Full rewrite: same — drop the explicit intercept-at-patch instruction."
econ-contention-with-enemy,hard,HEAVY,"""drive the defenders forward to intercept both raiders while the harvesters auto-mine""","Full rewrite: same."
econ-contested-expansion,easy,HEAVY,"""Build a second Refinery ($1400) and place it AT the contested patch — the engine ships the new refinery with a free harvester spawned on-site — and escort with your two Light Tanks so the guards do not kill the new ore truck.""","Full rewrite: drop the entire ""build proc + place at contested + escort with tanks"" three-step instruction sequence."
econ-contested-expansion,medium,HEAVY,"""Build a second Refinery ($1400) and place it AT the contested patch ... and escort with your Light Tanks, shooting through the corridor guard to reach the patch.""","Full rewrite: same as easy."
econ-contested-expansion,hard,HEAVY,"""Build a second Refinery and place it AT the contested patch ... and escort with your Light Tanks.""","Full rewrite: same."
econ-deny-enemy-expansion,easy,MEDIUM,"""Turtling at home never satisfies the raze clause.""","Drop the negative-policy hint at the end; the win predicate already specifies the raze clause."
econ-deny-enemy-expansion,medium,HEAVY,"""Focus fire on the rocket infantry first — spreading fire trades the whole column away.""","Full rewrite: drop the focus-fire ordering prescription AND the negative-policy ""spreading fire trades the column""."
econ-deny-enemy-expansion,hard,MEDIUM,"""A memorised attack vector cannot survive both staging lanes.""","Drop the meta-hint about ""memorised attack vector"" — let the model just see the seed-varied spawn."
econ-expansion-timing,easy,HEAVY,"""A single harvester plateaus near $4100 by the deadline; the second pays back only if you commit the buy in the first few turns.""","Full rewrite: drop the per-policy outcome arithmetic ($4100 plateau) AND the timing instruction (""commit early"")."
econ-expansion-timing,medium,HEAVY,"""One harvester plateaus near $5100; a second harvester clears the bar only if bought early — a buy at turn 10 already tops out near $7000 and misses.""","Full rewrite: drop the policy arithmetic + the explicit ""buy early"" timing instruction."
econ-expansion-timing,hard,HEAVY,"""The break-even tick is razor thin — a buy at turn six plateaus near $10000 and just misses. Identify the spawn and commit the second-harvester buy in the first few turns.""","Full rewrite: drop the arithmetic AND the explicit ""commit second-harvester buy in first few turns"" instruction."
econ-far-patch-vs-near-patch,easy,HEAVY,"""Under this deadline, round-trip latency dominates pile size — route the harvester to the near patch and let it complete many short cycles.""","Full rewrite: drop the explicit ""route to near patch"" instruction and the latency-dominates rationale."
econ-far-patch-vs-near-patch,medium,HEAVY,"""Only the near patch's short cycles clear this bar inside the deadline.""","Full rewrite: drop the explicit ""only the near patch"" answer."
econ-far-patch-vs-near-patch,hard,HEAVY,"""Route to the matched near patch — a memorised opening sends you off-axis on the wrong seed.""","Full rewrite: drop the explicit ""route to matched near patch"" instruction."
econ-harvester-defense-raid,easy,HEAVY,"""Flip your escort to Defend or AttackAnything stance and move them onto the corridor mouth (about x=44..46, y=18..21) so the raider dies on approach.""","Full rewrite: drop the explicit stance-flip instruction + the cell-coord placement of the corridor mouth."
econ-harvester-defense-raid,medium,HEAVY,"""Flip the escort to Defend or AttackAnything and hold the corridor mouth so BOTH waves die on approach.""","Full rewrite: drop stance-flip + hold-mouth instruction."
econ-harvester-defense-raid,hard,HEAVY,"""Flip the escort to Defend or AttackAnything and attack-move it onto the corridor mouth (about x=44..46, y=18..21) so all three waves die on approach.""","Full rewrite: drop stance-flip + cell coords."
econ-harvester-pathing-optimization,easy,HEAVY,"""Stacking both harvesters on the near patch pumps cash but never enters the mid disc; route one harvester to each patch.""","Full rewrite: drop the negative-policy AND the explicit ""route one to each patch"" answer."
econ-harvester-pathing-optimization,medium,HEAVY,"""Stacking both harvesters on the near patch earns the most raw credits but fails the far-disc clause; route one harvester to each patch.""","Full rewrite: same as easy."
econ-harvester-pathing-optimization,hard,HEAVY,"""A memorised opening sends both harvesters to the wrong band; identify the spawn and split-route to the matched pair.""","Full rewrite: drop the explicit ""identify spawn and split-route"" instruction."
econ-mine-and-grow,easy,HEAVY,"""build an Ore Refinery (proc, $1400) and place it adjacent to the patch — the harvester auto-mines as soon as a refinery exists ... Placing the refinery at base makes the round-trip too long; not placing it at all leaves the harvester idle.""","Full rewrite: drop the explicit ""place adjacent to patch"" instruction AND the per-policy negative outcomes."
econ-mine-and-grow,medium,HEAVY,"""build an Ore Refinery ($1400) and place it adjacent to the patch ... anything other than an adjacent placement misses the bar.""","Full rewrite: drop explicit placement instruction + per-policy outcome."
econ-mine-and-grow,hard,HEAVY,"""build an Ore Refinery ($1400) and place it adjacent to the NEAR patch ... Placing it on the far patch makes the harvester cross the map per bale and misses the bar.""","Full rewrite: drop placement instruction + negative-policy."
econ-multi-patch-allocation,easy,HEAVY,"""Commit to two productive medium patches — the single-refinery openings miss the count clause.""","Full rewrite: drop the explicit ""commit to two medium patches"" instruction + negative-policy."
econ-multi-patch-allocation,medium,HEAVY,"""Commit to two productive medium patches.""","Full rewrite: drop the explicit answer (""commit to two medium patches"")."
econ-multi-patch-allocation,hard,HEAVY,"""Commit to the two MEDIUM patches closest to your spawn.""","Full rewrite: drop the explicit answer."
econ-overflow-to-silos,easy,MILD,"""A single harvester stays well under the cap — a simple harvest loop clears the bar without silos (silos start to matter on the medium tier where many harvesters saturate the buffer).""","Drop the meta-hint about ""silos matter on medium""; just state the storage cap + bar."
econ-overflow-to-silos,medium,HEAVY,"""seven harvesters saturate that buffer fast, and any ore deposited beyond the cap is lost ... Build at least one Ore Silo (silo, $150, +3000 cap) to absorb the overflow — without it you plateau short of the bar.""","Full rewrite: drop the explicit ""build a silo"" instruction + the overflow rationale."
econ-overflow-to-silos,hard,HEAVY,"""Build at least one Ore Silo (silo, $150, +3000 cap) near your live yard""","Full rewrite: drop the explicit ""build a silo"" instruction."
econ-protect-harvester-route,easy,HEAVY,"""Drive the defenders east along the harvester's lane to kill the raider before contact.""","Full rewrite: drop the explicit ""drive defenders east to intercept"" instruction."
econ-protect-harvester-route,medium,HEAVY,"""Drive the defenders east on the harvester's lane to kill the raider before contact.""","Full rewrite: same as easy."
econ-protect-harvester-route,hard,HEAVY,"""Drive the defenders east on YOUR base's latitude to intercept — the wrong band leaves the live harvester unprotected.""","Full rewrite: drop intercept-on-correct-band instruction + negative-policy."
econ-quantitative-vs-qualitative-spend,easy,HEAVY,"""Either composition clears the garrison; pick one and commit (a piecemeal tank trickle gets shredded — hold tanks until grouped before pushing).""","Full rewrite: drop the per-policy outcome AND the ""hold tanks until grouped"" execution instruction."
econ-quantitative-vs-qualitative-spend,medium,HEAVY,"""a mixed mini-spend bleeds past the cap. Commit to one composition and hold the tanks until grouped.""","Full rewrite: drop negative-policy + ""commit / hold until grouped"" instruction."
econ-quantitative-vs-qualitative-spend,hard,HEAVY,"""Read your local garrison's composition and pick the correct counter — eight rifles ($800) against anti-vehicle, a grouped medium-tank fist (2tnk, $800 each) against anti-infantry.""","Full rewrite: drop the explicit RPS counter mapping (""rifles against anti-vehicle, tanks against anti-infantry"")."
econ-recover-from-zero-cash,easy,HEAVY,"""Move the harvester onto the patch at (22,18) and issue harvest — the auto-cycle takes over. Once you have $300, queue a Power Plant (powr) and place it adjacent to the yard.""","Full rewrite: drop the entire step-by-step ""harvest then build power plant at $300"" script."
