pack,level,seed,policy,outcome,turns,game_tick,cash,resources,economy_value,units_killed,units_lost,explored_pct,error
adv-asymmetric-weaker-must-win,easy,2,stall,loss,60,5403,0,0,0,0,0,3.27,
adv-asymmetric-weaker-must-win,easy,3,stall,loss,60,5403,0,0,0,0,0,3.27,
adv-asymmetric-weaker-must-win,easy,4,stall,loss,60,5403,0,0,0,0,0,3.27,
adv-asymmetric-weaker-must-win,medium,1,stall,loss,60,5403,0,0,0,0,0,4.28,
adv-asymmetric-weaker-must-win,medium,2,stall,loss,60,5403,0,0,0,0,0,4.28,
adv-asymmetric-weaker-must-win,medium,3,stall,loss,60,5403,0,0,0,0,0,4.28,
adv-asymmetric-weaker-must-win,medium,4,stall,loss,60,5403,0,0,0,0,0,4.28,
adv-asymmetric-weaker-must-win,hard,1,stall,loss,50,4503,0,0,0,0,0,4.14,
adv-asymmetric-weaker-must-win,hard,2,stall,loss,50,4503,0,0,0,0,0,4.14,
adv-asymmetric-weaker-must-win,hard,3,stall,loss,50,4503,0,0,0,0,0,4.14,
adv-asymmetric-weaker-must-win,hard,4,stall,loss,50,4503,0,0,0,0,0,4.14,
adv-rps-counter-pick,easy,1,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,easy,2,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,easy,3,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,easy,4,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,medium,1,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,medium,2,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,medium,3,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,medium,4,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,hard,1,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,hard,2,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,hard,3,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adv-rps-counter-pick,hard,4,stall,loss,60,5403,2550,0,2550,0,0,5.65,
adversarial-duel,easy,1,stall,loss,29,2478,0,0,0,0,0,5.88,
adversarial-duel,easy,2,stall,loss,29,2478,0,0,0,0,0,5.88,
adversarial-duel,easy,3,stall,loss,29,2478,0,0,0,0,0,5.88,
adversarial-duel,easy,4,stall,loss,29,2478,0,0,0,0,0,5.88,
adversarial-duel,medium,1,stall,loss,15,1140,0,0,0,0,4,5.88,
adversarial-duel,medium,2,stall,loss,15,1140,0,0,0,0,4,5.88,
adversarial-duel,medium,3,stall,loss,15,1140,0,0,0,0,4,5.88,
adversarial-duel,medium,4,stall,loss,15,1140,0,0,0,0,4,5.88,
adversarial-duel,hard,1,stall,loss,14,582,0,0,0,0,4,5.56,
adversarial-duel,hard,2,stall,loss,11,495,0,0,0,0,4,6.06,
adversarial-duel,hard,3,stall,loss,14,582,0,0,0,0,4,5.56,
adversarial-duel,hard,4,stall,loss,11,495,0,0,0,0,4,6.06,
artofwar-indirect-approach,easy,1,stall,loss,45,4053,0,0,0,0,0,2.06,
artofwar-indirect-approach,easy,2,stall,loss,45,4053,0,0,0,0,0,2.06,
artofwar-indirect-approach,easy,3,stall,loss,45,4053,0,0,0,0,0,2.06,
artofwar-indirect-approach,easy,4,stall,loss,45,4053,0,0,0,0,0,2.06,
artofwar-indirect-approach,medium,1,stall,loss,52,4683,0,0,0,0,0,2.06,
artofwar-indirect-approach,medium,2,stall,loss,52,4683,0,0,0,0,0,2.06,
artofwar-indirect-approach,medium,3,stall,loss,52,4683,0,0,0,0,0,2.06,
artofwar-indirect-approach,medium,4,stall,loss,52,4683,0,0,0,0,0,2.06,
artofwar-indirect-approach,hard,1,stall,loss,56,5043,0,0,0,0,0,2.06,
artofwar-indirect-approach,hard,2,stall,loss,56,5043,0,0,0,0,0,2.06,
artofwar-indirect-approach,hard,3,stall,loss,56,5043,0,0,0,0,0,2.06,
artofwar-indirect-approach,hard,4,stall,loss,56,5043,0,0,0,0,0,2.06,
artofwar-lure-the-tiger,easy,1,stall,loss,65,5853,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,easy,2,stall,loss,65,5853,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,easy,3,stall,loss,65,5853,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,easy,4,stall,loss,65,5853,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,medium,1,stall,loss,74,6663,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,medium,2,stall,loss,74,6663,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,medium,3,stall,loss,74,6663,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,medium,4,stall,loss,74,6663,0,0,0,0,0,3.59,
artofwar-lure-the-tiger,hard,1,stall,loss,83,7473,0,0,0,0,0,3.23,
artofwar-lure-the-tiger,hard,2,stall,loss,83,7473,0,0,0,0,0,3.23,
artofwar-lure-the-tiger,hard,3,stall,loss,83,7473,0,0,0,0,0,3.23,
artofwar-lure-the-tiger,hard,4,stall,loss,83,7473,0,0,0,0,0,3.23,
artofwar-sequenced-citadel,easy,1,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,easy,2,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,easy,3,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,easy,4,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,medium,1,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,medium,2,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,medium,3,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,medium,4,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,hard,1,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,hard,2,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,hard,3,stall,loss,26,2343,0,0,0,0,0,2.64,
artofwar-sequenced-citadel,hard,4,stall,loss,26,2343,0,0,0,0,0,2.64,
build-defensive-skirt-corners,easy,1,stall,loss,36,3243,2400,0,2400,0,0,5.4,
build-defensive-skirt-corners,easy,2,stall,loss,36,3243,2400,0,2400,0,0,5.4,
build-defensive-skirt-corners,easy,3,stall,loss,36,3243,2400,0,2400,0,0,5.4,
build-defensive-skirt-corners,easy,4,stall,loss,36,3243,2400,0,2400,0,0,5.4,
build-defensive-skirt-corners,medium,1,stall,loss,33,2973,2400,0,2400,0,0,5.58,
build-defensive-skirt-corners,medium,2,stall,loss,33,2973,2400,0,2400,0,0,5.58,
build-defensive-skirt-corners,medium,3,stall,loss,33,2973,2400,0,2400,0,0,5.58,
build-defensive-skirt-corners,medium,4,stall,loss,33,2973,2400,0,2400,0,0,5.58,
build-defensive-skirt-corners,hard,1,stall,loss,31,2793,2400,0,2400,0,0,5.91,
build-defensive-skirt-corners,hard,2,stall,loss,31,2793,2400,0,2400,0,0,6.14,
build-defensive-skirt-corners,hard,3,stall,loss,31,2793,2400,0,2400,0,0,5.91,
build-defensive-skirt-corners,hard,4,stall,loss,31,2793,2400,0,2400,0,0,6.14,
build-defensive-tower-cluster,easy,1,stall,loss,60,5403,2400,0,2400,5,0,4.56,
build-defensive-tower-cluster,easy,2,stall,loss,60,5403,2400,0,2400,5,0,4.56,
build-defensive-tower-cluster,easy,3,stall,loss,60,5403,2400,0,2400,5,0,4.56,
build-defensive-tower-cluster,easy,4,stall,loss,60,5403,2400,0,2400,5,0,4.56,
build-defensive-tower-cluster,medium,1,stall,loss,60,5403,2400,0,2400,8,0,4.56,
build-defensive-tower-cluster,medium,2,stall,loss,60,5403,2400,0,2400,8,0,4.56,
build-defensive-tower-cluster,medium,3,stall,loss,60,5403,2400,0,2400,8,0,4.56,
build-defensive-tower-cluster,medium,4,stall,loss,60,5403,2400,0,2400,8,0,4.56,
build-defensive-tower-cluster,hard,1,stall,loss,60,5403,2400,0,2400,12,0,4.86,
build-defensive-tower-cluster,hard,2,stall,loss,60,5403,2400,0,2400,12,0,4.56,
build-defensive-tower-cluster,hard,3,stall,loss,60,5403,2400,0,2400,12,0,4.86,
build-defensive-tower-cluster,hard,4,stall,loss,60,5403,2400,0,2400,12,0,4.56,
build-defensive-tower-line,easy,1,stall,loss,49,4413,1800,0,1800,0,0,3.85,
build-defensive-tower-line,easy,2,stall,loss,49,4413,1800,0,1800,0,0,3.85,
build-defensive-tower-line,easy,3,stall,loss,49,4413,1800,0,1800,0,0,3.85,
build-defensive-tower-line,easy,4,stall,loss,49,4413,1800,0,1800,0,0,3.85,
build-defensive-tower-line,medium,1,stall,loss,51,4593,3000,0,3000,0,0,4.02,
build-defensive-tower-line,medium,2,stall,loss,51,4593,3000,0,3000,0,0,4.02,
build-defensive-tower-line,medium,3,stall,loss,51,4593,3000,0,3000,0,0,4.02,
build-defensive-tower-line,medium,4,stall,loss,51,4593,3000,0,3000,0,0,4.02,
build-defensive-tower-line,hard,1,stall,loss,57,5133,4800,0,4800,0,0,4.31,
build-defensive-tower-line,hard,2,stall,loss,57,5133,4800,0,4800,0,0,4.55,
build-defensive-tower-line,hard,3,stall,loss,57,5133,4800,0,4800,0,0,4.31,
build-defensive-tower-line,hard,4,stall,loss,57,5133,4800,0,4800,0,0,4.55,
build-engineer-rebuild-after-loss,easy,1,stall,loss,30,2703,500,0,500,1,0,33.19,
build-engineer-rebuild-after-loss,easy,2,stall,loss,30,2703,500,0,500,1,0,33.19,
build-engineer-rebuild-after-loss,easy,3,stall,loss,30,2703,500,0,500,1,0,33.19,
build-engineer-rebuild-after-loss,easy,4,stall,loss,30,2703,500,0,500,1,0,33.19,
build-engineer-rebuild-after-loss,medium,1,stall,loss,30,2703,500,0,500,1,2,11.34,
build-engineer-rebuild-after-loss,medium,2,stall,loss,30,2703,500,0,500,1,2,11.34,
build-engineer-rebuild-after-loss,medium,3,stall,loss,30,2703,500,0,500,1,2,11.34,
build-engineer-rebuild-after-loss,medium,4,stall,loss,30,2703,500,0,500,1,2,11.34,
build-engineer-rebuild-after-loss,hard,1,stall,loss,11,993,500,0,500,1,0,11.62,
build-engineer-rebuild-after-loss,hard,2,stall,loss,19,1713,500,0,500,0,2,9.26,
build-engineer-rebuild-after-loss,hard,3,stall,loss,11,993,500,0,500,1,0,11.62,
build-engineer-rebuild-after-loss,hard,4,stall,loss,19,1713,500,0,500,0,2,9.26,
build-power-down-defensive,easy,1,stall,loss,40,3603,1000,0,1000,0,0,13.08,
build-power-down-defensive,easy,2,stall,loss,40,3603,1000,0,1000,0,0,13.08,
build-power-down-defensive,easy,3,stall,loss,40,3603,1000,0,1000,0,0,13.08,
build-power-down-defensive,easy,4,stall,loss,40,3603,1000,0,1000,0,0,13.08,
build-power-down-defensive,medium,1,stall,loss,36,3243,1000,0,1000,0,0,14.22,
build-power-down-defensive,medium,2,stall,loss,36,3243,1000,0,1000,0,0,14.22,
build-power-down-defensive,medium,3,stall,loss,36,3243,1000,0,1000,0,0,14.22,
build-power-down-defensive,medium,4,stall,loss,36,3243,1000,0,1000,0,0,14.22,
build-power-down-defensive,hard,1,stall,loss,36,3243,1000,0,1000,0,0,14.18,
build-power-down-defensive,hard,2,stall,loss,36,3243,1000,0,1000,0,0,13.82,
build-power-down-defensive,hard,3,stall,loss,36,3243,1000,0,1000,0,0,14.18,
build-power-down-defensive,hard,4,stall,loss,36,3243,1000,0,1000,0,0,13.82,
build-power-online-first,easy,1,stall,loss,40,3603,1900,0,1900,0,0,3.75,
build-power-online-first,easy,2,stall,loss,40,3603,1900,0,1900,0,0,3.75,
build-power-online-first,easy,3,stall,loss,40,3603,1900,0,1900,0,0,3.75,
build-power-online-first,easy,4,stall,loss,40,3603,1900,0,1900,0,0,3.75,
build-power-online-first,medium,1,stall,loss,32,2883,1750,0,1750,0,0,3.75,
build-power-online-first,medium,2,stall,loss,32,2883,1750,0,1750,0,0,3.75,
build-power-online-first,medium,3,stall,loss,32,2883,1750,0,1750,0,0,3.75,
build-power-online-first,medium,4,stall,loss,32,2883,1750,0,1750,0,0,3.75,
build-power-online-first,hard,1,stall,loss,32,2883,1750,0,1750,0,0,3.98,
build-power-online-first,hard,2,stall,loss,32,2883,1750,0,1750,0,0,3.98,
build-power-online-first,hard,3,stall,loss,32,2883,1750,0,1750,0,0,3.98,
build-power-online-first,hard,4,stall,loss,32,2883,1750,0,1750,0,0,3.98,
build-production-throughput-multibuilding,easy,1,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,easy,2,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,easy,3,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,easy,4,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,medium,1,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,medium,2,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,medium,3,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,medium,4,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,hard,1,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,hard,2,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,hard,3,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-production-throughput-multibuilding,hard,4,stall,loss,30,2703,9000,0,9000,0,0,8.89,
build-rally-point-management,easy,1,stall,loss,30,2703,1500,0,1500,0,0,4.57,
build-rally-point-management,easy,2,stall,loss,30,2703,1500,0,1500,0,0,4.57,
build-rally-point-management,easy,3,stall,loss,30,2703,1500,0,1500,0,0,4.57,
build-rally-point-management,easy,4,stall,loss,30,2703,1500,0,1500,0,0,4.57,
build-rally-point-management,medium,1,stall,loss,22,1983,1500,0,1500,0,0,4.57,
build-rally-point-management,medium,2,stall,loss,22,1983,1500,0,1500,0,0,4.57,
build-rally-point-management,medium,3,stall,loss,22,1983,1500,0,1500,0,0,4.57,
build-rally-point-management,medium,4,stall,loss,22,1983,1500,0,1500,0,0,4.57,
build-rally-point-management,hard,1,stall,loss,22,1983,1500,0,1500,0,0,4.97,
build-rally-point-management,hard,2,stall,loss,22,1983,1500,0,1500,0,0,4.97,
build-rally-point-management,hard,3,stall,loss,22,1983,1500,0,1500,0,0,4.97,
build-rally-point-management,hard,4,stall,loss,22,1983,1500,0,1500,0,0,4.97,
build-repair-priority-under-fire,easy,1,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,easy,2,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,easy,3,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,easy,4,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,medium,1,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,medium,2,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,medium,3,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,medium,4,stall,loss,4,288,8000,0,8000,4,0,14.36,
build-repair-priority-under-fire,hard,1,stall,loss,4,288,8000,0,8000,4,0,10.01,
build-repair-priority-under-fire,hard,2,stall,loss,4,288,8000,0,8000,4,0,14.8,
build-repair-priority-under-fire,hard,3,stall,loss,4,288,8000,0,8000,4,0,10.01,
build-repair-priority-under-fire,hard,4,stall,loss,4,288,8000,0,8000,4,0,14.8,
build-sell-and-rebuild-elsewhere,easy,1,stall,loss,56,4533,800,0,800,0,0,5.28,
build-sell-and-rebuild-elsewhere,easy,2,stall,loss,56,4533,800,0,800,0,0,5.28,
build-sell-and-rebuild-elsewhere,easy,3,stall,loss,56,4533,800,0,800,0,0,5.28,
build-sell-and-rebuild-elsewhere,easy,4,stall,loss,56,4533,800,0,800,0,0,5.28,
build-sell-and-rebuild-elsewhere,medium,1,stall,loss,56,4548,700,0,700,0,0,5.46,
build-sell-and-rebuild-elsewhere,medium,2,stall,loss,56,4548,700,0,700,0,0,5.46,
build-sell-and-rebuild-elsewhere,medium,3,stall,loss,56,4548,700,0,700,0,0,5.46,
build-sell-and-rebuild-elsewhere,medium,4,stall,loss,56,4548,700,0,700,0,0,5.46,
build-sell-and-rebuild-elsewhere,hard,1,stall,loss,57,4548,700,0,700,0,1,6.46,
build-sell-and-rebuild-elsewhere,hard,2,stall,loss,56,4548,700,0,700,0,1,7.31,
build-sell-and-rebuild-elsewhere,hard,3,stall,loss,57,4548,700,0,700,0,1,6.46,
build-sell-and-rebuild-elsewhere,hard,4,stall,loss,56,4548,700,0,700,0,1,7.31,
build-sequence-tech-cheapest,easy,1,stall,loss,36,3243,3750,0,3750,0,0,3.75,
build-sequence-tech-cheapest,easy,2,stall,loss,36,3243,3750,0,3750,0,0,3.75,
build-sequence-tech-cheapest,easy,3,stall,loss,36,3243,3750,0,3750,0,0,3.75,
build-sequence-tech-cheapest,easy,4,stall,loss,36,3243,3750,0,3750,0,0,3.75,
build-sequence-tech-cheapest,medium,1,stall,loss,36,3243,3720,0,3720,0,0,3.75,
build-sequence-tech-cheapest,medium,2,stall,loss,36,3243,3720,0,3720,0,0,3.75,
build-sequence-tech-cheapest,medium,3,stall,loss,36,3243,3720,0,3720,0,0,3.75,
build-sequence-tech-cheapest,medium,4,stall,loss,36,3243,3720,0,3720,0,0,3.75,
build-sequence-tech-cheapest,hard,1,stall,loss,36,3243,3720,0,3720,0,0,3.98,
build-sequence-tech-cheapest,hard,2,stall,loss,36,3243,3720,0,3720,0,0,3.98,
build-sequence-tech-cheapest,hard,3,stall,loss,36,3243,3720,0,3720,0,0,3.98,
build-sequence-tech-cheapest,hard,4,stall,loss,36,3243,3720,0,3720,0,0,3.98,
build-sequence-tech-fastest,easy,1,stall,loss,34,3063,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,easy,2,stall,loss,34,3063,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,easy,3,stall,loss,34,3063,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,easy,4,stall,loss,34,3063,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,medium,1,stall,loss,32,2883,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,medium,2,stall,loss,32,2883,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,medium,3,stall,loss,32,2883,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,medium,4,stall,loss,32,2883,5000,0,5000,0,0,3.75,
build-sequence-tech-fastest,hard,1,stall,loss,32,2883,5000,0,5000,0,0,3.98,
build-sequence-tech-fastest,hard,2,stall,loss,32,2883,5000,0,5000,0,0,3.98,
build-sequence-tech-fastest,hard,3,stall,loss,32,2883,5000,0,5000,0,0,3.98,
build-sequence-tech-fastest,hard,4,stall,loss,32,2883,5000,0,5000,0,0,3.98,
build-sequence-tech-most-resilient,easy,1,stall,loss,60,5403,7000,0,7000,0,0,11.99,
build-sequence-tech-most-resilient,easy,2,stall,loss,60,5403,7000,0,7000,0,0,11.99,
build-sequence-tech-most-resilient,easy,3,stall,loss,60,5403,7000,0,7000,0,0,11.99,
build-sequence-tech-most-resilient,easy,4,stall,loss,60,5403,7000,0,7000,0,0,11.99,
build-sequence-tech-most-resilient,medium,1,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,medium,2,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,medium,3,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,medium,4,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,hard,1,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,hard,2,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,hard,3,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-sequence-tech-most-resilient,hard,4,stall,loss,50,4503,12000,0,12000,0,0,11.99,
build-tech-skip-decision,easy,1,stall,loss,22,1623,6000,0,6000,0,0,4.57,
build-tech-skip-decision,easy,2,stall,loss,22,1623,6000,0,6000,0,0,4.57,
build-tech-skip-decision,easy,3,stall,loss,22,1623,6000,0,6000,0,0,4.57,
build-tech-skip-decision,easy,4,stall,loss,22,1623,6000,0,6000,0,0,4.57,
build-tech-skip-decision,medium,1,stall,loss,20,1443,6000,0,6000,0,0,4.68,
build-tech-skip-decision,medium,2,stall,loss,20,1443,6000,0,6000,0,0,4.68,
build-tech-skip-decision,medium,3,stall,loss,20,1443,6000,0,6000,0,0,4.68,
build-tech-skip-decision,medium,4,stall,loss,20,1443,6000,0,6000,0,0,4.68,
build-tech-skip-decision,hard,1,stall,loss,28,1458,6000,0,6000,0,1,5.41,
build-tech-skip-decision,hard,2,stall,loss,26,1443,6000,0,6000,0,1,5.15,
build-tech-skip-decision,hard,3,stall,loss,28,1458,6000,0,6000,0,1,5.41,
build-tech-skip-decision,hard,4,stall,loss,26,1443,6000,0,6000,0,1,5.15,
building-and-planning,easy,1,stall,loss,27,2433,6000,0,6000,0,0,2.96,
building-and-planning,easy,2,stall,loss,27,2433,6000,0,6000,0,0,2.96,
building-and-planning,easy,3,stall,loss,27,2433,6000,0,6000,0,0,2.96,
building-and-planning,easy,4,stall,loss,27,2433,6000,0,6000,0,0,2.96,
building-and-planning,medium,1,stall,loss,38,3423,5000,0,5000,0,0,2.96,
building-and-planning,medium,2,stall,loss,38,3423,5000,0,5000,0,0,2.96,
building-and-planning,medium,3,stall,loss,38,3423,5000,0,5000,0,0,2.96,
building-and-planning,medium,4,stall,loss,38,3423,5000,0,5000,0,0,2.96,
building-and-planning,hard,1,stall,loss,65,5853,6000,0,6000,0,0,2.96,
building-and-planning,hard,2,stall,loss,65,5853,6000,0,6000,0,0,2.96,
building-and-planning,hard,3,stall,loss,65,5853,6000,0,6000,0,0,2.96,
building-and-planning,hard,4,stall,loss,65,5853,6000,0,6000,0,0,2.96,
combat-attack-from-behind-fog,easy,1,stall,loss,45,4053,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,easy,2,stall,loss,45,4053,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,easy,3,stall,loss,45,4053,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,easy,4,stall,loss,45,4053,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,medium,1,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,medium,2,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,medium,3,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,medium,4,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,hard,1,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,hard,2,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,hard,3,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-attack-from-behind-fog,hard,4,stall,loss,39,3513,0,0,0,0,0,5.19,
combat-bait-counter-attack,easy,1,stall,loss,40,3603,0,0,0,0,0,6.66,
combat-bait-counter-attack,easy,2,stall,loss,40,3603,0,0,0,0,0,6.66,
combat-bait-counter-attack,easy,3,stall,loss,40,3603,0,0,0,0,0,6.66,
combat-bait-counter-attack,easy,4,stall,loss,40,3603,0,0,0,0,0,6.66,
combat-bait-counter-attack,medium,1,stall,loss,40,3603,0,0,0,0,0,6.71,
combat-bait-counter-attack,medium,2,stall,loss,40,3603,0,0,0,0,0,6.71,
combat-bait-counter-attack,medium,3,stall,loss,40,3603,0,0,0,0,0,6.71,
combat-bait-counter-attack,medium,4,stall,loss,40,3603,0,0,0,0,0,6.71,
combat-bait-counter-attack,hard,1,stall,loss,40,3603,0,0,0,0,0,7.66,
combat-bait-counter-attack,hard,2,stall,loss,40,3603,0,0,0,0,0,6.71,
combat-bait-counter-attack,hard,3,stall,loss,40,3603,0,0,0,0,0,7.66,
combat-bait-counter-attack,hard,4,stall,loss,40,3603,0,0,0,0,0,6.71,
combat-divide-and-conquer,easy,1,stall,loss,11,603,0,0,0,0,2,5.28,
combat-divide-and-conquer,easy,2,stall,loss,11,603,0,0,0,0,2,5.28,
combat-divide-and-conquer,easy,3,stall,loss,11,603,0,0,0,0,2,5.28,
combat-divide-and-conquer,easy,4,stall,loss,11,603,0,0,0,0,2,5.28,
combat-divide-and-conquer,medium,1,stall,loss,11,513,0,0,0,0,2,5.28,
combat-divide-and-conquer,medium,2,stall,loss,11,513,0,0,0,0,2,5.28,
combat-divide-and-conquer,medium,3,stall,loss,11,513,0,0,0,0,2,5.28,
combat-divide-and-conquer,medium,4,stall,loss,11,513,0,0,0,0,2,5.28,
combat-divide-and-conquer,hard,1,stall,loss,9,558,0,0,0,0,2,3.89,
combat-divide-and-conquer,hard,2,stall,loss,12,588,0,0,0,0,2,4.35,
combat-divide-and-conquer,hard,3,stall,loss,9,558,0,0,0,0,2,3.89,
combat-divide-and-conquer,hard,4,stall,loss,12,588,0,0,0,0,2,4.35,
combat-flanking-attack,easy,1,stall,loss,17,1533,0,0,0,0,0,11.11,
