pack,tier,seed,outcome,bucket,subbucket,evidence,recommendation,sample_size
combat-retreat-after-engagement,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.33 after 9 turns, kills=0 lost=2 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),2
combat-rocket-soldier-anti-vehicle,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.40 after 51 turns, kills=0 lost=0 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-rocket-soldier-anti-vehicle,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.40 after 51 turns, kills=0 lost=0 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-rocket-soldier-anti-vehicle,hard,1,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.80 after 41 turns, kills=4 lost=0 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,3
combat-rocket-soldier-anti-vehicle,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.60 after 41 turns, kills=3 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-rocket-soldier-anti-vehicle,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.40 after 41 turns, kills=0 lost=1 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-skirmish-then-disengage,hard,4,loss,MODEL,M.1,"passivity: 3/8 turns were observe-only (38%); progress=0.20, kills=0, lost=4, final_tick=633",Accept as model passivity gap (legitimate eval signal),1
combat-suicide-charge-mission,easy,1,loss,MODEL,M.1,"passivity: 50/61 turns were observe-only (82%); progress=0.50, kills=0, lost=10, final_tick=5403",Accept as model passivity gap (legitimate eval signal),1
combat-suicide-charge-mission,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.49 after 73 turns, kills=0 lost=10 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
combat-suicide-charge-mission,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 81 turns, kills=2 lost=10 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-suicide-charge-mission,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 81 turns, kills=1 lost=10 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-suicide-charge-mission,hard,4,loss,MODEL,M.2,"wrong tactic: progress=0.50 after 81 turns, kills=1 lost=10 cash=0; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),3
combat-tank-vs-tank-engagement,hard,4,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.75 after 18 turns, kills=0 lost=0 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,1
combat-tanya-vs-rush,medium,1,loss,MODEL,M.1,"passivity: 1/3 turns were observe-only (33%); progress=0.33, kills=0, lost=1, final_tick=39",Accept as model passivity gap (legitimate eval signal),1
combat-tanya-vs-rush,hard,1,loss,MODEL,M.2,"episode ended in 3 turns (lost=1, kills=2); model triggered instant fail clause (e.g. abandoned defensive anchor / lost critical unit early)",Accept as model wrong-tactic gap (legitimate eval signal),2
combat-tanya-vs-rush,hard,2,loss,MODEL,M.2,"episode ended in 3 turns (lost=1, kills=1); model triggered instant fail clause (e.g. abandoned defensive anchor / lost critical unit early)",Accept as model wrong-tactic gap (legitimate eval signal),2
combat-target-priority-highvalue,easy,1,loss,MODEL,M.4,"close miss: progress=0.85, kills=9, lost=2, cash=0, turns=16; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),1
combat-target-priority-highvalue,medium,1,loss,MODEL,M.4,"close miss: progress=0.85, kills=11, lost=2, cash=0, turns=21; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),1
combat-target-priority-highvalue,hard,1,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.70 after 21 turns, kills=2 lost=2 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,3
combat-target-priority-highvalue,hard,3,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.70 after 22 turns, kills=2 lost=2 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,3
combat-target-priority-highvalue,hard,4,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.78 after 17 turns, kills=7 lost=2 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,3
combat-vehicle-vs-infantry-counter,medium,1,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.75 after 31 turns, kills=12 lost=0 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,1
combat-vehicle-vs-infantry-counter,hard,2,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.75 after 31 turns, kills=12 lost=0 cash=0; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,1
harass-response-preserve,hard,1,loss,MODEL,M.2,"episode ended in 4 turns (lost=1, kills=0); model triggered instant fail clause (e.g. abandoned defensive anchor / lost critical unit early)",Accept as model wrong-tactic gap (legitimate eval signal),4
harass-response-preserve,hard,2,loss,MODEL,M.1,"passivity: 2/5 turns were observe-only (40%); progress=0.63, kills=0, lost=1, final_tick=363",Accept as model passivity gap (legitimate eval signal),4
harass-response-preserve,hard,3,loss,MODEL,M.2,"episode ended in 4 turns (lost=1, kills=0); model triggered instant fail clause (e.g. abandoned defensive anchor / lost critical unit early)",Accept as model wrong-tactic gap (legitimate eval signal),4
harass-response-preserve,hard,4,loss,MODEL,M.2,"episode ended in 4 turns (lost=2, kills=0); model triggered instant fail clause (e.g. abandoned defensive anchor / lost critical unit early)",Accept as model wrong-tactic gap (legitimate eval signal),4
econ-burn-rate-management,easy,1,loss,MODEL,M.4,"close miss: progress=0.99, kills=3, lost=0, cash=4790, turns=15; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),1
econ-burn-rate-management,medium,1,loss,MODEL,M.4,"close miss: progress=1.00, kills=5, lost=0, cash=4200, turns=13; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),1
econ-burn-rate-management,hard,1,loss,MODEL,M.4,"close miss: progress=1.00, kills=6, lost=0, cash=2202, turns=12; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),4
econ-burn-rate-management,hard,2,loss,MODEL,M.4,"close miss: progress=1.00, kills=6, lost=0, cash=3670, turns=12; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),4
econ-burn-rate-management,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.67 after 12 turns, kills=0 lost=0 cash=501; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),4
econ-burn-rate-management,hard,4,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.80 after 12 turns, kills=0 lost=0 cash=3550; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,4
econ-buy-vs-build-decision,easy,1,loss,MODEL,M.1,"passivity: 6/20 turns were observe-only (30%); progress=0.66, kills=0, lost=0, final_tick=1533",Accept as model passivity gap (legitimate eval signal),1
econ-buy-vs-build-decision,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.65 after 23 turns, kills=0 lost=0 cash=3400; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
econ-buy-vs-build-decision,hard,1,loss,MODEL,M.2,"wrong tactic: progress=0.66 after 26 turns, kills=0 lost=1 cash=3400; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),2
econ-buy-vs-build-decision,hard,2,loss,MODEL,M.2,"wrong tactic: progress=0.66 after 25 turns, kills=0 lost=1 cash=3400; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),2
econ-cash-reserve-management,easy,1,loss,MODEL,M.4,"close miss: progress=0.95, kills=0, lost=0, cash=8001, turns=61; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),1
econ-cash-reserve-management,medium,1,loss,MODEL,M.4,"close miss: progress=0.92, kills=0, lost=0, cash=2301, turns=10; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),1
econ-cash-reserve-management,hard,1,loss,MODEL,M.4,"close miss: progress=0.89, kills=0, lost=0, cash=2851, turns=13; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),4
econ-cash-reserve-management,hard,2,loss,MODEL,M.4,"close miss: progress=0.89, kills=0, lost=0, cash=2701, turns=13; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),4
econ-cash-reserve-management,hard,3,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.84 after 13 turns, kills=0 lost=0 cash=252; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,4
econ-cash-reserve-management,hard,4,loss,MODEL,M.4,"close miss: progress=0.96, kills=0, lost=0, cash=2851, turns=13; one predicate clause missed (e.g. cash band / unit count threshold)",Accept as model close-miss gap (consider tightening / loosening predicate to discriminate),4
econ-contention-with-enemy,hard,1,loss,MODEL,M.5,"fixated on subtask / partial execution: progress=0.73 after 19 turns, kills=3 lost=2 cash=2000; reached 70-85% of win threshold but did not close the gap (likely one sub-objective ignored)",Accept as model focus-failure gap,2
econ-contention-with-enemy,hard,3,loss,MODEL,M.2,"wrong tactic: progress=0.62 after 17 turns, kills=1 lost=2 cash=4500; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),2
econ-contested-expansion,easy,1,loss,MODEL,M.2,"wrong tactic: progress=0.52 after 46 turns, kills=2 lost=0 cash=452; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
econ-contested-expansion,medium,1,loss,MODEL,M.2,"wrong tactic: progress=0.67 after 46 turns, kills=3 lost=2 cash=4500; model pursued a strategy the briefing situation does not support (e.g. front-charge instead of flank, hoard instead of spend, abandon defense anchor)",Accept as model wrong-tactic gap (legitimate eval signal),1
