"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_threat_schedule","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","production_buildings_required","force_composition_required","wrong_arm_traps"
"f11-econ-tech-army-strike","medium","reasoning","f11-econ-tech-army-strike-arena","112x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(8,20) — Construction Yard, Power Plant, Ore Refinery and 1 starter harvester. $4000 starting cash.","Enemy base @(98,20) — Construction Yard + Power Plant + Barracks + 2× rifle + 1× rocket-soldier picket (Defend); sentinel fact @(108,38). Scheduled raid (3× medium tank, hunt bot) @ tick 1500.","static garrison + scheduled_events hunt raid (3× 2tnk) @ tick 1500 (medium escalation)","Commander, this is a four-phase operational arc against a defended enemy with a mid-game raid. You are given a western base at (8,20) — Construction Yard, Power Plant, Ore Refinery and one starter harvester. Cash on hand: 4000. The enemy holds a defended base at (98,20), 90 cells east, with riflemen, a rocket soldier, and a hunt-tank raid that arrives around tick 1500. Win bar: stand up the production chain, field at least five medium tanks, AND raze at least two enemy buildings, all inside about 125 turns. The chain must happen in order: production buildings before units, units before kills.","Build weap AND fix, field ≥5 medium tanks, raze ≥2 enemy buildings, within 11250 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (11251 ticks).","125","11253","weap, fix","≥5× 2tnk","over-econ LOSES (raid at tick 1500 breaches a base with too few defenders); under-econ (single proc + no expansion harv) LOSES (cash starves; 5-tank army never affordable inside the clock); stall LOSES (raid + deadline)"
"f11-econ-tech-army-strike","hard","reasoning","f11-econ-tech-army-strike-arena","112x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western base: sp0 NORTH @(8,12) or sp1 SOUTH @(8,28). Each spawn: Construction Yard + Power Plant + Ore Refinery + 1 starter harvester. $4500 starting cash.","Enemy base @(98,20) — Construction Yard + Power Plant + Barracks + War Factory-marker + 3× rifle + 2× rocket + 1× medium tank picket (Defend); sentinel fact @(108,38). Scheduled waves: hunt raid (3× 2tnk) @ tick 1500; main attack (5× e3 + 2× 2tnk hunt) @ tick 3000.","static garrison + scheduled_events dual raid: hunt @ 1500 + main attack @ 3000 (hard escalation)","Commander, this is a four-phase operational arc against a defended enemy under timed waves. Your western base spawns NORTH (y=12) or SOUTH (y=28) by seed and holds a Construction Yard, Power Plant, Ore Refinery and one starter harvester. Cash on hand: 4500. The enemy holds a defended base at (98,20) with riflemen, rocket soldiers, a medium tank, and two timed raids — a hunt-tank raid around tick 1500 and a main attack of rocket soldiers and tanks around tick 3000. Win bar: stand up the production chain, field at least six medium tanks, AND raze at least three enemy buildings, all inside about 150 turns. The chain must happen in order: production buildings before units, units before kills.","Build weap AND fix, field ≥6 medium tanks, raze ≥3 enemy buildings, within 13500 ticks. Western Construction Yard must survive.","Western Construction Yard destroyed, all units dead, or deadline (13501 ticks).","150","13503","weap, fix","≥6× 2tnk","over-econ LOSES (raids overrun under-defended base); under-econ LOSES (6-tank army unaffordable on single-harv income); stall LOSES; rush-w-starter (no production) LOSES (no starters — pre-placed force is empty)"
"f11-defense-then-counter","easy","reasoning","f11-defense-then-counter-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, 1 starter harvester, 2× pre-placed rifleman (Defend stance) on the eastern face @(18,18-22). $3500 starting cash.","Enemy base @(82,20) — Construction Yard + Barracks + 3× medium tank pre-positioned @(45,18-22) closing west (hunt bot, st3). Sentinel fact @(92,38). Scheduled secondary wave (3× e3 rocket soldiers, hunt) @ tick 1500.","OFFENSIVE FROM t=0: 3× 2tnk hunt rush already moving (tick 0-500) + scheduled_events rocket rush @ tick 1500 (defense-then-counter: survive the opener, then build)","Commander, this is a defense-then-counter operation. You are given a western base at (12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, one starter harvester, and two pre-placed riflemen on the eastern face. Cash on hand: 3500. Three enemy medium tanks at (45, 18-22) are already closing west on a hunt order; a follow-up rocket-soldier rush arrives around tick 1500. The enemy Construction Yard sits at (82,20), 70 cells east. Win bar: SURVIVE the opening with the base intact and at least one harvester alive, BUILD a war factory, field at least four medium tanks, AND raze at least one enemy production building, all inside about 100 turns. The chain must happen in order: survival before production, production before counter-force, counter before kill.","Construction Yard alive AND ≥1 harvester alive (after tick 1500), build weap, field ≥4 medium tanks, raze ≥1 enemy production building, within 9000 ticks.","Construction Yard destroyed, all harvesters dead, or deadline (9001 ticks).","100","9003","weap","≥4× 2tnk","panic-build-army-too-soon (skip defense, the tank rush breaches base before army is ready) LOSES; over-defense (build 4 pbox, no weap, no counter) LOSES (counter clause never latches); stall LOSES (rush breach)"
"f11-defense-then-counter","medium","reasoning","f11-defense-then-counter-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, 1 starter harvester, 3× pre-placed rifleman @(18,18-22). $4000 starting cash.","Enemy base @(82,20) — Construction Yard + Barracks + 4× medium tank pre-positioned @(45,18-22) closing west (hunt). Sentinel fact @(92,38). Scheduled waves: rocket rush (5× e3, hunt) @ tick 1500; second tank wave (3× 2tnk, hunt) @ tick 3000.","OFFENSIVE FROM t=0: 4× 2tnk hunt + scheduled_events rocket rush @ 1500 + second tank wave @ 3000 (medium escalation; sustained pressure)","Commander, this is a defense-then-counter operation against sustained pressure. You are given a western base at (12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, one starter harvester, three pre-placed riflemen. Cash on hand: 4000. Four enemy medium tanks at (45, 18-22) are closing west on a hunt order; a rocket-soldier rush arrives around tick 1500 and a second tank wave around tick 3000. The enemy Construction Yard sits at (82,20). Win bar: SURVIVE through the second wave with the base intact and at least one harvester alive, BUILD a war factory, field at least five medium tanks, AND raze at least one enemy production building, all inside about 130 turns. The chain must happen in order.","Construction Yard alive AND ≥1 harvester alive (after tick 3000), build weap, field ≥5 medium tanks, raze ≥1 enemy production building, within 11700 ticks.","Construction Yard destroyed, all harvesters dead, or deadline (11701 ticks).","130","11703","weap, fix","≥5× 2tnk","panic-build (skip defense) LOSES (4-tank hunt + rocket wave breach base inside 1500 ticks); over-defense (8× pbox no weap) LOSES (counter never fires); under-defense (just the starters) LOSES (second tank wave finishes the base); stall LOSES"
"f11-defense-then-counter","hard","reasoning","f11-defense-then-counter-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western base: sp0 NORTH @(12,12) or sp1 SOUTH @(12,28). Each spawn: Construction Yard + Power Plant + Ore Refinery + Barracks + 1 starter harvester + 3× pre-placed rifleman. $4500 starting cash.","Enemy base @(82,20) — Construction Yard + Barracks + 5× medium tank pre-positioned @(45,12-28) closing west (hunt). Sentinel fact @(92,38). Scheduled waves: rocket rush (6× e3, hunt) @ tick 1500; second tank wave (4× 2tnk, hunt) @ tick 3000; third heli wave (2× heli, hunt) @ tick 4500.","OFFENSIVE FROM t=0: 5× 2tnk hunt + scheduled_events tri-wave: rocket @ 1500 + tank wave @ 3000 + heli wave @ 4500 (hard sustained tri-domain pressure)","Commander, this is a defense-then-counter operation under sustained tri-domain pressure. Your western base spawns NORTH (y=12) or SOUTH (y=28) by seed and holds a Construction Yard, Power Plant, Ore Refinery, Barracks, one harvester, and three riflemen. Cash on hand: 4500. Five enemy medium tanks are closing west on a hunt order; a rocket rush arrives around tick 1500, a second tank wave around tick 3000, and a helicopter wave around tick 4500. The enemy Construction Yard sits at (82,20). Win bar: SURVIVE through the third wave with the base intact and at least one harvester alive, BUILD a war factory AND a helipad, field at least four medium tanks AND at least one helicopter, AND raze at least one enemy production building, all inside about 160 turns. The chain must happen in order.","Construction Yard alive AND ≥1 harvester alive (after tick 4500), build weap AND hpad, field ≥4 medium tanks AND ≥1 helicopter, raze ≥1 enemy production building, within 14400 ticks.","Construction Yard destroyed, all harvesters dead, or deadline (14401 ticks).","160","14403","weap, hpad, fix","≥4× 2tnk + ≥1× heli","panic-build LOSES (opener breach); over-defense LOSES (no counter); ground-only LOSES (heli wave at tick 4500 destroys any base without aa or own air); stall LOSES"
"f11-pivot-on-scout","easy","reasoning","f11-pivot-on-scout-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(8,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, 1 starter harvester, 1 starter jeep (scout, fast, light armament). $4500 starting cash. FOG-OF-WAR ON.","Enemy base @(95,20) — Construction Yard + Barracks + ONE production building visible from the scout vantage @(80,20): on this seed, ALL-INFANTRY (Barracks active) — 4× rifleman + 2× rocket-soldier patrol pre-placed (Defend). Sentinel fact @(108,38).","static + visible single arm (no scheduled waves at easy; the test is observe-the-arm + counter-build)","Commander, this is a perception-and-counter mission against an enemy committed to a single arm. You are given a western base at (8,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, one starter harvester, and one starter jeep. Cash on hand: 4500. Fog of war is on. The enemy base sits at (95,20), 87 cells east. A forward scout vantage at around (80,20) can reveal which production building the enemy is running — they have committed to ONE arm (infantry, armour, or air). Win bar: build a war factory AND/OR a helipad, field at least three units of the COUNTER arm to whatever the enemy is fielding, AND raze at least one enemy production building, all inside about 110 turns. The chain must happen in order: scout the arm before producing the counter, then strike.","Scout the (80,20) vantage cell (jeep enters), then build the appropriate production line (weap OR hpad), field ≥3 units of the counter arm, raze ≥1 enemy production building, within 9900 ticks.","Construction Yard destroyed, all units dead, or deadline (9901 ticks).","110","9903","weap OR hpad (depending on scouted arm)","≥3 units of correct counter arm","same-arm-as-enemy LOSES (kill bar requires counter — same-arm bounces off the picket); ignored-scout (build before scouting) LOSES if guessed wrong on this seed; stall LOSES"
"f11-pivot-on-scout","medium","reasoning","f11-pivot-on-scout-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(8,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, 1 starter harvester, 1 starter jeep. $5000 starting cash. Fog on.","Enemy base @(95,20) — Construction Yard + Barracks + TWO production buildings visible from the scout vantage @(80,20): the model must observe WHICH is set_primary (the active producer). On this seed: armour set_primary (4× 2tnk + 1× rocket-soldier picket). Sentinel fact @(108,38). Scheduled scout-spotter wave (1× jeep) @ tick 2000 (re-spawn to keep observation possible).","static + two-building enemy with set_primary discrimination + scheduled scout-respawn (medium: ambiguity in which arm is producing)","Commander, this is a perception-and-counter mission against an enemy with TWO production buildings, only one of which is active. You are given a western base at (8,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, one starter harvester, and one starter jeep. Cash on hand: 5000. Fog of war is on. The enemy base sits at (95,20). A forward scout vantage at around (80,20) can reveal which of the enemy's two production buildings is the active producer (the primary). Win bar: build a war factory AND/OR a helipad, field at least three units of the COUNTER arm to whatever the enemy is producing, AND raze at least two enemy buildings (including the active producer), all inside about 130 turns.","Scout (80,20), build counter-arm production, field ≥3 units of the counter arm, raze ≥2 enemy buildings including the active production building, within 11700 ticks.","Construction Yard destroyed, all units dead, or deadline (11701 ticks).","130","11703","weap OR hpad (the counter to the scouted active-producer)","≥3 units of correct counter arm","same-arm LOSES; ignored-scout LOSES (guessing wrong loses to deadline; trying to build both arms wastes cash and trips deadline); stall LOSES"
"f11-pivot-on-scout","hard","reasoning","f11-pivot-on-scout-arena","112x40","wide-justified","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western base: sp0 NORTH @(8,12) or sp1 SOUTH @(8,28). Each spawn: Construction Yard + Power Plant + Ore Refinery + Barracks + 1 starter harvester + 1 starter jeep. $5500 starting cash. Fog on.","Enemy base @(95,20) — Construction Yard + Barracks + TWO production buildings + arm switches mid-episode (initial arm visible from scout @(80,20); SWITCH via scheduled_events.spawn_actors @ tick 2000 — new arm spawns + previous arm picket withers in priority). Initial: 4× 2tnk picket; after tick 2000: 5× heli wave injected. Sentinel fact @(108,38).","static + two-building + scheduled_events.spawn_actors at tick 2000 SWITCHES the arm (hard: re-scout + re-pivot under fog)","Commander, this is a perception-and-counter mission where the enemy SWITCHES arms mid-game. Your western base spawns NORTH (y=12) or SOUTH (y=28) by seed and holds a Construction Yard, Power Plant, Ore Refinery, Barracks, one harvester, and one jeep. Cash on hand: 5500. Fog of war is on. The enemy base sits at (95,20). A forward scout vantage at around (80,20) reveals the enemy's initial production arm; around tick 2000 the enemy switches arms, and only a fresh scout move into the vantage will reveal the new arm. Win bar: scout the initial arm, then scout AGAIN after tick 2000, field at least three units of the COUNTER to the SECOND arm, AND raze at least two enemy buildings, all inside about 150 turns. The chain must happen in order: first scout before initial production, second scout after the switch, then counter and strike.","Scout (80,20) before tick 2000, scout (80,20) AFTER tick 2000, build the counter-arm production for the SECOND arm, field ≥3 units of that counter, raze ≥2 enemy buildings, within 13500 ticks.","Construction Yard destroyed, all units dead, or deadline (13501 ticks).","150","13503","weap AND/OR hpad (often must build BOTH if the second arm differs from the first)","≥3 units of correct counter to SECOND arm","locked-in (counter the first arm, ignore the switch) LOSES (second arm invalidates the counter); ignored-second-scout LOSES (guesses wrong); single-scout (only first) LOSES; stall LOSES"
"f11-rebuild-after-attrition","easy","reasoning","f11-rebuild-after-attrition-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, War Factory @(15,22), 2 starter harvesters, 2 starter medium tanks. $3000 starting cash.","Enemy base @(82,20) — Construction Yard + Barracks + 2× rifleman + 1× rocket-soldier picket (Defend); sentinel fact @(92,38). Scheduled scout drone (1× heli, hunt) @ tick 500. NO offensive enemy waves (the attrition IS the pressure).","scheduled_events.destroy_actors @ tick 800 (wipes pre-placed war factory @(15,22) in radius:3) + scheduled scout drone @ tick 500 + termination.agent_units_killed: false","Commander, this is a rebuild-after-attrition mission. You are given a western base at (12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, a War Factory at (15,22), two harvesters, and two starter medium tanks on hold-fire. Cash on hand: 3000. Around tick 800 a scripted strike will RAZE the War Factory (and only the war factory). You must rebuild it AND continue producing. The enemy holds a Construction Yard at (82,20), 70 cells east, lightly defended. Win bar: REBUILD the war factory after the attrition strike, field at least three medium tanks (AFTER the rebuild), AND raze at least one enemy production building, all inside about 110 turns. The chain must happen in order: survive the attrition, rebuild, produce, strike.","After tick 1000: building_count_gte: weap, n: 1 (i.e. weap rebuilt) AND unit_type_count_gte: 2tnk, n: 3 AND raze ≥1 enemy production building. Within 9900 ticks.","Construction Yard destroyed, all harvesters dead, no weap rebuilt by tick 4000, or deadline (9901 ticks).","110","9903","weap (rebuild after attrition)","≥3× 2tnk (built AFTER rebuild)","pre-attrition-only force (build to 4 tanks by tick 700, then ignore rebuild) LOSES (kill bar requires weap ALIVE post-attrition + new tanks); ignore-rebuild (just push with 2 starter tanks) LOSES (insufficient force, no production after wipe); stall LOSES"
"f11-rebuild-after-attrition","medium","reasoning","f11-rebuild-after-attrition-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Western base @(12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, War Factory @(15,22), Service Depot @(18,22), 2 starter harvesters, 2 starter medium tanks. $3500 starting cash.","Enemy base @(82,20) — Construction Yard + Barracks + 3× rifle + 2× rocket-soldier picket (Defend); sentinel fact @(92,38). Scheduled scout drone @ tick 500. Light enemy harassment: scheduled rocket-soldier raid (2× e3, hunt) @ tick 2500.","scheduled_events.destroy_actors @ tick 800 (wipes weap) + scheduled scout drone @ 500 + light harass raid @ 2500 + termination.agent_units_killed: false (medium escalation; the rebuild is under modest harassment)","Commander, this is a rebuild-after-attrition mission under modest harassment. You are given a western base at (12,20) — Construction Yard, Power Plant, Ore Refinery, Barracks, War Factory at (15,22), Service Depot at (18,22), two harvesters, and two starter medium tanks on hold-fire. Cash on hand: 3500. Around tick 800 a scripted strike will RAZE the War Factory. Around tick 2500 a small rocket-soldier raid arrives. You must rebuild AND continue producing AND defend. The enemy holds a defended base at (82,20). Win bar: REBUILD the war factory after attrition, field at least four medium tanks (after the rebuild), AND raze at least two enemy buildings, all inside about 130 turns. The chain must happen in order.","After tick 1000: building_count_gte: weap, n: 1 AND unit_type_count_gte: 2tnk, n: 4 AND raze ≥2 enemy buildings. Within 11700 ticks.","Construction Yard destroyed, all harvesters dead, no weap rebuilt by tick 4500, or deadline (11701 ticks).","130","11703","weap (rebuild)","≥4× 2tnk (post-rebuild)","pre-attrition-only LOSES; ignore-rebuild LOSES; stall LOSES; over-econ (rebuild proc instead of weap) LOSES (weap clause never relatches)"
"f11-rebuild-after-attrition","hard","reasoning","f11-rebuild-after-attrition-arena","96x40","fit","observe, build, place_building, move_units, attack_unit, attack_move, set_stance, stop","Seed-rotated western base: sp0 NORTH @(12,12) or sp1 SOUTH @(12,28). Each spawn: Construction Yard + Power Plant + Ore Refinery + Barracks + War Factory + Service Depot + 2 starter harvesters + 2 starter medium tanks. $4000 starting cash.","Enemy base @(82,20) — Construction Yard + Barracks + 4× rifle + 2× rocket-soldier + 1× medium tank picket (Defend); sentinel fact @(92,38). Scheduled scout drone @ 500. Scheduled rocket raid (3× e3, hunt) @ 2500.","scheduled_events.destroy_actors TWICE: tick 800 wipes weap + tick 2000 wipes proc + scheduled scout drone @ 500 + harass raid @ 2500 + termination.agent_units_killed: false (hard: dual rebuild under sustained pressure)","Commander, this is a rebuild-after-attrition mission against TWO scripted strikes. Your western base spawns NORTH (y=12) or SOUTH (y=28) by seed and holds a Construction Yard, Power Plant, Ore Refinery, Barracks, War Factory, Service Depot, two harvesters, and two starter medium tanks on hold-fire. Cash on hand: 4000. Around tick 800 a scripted strike will RAZE the War Factory; around tick 2000 a second strike will RAZE the Ore Refinery. Around tick 2500 a rocket-soldier raid arrives. The enemy holds a defended base at (82,20). Win bar: REBUILD BOTH the war factory AND the refinery, field at least five medium tanks (after both rebuilds), AND raze at least two enemy buildings, all inside about 160 turns. The chain must happen in order.","After tick 2200: building_count_gte: weap, n: 1 AND building_count_gte: proc, n: 1 AND unit_type_count_gte: 2tnk, n: 5 AND raze ≥2 enemy buildings. Within 14400 ticks.","Construction Yard destroyed, all harvesters dead, no weap or proc rebuilt by tick 5500, or deadline (14401 ticks).","160","14403","weap (rebuild), proc (rebuild)","≥5× 2tnk (post-double-rebuild)","pre-attrition-only LOSES (army gets stuck w/o weap or income post-tick-2000); ignore-rebuild LOSES; single-rebuild (weap only, no proc) LOSES (proc clause never relatches); stall LOSES"
