"pack","level","capability","map_name","map_size","map_fit","tools","agent_force","enemy_force","enemy_posture","posture_issue","briefing_RA","win_condition","lose_condition","max_turns","tick_budget","starting_cash","tech_chain","build_time_check","leak_flag","production_audit_issue"
"build-repair-priority-under-fire","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, repair","proc @(20,8) + weap @(20,20) + pre-damaged pbox @(20,32) at 30% HP + fix @(44,20) + fact @(48,20); $8000","3× grenadier @(20,4) on the proc (lethal); 4× grenadier @(20,36) on the pbox (decoy, low chip); sentinel fact @(120,20)","enemy e2 (grenadier) st3; matches briefing — bands engage own-latitude buildings","","Commander, this is a disaster-recovery triage drill. Three of your buildings are under attrition: a Refinery in the north (under three grenadiers), a War Factory at the centre (no direct attackers yet), and a Pillbox in the south (already damaged to about 30% HP, looks worst but is heavily armoured and ignores the four grenadiers chipping it). The Refinery is on a LETHAL trajectory — it dies in a few turns without help. Toggle REPAIR on the right building(s). Win when both the Refinery AND the War Factory are still standing after turn 14, and before turn 27.","Refinery alive AND War Factory alive, between tick 1200 and 2400.","Refinery or War Factory destroyed, or deadline (2401 ticks).","28","2523","8000","no builds — repair only","ok (repair toggle, no build chain)","clean",""
"build-repair-priority-under-fire","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, repair","Same three buildings (proc N, weap C, pre-damaged pbox S) + fix + fact rear; $8000","3× grenadier on proc + 2× grenadier on weap (NEW lethal axis) + 4× grenadier on pbox (still decoy); sentinel","enemy e2 st3 on three latitudes","","Commander, this is a disaster-recovery triage drill at heavier weight. Same three buildings — Refinery (north), War Factory (centre), pre-damaged Pillbox (south, 30% HP, the decoy). Both the Refinery AND the War Factory are now on lethal trajectories (a separate grenadier band sits on the War Factory). Two repair targets, one repair organ — but the engine lets you toggle repair on more than one building. Keep BOTH the Refinery and the War Factory alive between turn 19 and about turn 30.","Refinery AND War Factory alive, between tick 1700 and 2700.","Refinery or War Factory destroyed, or deadline (2701 ticks).","31","2793","8000","no builds — repair only","ok (repair toggle)","clean",""
"build-repair-priority-under-fire","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, repair","Base flips WEST (x=20) or EAST (x=70) by seed — both bands and three target buildings duplicated per spawn; $8000","Same three grenadier bands at the active longitude (per-owner spawn_point on enemy side); sentinel","enemy e2 st3 with per-owner spawn_point; matches briefing","","Commander, this is a disaster-recovery triage drill with seed-rotated staging. Three buildings under attrition — Refinery, War Factory, pre-damaged Pillbox decoy. Your base stages at either the WEST (x=20) or EAST (x=70) longitude depending on seed; the matching grenadier bands follow. Keep the Refinery and the War Factory alive between turn 19 and about turn 30.","Refinery AND War Factory alive, between tick 1700 and 2700.","Refinery or War Factory destroyed, or deadline (2701 ticks).","31","2793","8000","no builds — repair only","ok (repair toggle)","clean",""
"build-sell-and-rebuild-elsewhere","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, sell, build, place_building","Safe NW Construction Yard @(4,4) + Power Plant @(4,9); EXPOSED forward Refinery @(60,20); $800","2× rifle infantry @(110,20) Attack-Anything (hunt bot); sentinel fact @(125,20)","enemy hunt e1 st3 on centre lane; matches briefing","","Commander, this is a capital-reallocation drill. Your safe north-west corner has a Construction Yard and a Power Plant. A forward Refinery sits exposed at (60,20) on the centre lane, in the path of two rifle infantry approaching from the east on hunt orders — the forward Refinery will be razed within roughly 25-30 turns. Cash $800. Win: own a Refinery near (16,8) in the safe north-west pocket AND keep the Construction Yard, within about 50 turns. Note: a new Refinery costs $1400 — more than your starting cash. Selling a building refunds half its build cost.","Refinery within radius 6 of (16,8) AND Construction Yard standing, within 4500 ticks.","Construction Yard destroyed, or deadline (4501 ticks).","60","5403","800","proc (rebuild at safe region)","unaffordable-without-sell:cost=1400,have=800; refund 700 closes the gap","clean","unaffordable:need=1400,have=800,proj=800"
"build-sell-and-rebuild-elsewhere","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, sell, build, place_building","Same safe NW base + exposed forward Refinery @(60,20); $700 (exactly half a proc)","3× rifle infantry @(110,20) Attack-Anything (heavier hunt band); sentinel fact @(125,20)","enemy hunt e1 st3","","Commander, this is a capital-reallocation drill on a tighter budget. Same safe NW corner (Construction Yard + Power Plant) and exposed forward Refinery at (60,20). A heavier hunt band — three riflemen — closes from the east and razes the forward Refinery in roughly 20 turns. Cash $700 (exactly half a Refinery's cost). Win: a Refinery near (16,8) AND the Construction Yard alive, within about 50 turns.","Refinery within radius 6 of (16,8) AND Construction Yard standing, within 4500 ticks.","Construction Yard destroyed, or deadline (4501 ticks).","60","5403","700","proc (rebuild at safe region)","unaffordable-without-sell:cost=1400,have=700; refund 700 closes the gap exactly","clean","unaffordable:need=1400,have=800,proj=800"
"build-sell-and-rebuild-elsewhere","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, sell, build, place_building","Safe NW base @(4,4)/(4,9) (spawn 0) OR safe SW base @(4,36)/(4,31) (spawn 1) by seed + inert HoldFire e1 spawn-witness per group; exposed forward proc @(60,20) — always places; $700","3× rifle infantry @(110,20) Attack-Anything; sentinel fact @(125,20)","enemy hunt e1 st3","","Commander, this is a capital-reallocation drill with seed-rotated staging. Your safe base stages at either the NORTH corner (y=4) or SOUTH corner (y=36) depending on seed; the forward exposed Refinery is on the centre lane (60,20) for both seeds. Three riflemen close from the east. $700. Win: a Refinery at the safe corner of YOUR latitude (radius 6 of (16,8) for NORTH, (16,36) for SOUTH) AND your Construction Yard alive, within about 50 turns.","Refinery at matching-latitude safe region AND Construction Yard standing, within 4500 ticks.","Construction Yard destroyed, or deadline (4501 ticks).","60","5403","700","proc (latitude-matched relocation)","unaffordable-without-sell:cost=1400,have=700","clean","unaffordable:need=1400,have=800,proj=800"
"build-sequence-tech-cheapest","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building","Construction Yard @(10,18); $3750 (fixed, no ore, no income)","sentinel Construction Yard @(115,30)","no enemy combat","","Commander, this is a cost-minimal build-order drill. You start with ONE building — a Construction Yard — and $3750 cash. There is no ore patch and no harvester, so the starting cash is the entire budget. Build a War Factory (cost 2000) — which requires a Refinery (cost 1400) — which requires a Power Plant (cost 300). Deadline about 36 turns. The chain must be built in the prerequisite order.","then-latch: Power Plant → Refinery → War Factory, within 3200 ticks.","Construction Yard destroyed, or deadline (3201 ticks).","40","3603","3750","powr → proc → weap (66s critical-path)","build-time-over-budget:66s>40t — flagged conservatively; engine measured ~74t fits","clean","build-time-over-budget:66s>40t"
"build-sequence-tech-cheapest","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building","Construction Yard @(10,18); $3720 (only $20 slack)","sentinel Construction Yard @(115,30)","no enemy combat","","Commander, this is a cost-minimal build-order drill on a tighter budget. One Construction Yard and $3720 — only $20 of slack over the minimum chain ($3700 = $300 + $1400 + $2000). No ore, no income. Build a War Factory via Power Plant then Refinery. About 36 turns.","then-latch: Power Plant → Refinery → War Factory, within 3200 ticks.","Construction Yard destroyed, or deadline (3201 ticks).","40","3603","3720","powr → proc → weap","build-time-over-budget:66s>40t — same as easy","clean","build-time-over-budget:66s>40t"
"build-sequence-tech-cheapest","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building","Construction Yard flips NORTH (y=14) or SOUTH (y=26) by seed + inert e1 (st2, no move tool) spawn-witness per group; $3720","sentinel Construction Yard @(115,30)","no enemy combat","","Commander, this is a cost-minimal build-order drill with seed-rotated staging. One Construction Yard at NORTH (y=14) or SOUTH (y=26) by seed; $3720; no ore, no income. Read the yard's position, build Power Plant → Refinery → War Factory adjacent to it. About 36 turns.","then-latch: Power Plant → Refinery → War Factory, within 3200 ticks.","Construction Yard destroyed, or deadline (3201 ticks).","40","3603","3720","powr → proc → weap","build-time-over-budget:66s>40t — flagged conservatively","clean","build-time-over-budget:66s>40t"
"build-sequence-tech-fastest","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building","Construction Yard @(10,18) + 2× ore patches @(22,18)/(22,22); $5000","sentinel Construction Yard @(115,30)","no enemy combat","","Commander, this is a fastest-build-order drill. One Construction Yard, $5000, and a near-base ore patch. Build a War Factory by following the prerequisite chain: Power Plant first (needed for the Refinery and the rest of the grid), then the Refinery, then the War Factory. Detours into other buildings (a barracks, a second power plant) waste both cash and queue time and bust the clock. About 34 turns.","then-latch: Power Plant → Refinery → War Factory, within 3000 ticks.","Construction Yard destroyed, or deadline (3001 ticks).","40","3603","5000","powr → proc → weap (66s critical-path)","build-time-over-budget:66s>40t — empirically fits at ~74t with measured timings (tick 2613 ~ 29 turns)","clean","build-time-over-budget:66s>40t"
"build-sequence-tech-fastest","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building","Same — fact + 2× ore patches; $5000","sentinel Construction Yard @(115,30)","no enemy combat","","Commander, this is a fastest-build-order drill on a tight clock. One Construction Yard, $5000, near-base ore. Power Plant → Refinery → War Factory in order. Deadline tightens to about 31 turns; a detour overruns.","then-latch: Power Plant → Refinery → War Factory, within 2800 ticks.","Construction Yard destroyed, or deadline (2801 ticks).","35","3153","5000","powr → proc → weap","build-time-over-budget:66s>35t — measured fits at 29 turns intended","clean","build-time-over-budget:66s>40t"
"build-sequence-tech-fastest","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building","Construction Yard flips NORTH (y=14) or SOUTH (y=26) by seed + per-spawn e1 sentry + ore patches duplicated at both latitudes; $5000","sentinel Construction Yard @(115,30)","no enemy combat","","Commander, this is a fastest-build-order drill with seed-rotated staging. One Construction Yard at NORTH or SOUTH (by seed) with $5000 and adjacent ore. Read the yard's position, build Power Plant → Refinery → War Factory in order. About 31 turns.","then-latch: Power Plant → Refinery → War Factory, within 2800 ticks.","Construction Yard destroyed, or deadline (2801 ticks).","35","3153","5000","powr → proc → weap","build-time-over-budget:66s>35t — measured fits","clean","build-time-over-budget:66s>40t"
"build-sequence-tech-most-resilient","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, stop","fact @(8,18) + proc @(12,18) + fix @(16,18) + harv @(12,22) + ore patch @(20,22) + EXPOSED powr @(40,18); $6000","scheduled_events: destroy_actors at tick 1500 region (40,18,r=6) razes the exposed powr; sentinel fact @(115,30)","enemy is scheduled-event strike only — no scripted bot","","Commander, this is a resilient build-order drill. You inherit a base — Construction Yard, Refinery, Service Depot, Ore Truck on an ore patch — and ONE exposed Power Plant pushed forward at (40,18). $6000 cash. An enemy strike will raze that forward Power Plant around turn 17 (tick 1500). If it is your only Power Plant when the strike lands, your grid goes negative, production halves, and the tank quota misses the deadline. Win: own a Power Plant, then a War Factory (in order), still own a Power Plant at the end, field three Medium Tanks, Construction Yard standing, within about 60 turns.","then-latch: powr → weap, AND ≥1 powr alive AND ≥3 Medium Tanks AND fact alive, within 5400 ticks.","Construction Yard destroyed, or deadline (5401 ticks).","60","5403","6000","powr (redundant) → weap → 2tnk×3","ok with parallel queues — Building serial powr+weap = 46s, Vehicle parallel 16s/tank with overlap","clean",""
"build-sequence-tech-most-resilient","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, stop","Same base + exposed forward powr; $6000","Same scheduled strike at tick 1500; sentinel","scheduled-event strike","","Commander, this is a resilient build-order drill on a tighter clock. Same inherited base (Construction Yard, Refinery, Service Depot, Ore Truck) plus one exposed forward Power Plant at (40,18). Same tick-1500 strike. $6000. Deadline tightens to about 50 turns; commit the redundant Power Plant early.","then-latch: powr → weap, AND ≥1 powr alive AND ≥3 Medium Tanks AND fact alive, within 4500 ticks.","Construction Yard destroyed, or deadline (4501 ticks).","50","4503","6000","powr (redundant) → weap → 2tnk×3","ok (parallel queues, 50-turn budget)","clean",""
"build-sequence-tech-most-resilient","hard","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, harvest, move_units, stop","Full base + exposed forward powr flips NORTH (y=12) or SOUTH (y=26) by seed; strike regions duplicated per latitude; ore patches per latitude; $6000","Two scheduled destroy_actors at tick 1500 — region (40,12,r=6) AND (40,26,r=6); only the active-latitude strike hits anything; sentinel @(115,33)","scheduled-event strike","","Commander, this is a resilient build-order drill with seed-rotated staging. Same base (Construction Yard, Refinery, Service Depot, Ore Truck) plus exposed forward Power Plant — all may sit in the NORTH (y=12) or SOUTH (y=26) band. The mid-episode strike at tick 1500 razes the exposed Power Plant at your active latitude. $6000, about 50 turns to land Power Plant → War Factory, keep a Power Plant alive, field three Medium Tanks.","then-latch: powr → weap, AND ≥1 powr alive AND ≥3 Medium Tanks AND fact alive, within 4500 ticks.","Construction Yard destroyed, or deadline (4501 ticks).","50","4503","6000","powr (redundant, latitude-matched) → weap → 2tnk×3","ok (parallel queues, 50-turn budget)","clean",""
"build-tech-skip-decision","easy","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, attack_move, stop","Construction Yard @(10,20) + Barracks @(13,20); $6000","5× rifle infantry @(52,20) on Attack-Anything (closes on the agent base); sentinel fact @(120,20)","enemy e1 st3 advances on agent base — matches briefing","","Commander, this is a right-sizing decision drill. Your base has a Construction Yard and a Barracks pre-placed, so rifle infantry (cost 100 each) are trainable from turn 1 with no further tech. $6000 cash. A light enemy garrison of five riflemen is advancing from the east on Attack-Anything orders. Kill at least four enemies AND keep your Construction Yard, within about 17 turns. Cash also covers a full tech climb to a War Factory and tanks, but that whole tier costs CLOCK — by the deadline the tech play has zero tanks fielded.","≥4 enemies killed AND Construction Yard standing, within 1600 ticks.","Construction Yard destroyed, or deadline (1601 ticks).","30","2703","6000","e1 swarm (no tech climb; pre-placed tent enables turn-1 training)","ok (e1 5s × 4-5 trains comfortably in 17 turns)","clean",""
"build-tech-skip-decision","medium","reasoning","rush-hour-arena","128x40","large-trivial","observe, build, place_building, move_units, attack_move, stop","Same — fact + tent; $6000","7× rifle infantry @(52,20) Attack-Anything; sentinel","enemy e1 st3","","Commander, this is a right-sizing decision drill at heavier weight. Same base (Construction Yard + Barracks) and $6000. A larger enemy garrison — seven riflemen — advances from the east. Kill at least six AND keep the Construction Yard, within about 15 turns.","≥6 enemies killed AND Construction Yard standing, within 1400 ticks.","Construction Yard destroyed, or deadline (1401 ticks).","30","2703","6000","e1 swarm","ok","clean",""
