slug,name_kind,faction,hp_engine,sight_engine,cost_engine,buildtime_ticks_engine,prereqs_engine,weapons_engine,armor_class,speed,cost_defaults_rs,hp_defaults_rs,cost_doc,buildtime_sec_doc,prereqs_doc,doc_source_paths,mismatches,bench_claim_inconsistencies,source_used_at_runtime
stek,Building,soviet,80000,-,1500,900,"dome,weap",,Wood,0,2800,60000,,,,,,defaults() cost=$2800 vs vendor cost=$1500; defaults() hp=60000 vs vendor hp=80000,vendor
sub,Ship,both,60000,4,950,570,,,None,71,950,60000,,,,,,,defaults
syrd,Building,allies,100000,-,1000,600,anypower,,Wood,0,650,120000,2000,,proc,audits/EDIT_PRINCIPLES_FAMILY11.md §70,cost: doc=$2000 engine=$1000; prereqs: doc=proc engine=anypower,defaults() cost=$650 vs vendor cost=$1000; defaults() hp=120000 vs vendor hp=100000,vendor
tanya,Infantry,both,150000,4,1200,720,,,None,64,1200,150000,,,,,,,defaults
tent,Building,allies,60000,-,500,300,anypower,,Wood,0,400,50000,400,10,fact,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,cost: doc=$400 engine=$500,defaults() cost=$400 vs vendor cost=$500; defaults() hp=50000 vs vendor hp=60000,vendor
thf,Infantry,both,8000,5,500,300,"barr,dome",,None,72,500,50000,500,15,"tent,fix",audits/PRODUCTION_TECH_AUDIT.md;openra_bench/prompt_v2.py _CODEX,"prereqs: doc=tent,fix engine=barr,dome",defaults() hp=50000 vs vendor hp=8000,vendor
tsla,Building,soviet,40000,-,1200,720,weap,TeslaZap,Heavy,0,1500,40000,,,,,,defaults() cost=$1500 vs vendor cost=$1200,vendor
ttnk,Vehicle,soviet,40000,-,1350,810,"stek,tsla,vehicles.russia",TTankZap,Light,92,1500,100000,,,,,,defaults() cost=$1500 vs vendor cost=$1350; defaults() hp=100000 vs vendor hp=40000,vendor
v2rl,Vehicle,soviet,20000,-,900,540,"dome,vehicles.soviet",SCUD,Light,72,700,150000,,,,,,defaults() cost=$700 vs vendor cost=$900; defaults() hp=150000 vs vendor hp=20000,vendor
weap,Building,both,150000,-,2000,1200,proc,,Wood,0,2000,100000,2000,30,proc,audits/EDIT_PRINCIPLES_FAMILY2.md §17;audits/PRODUCTION_TECH_AUDIT.md,,defaults() hp=100000 vs vendor hp=150000,vendor
yak,Aircraft,both,6000,-,1350,810,afld,ChainGun.Yak,None,178,800,100000,,,,,,defaults() cost=$800 vs vendor cost=$1350; defaults() hp=100000 vs vendor hp=6000,vendor
