pack,level,capability,file,reviewed,edited,map_fit,max_turns,has_fail,tick_budget_ok,issues
adversarial-duel,easy,adversarial,adversarial-duel.yaml,yes,no,fit,30,yes,yes,OK
adversarial-duel,medium,adversarial,adversarial-duel.yaml,yes,no,fit,40,yes,yes,OK
adversarial-duel,hard,adversarial,adversarial-duel.yaml,yes,no,fit,50,yes,yes,OK
artofwar-indirect-approach,easy,reasoning,artofwar-indirect-approach.yaml,yes,no,fit,60,yes,yes,OK
artofwar-indirect-approach,medium,reasoning,artofwar-indirect-approach.yaml,yes,no,fit,66,yes,yes,OK
artofwar-indirect-approach,hard,reasoning,artofwar-indirect-approach.yaml,yes,no,fit,70,yes,yes,OK
artofwar-lure-the-tiger,easy,reasoning,artofwar-lure-the-tiger.yaml,yes,no,fit,66,yes,yes,OK
artofwar-lure-the-tiger,medium,reasoning,artofwar-lure-the-tiger.yaml,yes,no,fit,76,yes,yes,OK
artofwar-lure-the-tiger,hard,reasoning,artofwar-lure-the-tiger.yaml,yes,no,fit,84,yes,yes,OK
artofwar-sequenced-citadel,easy,reasoning,artofwar-sequenced-citadel.yaml,yes,no,fit,30,yes,yes,OK
artofwar-sequenced-citadel,medium,reasoning,artofwar-sequenced-citadel.yaml,yes,no,fit,30,yes,yes,OK
artofwar-sequenced-citadel,hard,reasoning,artofwar-sequenced-citadel.yaml,yes,no,fit,32,yes,yes,OK
build-defensive-skirt-corners,easy,reasoning,build-defensive-skirt-corners.yaml,yes,yes,large-trivial,60,yes,yes,MAP_LARGE_TRIVIAL
build-defensive-skirt-corners,medium,reasoning,build-defensive-skirt-corners.yaml,yes,yes,large-trivial,60,yes,yes,MAP_LARGE_TRIVIAL
build-defensive-skirt-corners,hard,reasoning,build-defensive-skirt-corners.yaml,yes,yes,large-trivial,60,yes,yes,MAP_LARGE_TRIVIAL
build-defensive-tower-cluster,easy,reasoning,build-defensive-tower-cluster.yaml,yes,yes,fit,60,yes,yes,OK
build-defensive-tower-cluster,medium,reasoning,build-defensive-tower-cluster.yaml,yes,yes,fit,60,yes,yes,OK
build-defensive-tower-cluster,hard,reasoning,build-defensive-tower-cluster.yaml,yes,yes,fit,60,yes,yes,OK
build-defensive-tower-line,easy,reasoning,build-defensive-tower-line.yaml,yes,yes,fit,60,yes,yes,OK
build-defensive-tower-line,medium,reasoning,build-defensive-tower-line.yaml,yes,yes,fit,60,yes,yes,OK
build-defensive-tower-line,hard,reasoning,build-defensive-tower-line.yaml,yes,yes,fit,70,yes,yes,OK
build-engineer-rebuild-after-loss,easy,reasoning,build-engineer-rebuild-after-loss.yaml,yes,yes,fit,30,yes,yes,OK
build-engineer-rebuild-after-loss,medium,reasoning,build-engineer-rebuild-after-loss.yaml,yes,yes,fit,30,yes,yes,OK
build-engineer-rebuild-after-loss,hard,reasoning,build-engineer-rebuild-after-loss.yaml,yes,yes,fit,30,yes,yes,OK
build-power-down-defensive,easy,reasoning,build-power-down-defensive.yaml,yes,yes,fit,40,yes,yes,OK
build-power-down-defensive,medium,reasoning,build-power-down-defensive.yaml,yes,yes,fit,36,yes,yes,OK
build-power-down-defensive,hard,reasoning,build-power-down-defensive.yaml,yes,yes,fit,36,yes,yes,OK
build-power-online-first,easy,reasoning,build-power-online-first.yaml,yes,yes,fit,40,yes,yes,OK
build-power-online-first,medium,reasoning,build-power-online-first.yaml,yes,yes,fit,32,yes,yes,OK
build-power-online-first,hard,reasoning,build-power-online-first.yaml,yes,yes,fit,32,yes,yes,OK
build-production-throughput-multibuilding,easy,reasoning,build-production-throughput-multibuilding.yaml,yes,no,fit,35,yes,yes,OK
build-production-throughput-multibuilding,medium,reasoning,build-production-throughput-multibuilding.yaml,yes,no,fit,33,yes,yes,OK
build-production-throughput-multibuilding,hard,reasoning,build-production-throughput-multibuilding.yaml,yes,no,fit,33,yes,yes,OK
build-rally-point-management,easy,action,build-rally-point-management.yaml,yes,yes,fit,30,yes,yes,OK
build-rally-point-management,medium,action,build-rally-point-management.yaml,yes,yes,fit,22,yes,yes,OK
build-rally-point-management,hard,action,build-rally-point-management.yaml,yes,yes,fit,22,yes,yes,OK
build-repair-priority-under-fire,easy,reasoning,build-repair-priority-under-fire.yaml,yes,no,fit,28,yes,yes,OK
build-repair-priority-under-fire,medium,reasoning,build-repair-priority-under-fire.yaml,yes,no,fit,31,yes,yes,OK
build-repair-priority-under-fire,hard,reasoning,build-repair-priority-under-fire.yaml,yes,no,fit,31,yes,yes,OK
build-sell-and-rebuild-elsewhere,easy,reasoning,build-sell-and-rebuild-elsewhere.yaml,yes,no,fit,60,yes,yes,OK
build-sell-and-rebuild-elsewhere,medium,reasoning,build-sell-and-rebuild-elsewhere.yaml,yes,no,fit,60,yes,yes,OK
build-sell-and-rebuild-elsewhere,hard,reasoning,build-sell-and-rebuild-elsewhere.yaml,yes,no,fit,60,yes,yes,OK
build-sequence-tech-cheapest,easy,reasoning,build-sequence-tech-cheapest.yaml,yes,no,fit,40,yes,yes,OK
build-sequence-tech-cheapest,medium,reasoning,build-sequence-tech-cheapest.yaml,yes,no,fit,40,yes,yes,OK
build-sequence-tech-cheapest,hard,reasoning,build-sequence-tech-cheapest.yaml,yes,no,fit,40,yes,yes,OK
build-sequence-tech-fastest,easy,reasoning,build-sequence-tech-fastest.yaml,yes,no,fit,40,yes,yes,OK
build-sequence-tech-fastest,medium,reasoning,build-sequence-tech-fastest.yaml,yes,no,fit,35,yes,yes,OK
build-sequence-tech-fastest,hard,reasoning,build-sequence-tech-fastest.yaml,yes,no,fit,35,yes,yes,OK
build-sequence-tech-most-resilient,easy,reasoning,build-sequence-tech-most-resilient.yaml,yes,yes,fit,60,yes,yes,OK
build-sequence-tech-most-resilient,medium,reasoning,build-sequence-tech-most-resilient.yaml,yes,yes,fit,50,yes,yes,OK
build-sequence-tech-most-resilient,hard,reasoning,build-sequence-tech-most-resilient.yaml,yes,yes,fit,50,yes,yes,OK
build-tech-skip-decision,easy,reasoning,build-tech-skip-decision.yaml,yes,no,fit,30,yes,yes,OK
build-tech-skip-decision,medium,reasoning,build-tech-skip-decision.yaml,yes,no,fit,30,yes,yes,OK
build-tech-skip-decision,hard,reasoning,build-tech-skip-decision.yaml,yes,no,fit,30,yes,yes,OK
building-and-planning,easy,reasoning,building-and-planning.yaml,yes,no,fit,30,yes,yes,OK
building-and-planning,medium,reasoning,building-and-planning.yaml,yes,no,fit,40,yes,yes,OK
building-and-planning,hard,reasoning,building-and-planning.yaml,yes,no,fit,70,yes,yes,OK
combat-attack-from-behind-fog,easy,reasoning,combat-attack-from-behind-fog.yaml,yes,no,fit,72,yes,yes,OK
combat-attack-from-behind-fog,medium,reasoning,combat-attack-from-behind-fog.yaml,yes,no,fit,60,yes,yes,OK
combat-attack-from-behind-fog,hard,reasoning,combat-attack-from-behind-fog.yaml,yes,no,fit,60,yes,yes,OK
combat-bait-counter-attack,easy,reasoning,combat-bait-counter-attack.yaml,yes,no,fit,62,yes,yes,OK
combat-bait-counter-attack,medium,reasoning,combat-bait-counter-attack.yaml,yes,no,fit,62,yes,yes,OK
combat-bait-counter-attack,hard,reasoning,combat-bait-counter-attack.yaml,yes,no,fit,62,yes,yes,OK
combat-divide-and-conquer,easy,reasoning,combat-divide-and-conquer.yaml,yes,no,fit,60,yes,yes,OK
combat-divide-and-conquer,medium,reasoning,combat-divide-and-conquer.yaml,yes,no,fit,60,yes,yes,OK
combat-divide-and-conquer,hard,reasoning,combat-divide-and-conquer.yaml,yes,no,fit,60,yes,yes,OK
combat-flanking-attack,easy,action,combat-flanking-attack.yaml,yes,no,fit,51,yes,yes,OK
combat-flanking-attack,medium,action,combat-flanking-attack.yaml,yes,no,fit,51,yes,yes,OK
combat-flanking-attack,hard,action,combat-flanking-attack.yaml,yes,no,fit,51,yes,yes,OK
combat-focus-fire-priority,easy,action,combat-focus-fire-priority.yaml,yes,no,fit,30,yes,yes,OK
combat-focus-fire-priority,medium,action,combat-focus-fire-priority.yaml,yes,no,fit,30,yes,yes,OK
combat-focus-fire-priority,hard,action,combat-focus-fire-priority.yaml,yes,no,fit,30,yes,yes,OK
combat-formation-tank-wedge,easy,action,combat-formation-tank-wedge.yaml,yes,no,fit,75,yes,yes,OK
combat-formation-tank-wedge,medium,action,combat-formation-tank-wedge.yaml,yes,no,fit,75,yes,yes,OK
combat-formation-tank-wedge,hard,action,combat-formation-tank-wedge.yaml,yes,no,fit,75,yes,yes,OK
combat-harass-aggro-commit,easy,action,combat-harass-aggro-commit.yaml,yes,yes,fit,51,yes,yes,OK
combat-harass-aggro-commit,medium,action,combat-harass-aggro-commit.yaml,yes,yes,fit,51,yes,yes,OK
combat-harass-aggro-commit,hard,action,combat-harass-aggro-commit.yaml,yes,yes,fit,51,yes,yes,OK
combat-harass-balanced-hit-and-run,easy,reasoning,combat-harass-balanced-hit-and-run.yaml,yes,yes,fit,62,yes,yes,OK
combat-harass-balanced-hit-and-run,medium,reasoning,combat-harass-balanced-hit-and-run.yaml,yes,yes,fit,62,yes,yes,OK
combat-harass-balanced-hit-and-run,hard,reasoning,combat-harass-balanced-hit-and-run.yaml,yes,yes,fit,62,yes,yes,OK
combat-heli-flank,easy,action,combat-heli-flank.yaml,yes,no,fit,21,yes,yes,OK
combat-heli-flank,medium,action,combat-heli-flank.yaml,yes,no,fit,24,yes,yes,OK
combat-heli-flank,hard,action,combat-heli-flank.yaml,yes,no,fit,21,yes,yes,OK
combat-hold-chokepoint,easy,action,combat-hold-chokepoint.yaml,yes,no,fit,75,yes,yes,OK
combat-hold-chokepoint,medium,action,combat-hold-chokepoint.yaml,yes,no,fit,75,yes,yes,OK
combat-hold-chokepoint,hard,action,combat-hold-chokepoint.yaml,yes,no,fit,75,yes,yes,OK
combat-kite-and-pull,easy,action,combat-kite-and-pull.yaml,yes,no,fit,51,yes,yes,OK
combat-kite-and-pull,medium,action,combat-kite-and-pull.yaml,yes,no,fit,51,yes,yes,OK
combat-kite-and-pull,hard,action,combat-kite-and-pull.yaml,yes,no,fit,41,yes,yes,OK
combat-kite-jeep-vs-tank,easy,action,combat-kite-jeep-vs-tank.yaml,yes,yes,fit,51,yes,yes,OK
combat-kite-jeep-vs-tank,medium,action,combat-kite-jeep-vs-tank.yaml,yes,yes,fit,51,yes,yes,OK
combat-kite-jeep-vs-tank,hard,action,combat-kite-jeep-vs-tank.yaml,yes,yes,fit,41,yes,yes,OK
combat-naval-shore-strike,easy,action,combat-naval-shore-strike.yaml,yes,no,fit,32,yes,yes,OK
combat-naval-shore-strike,medium,action,combat-naval-shore-strike.yaml,yes,no,fit,32,yes,yes,OK
combat-naval-shore-strike,hard,action,combat-naval-shore-strike.yaml,yes,no,fit,32,yes,yes,OK
combat-pincer-coordination,easy,action,combat-pincer-coordination.yaml,yes,no,fit,64,yes,yes,OK
combat-pincer-coordination,medium,action,combat-pincer-coordination.yaml,yes,no,fit,64,yes,yes,OK
combat-pincer-coordination,hard,action,combat-pincer-coordination.yaml,yes,no,fit,64,yes,yes,OK
combat-prevent-retreat,easy,action,combat-prevent-retreat.yaml,yes,no,fit,60,yes,yes,OK
combat-prevent-retreat,medium,action,combat-prevent-retreat.yaml,yes,no,fit,60,yes,yes,OK
combat-prevent-retreat,hard,action,combat-prevent-retreat.yaml,yes,no,fit,60,yes,yes,OK
combat-protect-vip-escort,easy,action,combat-protect-vip-escort.yaml,yes,no,fit,61,yes,yes,OK
combat-protect-vip-escort,medium,action,combat-protect-vip-escort.yaml,yes,no,fit,61,yes,yes,OK
combat-protect-vip-escort,hard,action,combat-protect-vip-escort.yaml,yes,no,fit,61,yes,yes,OK
combat-retreat-after-engagement,easy,reasoning,combat-retreat-after-engagement.yaml,yes,no,fit,51,yes,yes,OK
combat-retreat-after-engagement,medium,reasoning,combat-retreat-after-engagement.yaml,yes,no,fit,51,yes,yes,OK
combat-retreat-after-engagement,hard,reasoning,combat-retreat-after-engagement.yaml,yes,no,fit,51,yes,yes,OK
combat-rocket-soldier-anti-vehicle,easy,reasoning,combat-rocket-soldier-anti-vehicle.yaml,yes,no,fit,51,yes,yes,OK
combat-rocket-soldier-anti-vehicle,medium,reasoning,combat-rocket-soldier-anti-vehicle.yaml,yes,no,fit,51,yes,yes,OK
combat-rocket-soldier-anti-vehicle,hard,reasoning,combat-rocket-soldier-anti-vehicle.yaml,yes,no,fit,41,yes,yes,OK
combat-skirmish-then-disengage,easy,action,combat-skirmish-then-disengage.yaml,yes,no,fit,52,yes,yes,OK
combat-skirmish-then-disengage,medium,action,combat-skirmish-then-disengage.yaml,yes,no,fit,52,yes,yes,OK
combat-skirmish-then-disengage,hard,action,combat-skirmish-then-disengage.yaml,yes,no,fit,52,yes,yes,OK
combat-stance-mgmt-attack,easy,action,combat-stance-mgmt-attack.yaml,yes,no,fit,60,yes,yes,OK
combat-stance-mgmt-attack,medium,action,combat-stance-mgmt-attack.yaml,yes,no,fit,60,yes,yes,OK
combat-stance-mgmt-attack,hard,action,combat-stance-mgmt-attack.yaml,yes,no,fit,60,yes,yes,OK
combat-suicide-charge-mission,easy,reasoning,combat-suicide-charge-mission.yaml,yes,no,fit,62,yes,yes,OK
combat-suicide-charge-mission,medium,reasoning,combat-suicide-charge-mission.yaml,yes,no,fit,73,yes,yes,OK
combat-suicide-charge-mission,hard,reasoning,combat-suicide-charge-mission.yaml,yes,no,fit,82,yes,yes,OK
combat-tank-vs-tank-engagement,easy,action,combat-tank-vs-tank-engagement.yaml,yes,no,fit,30,yes,yes,OK
combat-tank-vs-tank-engagement,medium,action,combat-tank-vs-tank-engagement.yaml,yes,no,fit,30,yes,yes,OK
combat-tank-vs-tank-engagement,hard,action,combat-tank-vs-tank-engagement.yaml,yes,no,fit,15,yes,yes,OK
combat-tanya-vs-rush,easy,action,combat-tanya-vs-rush.yaml,yes,yes,fit,30,yes,yes,OK
combat-tanya-vs-rush,medium,action,combat-tanya-vs-rush.yaml,yes,yes,fit,30,yes,yes,OK
combat-tanya-vs-rush,hard,action,combat-tanya-vs-rush.yaml,yes,yes,fit,30,yes,yes,OK
combat-target-priority-highvalue,easy,action,combat-target-priority-highvalue.yaml,yes,yes,fit,30,yes,yes,OK
combat-target-priority-highvalue,medium,action,combat-target-priority-highvalue.yaml,yes,yes,fit,30,yes,yes,OK
combat-target-priority-highvalue,hard,action,combat-target-priority-highvalue.yaml,yes,yes,fit,30,yes,yes,OK
combat-vehicle-vs-infantry-counter,easy,reasoning,combat-vehicle-vs-infantry-counter.yaml,yes,yes,fit,60,yes,yes,OK
combat-vehicle-vs-infantry-counter,medium,reasoning,combat-vehicle-vs-infantry-counter.yaml,yes,yes,fit,60,yes,yes,OK
combat-vehicle-vs-infantry-counter,hard,reasoning,combat-vehicle-vs-infantry-counter.yaml,yes,yes,fit,60,yes,yes,OK
coord-converge-on-target,easy,action,coord-converge-on-target.yaml,yes,no,fit,54,yes,yes,OK
coord-converge-on-target,medium,action,coord-converge-on-target.yaml,yes,no,fit,54,yes,yes,OK
coord-converge-on-target,hard,action,coord-converge-on-target.yaml,yes,no,fit,54,yes,yes,OK
coord-cover-and-move,easy,action,coord-cover-and-move.yaml,yes,yes,fit,50,yes,yes,OK
coord-cover-and-move,medium,action,coord-cover-and-move.yaml,yes,yes,fit,50,yes,yes,OK
coord-cover-and-move,hard,action,coord-cover-and-move.yaml,yes,yes,fit,50,yes,yes,OK
coord-diversionary-attack,easy,reasoning,coord-diversionary-attack.yaml,yes,yes,fit,62,yes,yes,OK
coord-diversionary-attack,medium,reasoning,coord-diversionary-attack.yaml,yes,yes,fit,62,yes,yes,OK
coord-diversionary-attack,hard,reasoning,coord-diversionary-attack.yaml,yes,yes,fit,62,yes,yes,OK
coord-mutual-support,easy,action,coord-mutual-support.yaml,yes,no,fit,75,yes,yes,OK
coord-mutual-support,medium,action,coord-mutual-support.yaml,yes,no,fit,75,yes,yes,OK
coord-mutual-support,hard,action,coord-mutual-support.yaml,yes,no,fit,75,yes,yes,OK
coord-relay-attack,easy,action,coord-relay-attack.yaml,yes,yes,fit,36,yes,yes,OK
coord-relay-attack,medium,action,coord-relay-attack.yaml,yes,yes,fit,45,yes,yes,OK
coord-relay-attack,hard,action,coord-relay-attack.yaml,yes,yes,fit,50,yes,yes,OK
coord-relay-vision-chain,easy,action,coord-relay-vision-chain.yaml,yes,no,fit,30,yes,yes,OK
coord-relay-vision-chain,medium,action,coord-relay-vision-chain.yaml,yes,no,fit,24,yes,yes,OK
coord-relay-vision-chain,hard,action,coord-relay-vision-chain.yaml,yes,no,fit,24,yes,yes,OK
coord-squad-handoff,easy,action,coord-squad-handoff.yaml,yes,no,fit,52,yes,yes,OK
coord-squad-handoff,medium,action,coord-squad-handoff.yaml,yes,no,fit,52,yes,yes,OK
coord-squad-handoff,hard,action,coord-squad-handoff.yaml,yes,no,fit,52,yes,yes,OK
coordination-ordered-rendezvous,easy,action,coordination-ordered-rendezvous.yaml,yes,no,fit,40,yes,yes,OK
coordination-ordered-rendezvous,medium,action,coordination-ordered-rendezvous.yaml,yes,no,fit,48,yes,yes,OK
coordination-ordered-rendezvous,hard,action,coordination-ordered-rendezvous.yaml,yes,no,fit,52,yes,yes,OK
coordination-staggered-window,easy,action,coordination-staggered-window.yaml,yes,no,fit,32,yes,yes,OK
coordination-staggered-window,medium,action,coordination-staggered-window.yaml,yes,no,fit,26,yes,yes,OK
coordination-staggered-window,hard,action,coordination-staggered-window.yaml,yes,no,fit,32,yes,yes,OK
custom-map-no-enemy,easy,perception,custom-map-no-enemy.yaml,yes,no,fit,14,yes,yes,OK
custom-map-no-enemy,medium,perception,custom-map-no-enemy.yaml,yes,no,fit,20,yes,yes,OK
custom-map-no-enemy,hard,perception,custom-map-no-enemy.yaml,yes,no,fit,22,yes,yes,OK
def-bridge-chokepoint,easy,action,def-bridge-chokepoint.yaml,yes,no,fit,35,yes,yes,OK
def-bridge-chokepoint,medium,action,def-bridge-chokepoint.yaml,yes,no,fit,40,yes,yes,OK
def-bridge-chokepoint,hard,action,def-bridge-chokepoint.yaml,yes,no,fit,45,yes,yes,OK
def-counter-battery,easy,reasoning,def-counter-battery.yaml,yes,yes,fit,30,yes,yes,OK
def-counter-battery,medium,reasoning,def-counter-battery.yaml,yes,yes,fit,30,yes,yes,OK
def-counter-battery,hard,reasoning,def-counter-battery.yaml,yes,yes,fit,30,yes,yes,OK
def-engineer-repair-under-fire,easy,action,def-engineer-repair-under-fire.yaml,yes,no,fit,50,yes,yes,OK
def-engineer-repair-under-fire,medium,action,def-engineer-repair-under-fire.yaml,yes,no,fit,50,yes,yes,OK
def-engineer-repair-under-fire,hard,action,def-engineer-repair-under-fire.yaml,yes,no,fit,50,yes,yes,OK
def-evacuation,easy,reasoning,def-evacuation.yaml,yes,no,fit,50,yes,yes,OK
def-evacuation,medium,reasoning,def-evacuation.yaml,yes,no,fit,50,yes,yes,OK
def-evacuation,hard,reasoning,def-evacuation.yaml,yes,no,fit,50,yes,yes,OK
def-in-depth-vs-single,easy,reasoning,def-in-depth-vs-single.yaml,yes,yes,fit,60,yes,yes,OK
def-in-depth-vs-single,medium,reasoning,def-in-depth-vs-single.yaml,yes,yes,fit,60,yes,yes,OK
def-in-depth-vs-single,hard,reasoning,def-in-depth-vs-single.yaml,yes,yes,fit,60,yes,yes,OK
def-in-depth,easy,reasoning,def-in-depth.yaml,yes,no,fit,110,yes,yes,OK
def-in-depth,medium,reasoning,def-in-depth.yaml,yes,no,fit,110,yes,yes,OK
def-in-depth,hard,reasoning,def-in-depth.yaml,yes,no,fit,110,yes,yes,OK
def-multi-direction,easy,reasoning,def-multi-direction.yaml,yes,no,large-trivial,50,yes,yes,MAP_LARGE_TRIVIAL
def-multi-direction,medium,reasoning,def-multi-direction.yaml,yes,no,large-trivial,50,yes,yes,MAP_LARGE_TRIVIAL
def-multi-direction,hard,reasoning,def-multi-direction.yaml,yes,no,large-trivial,50,yes,yes,MAP_LARGE_TRIVIAL
def-position-expected-direction,easy,reasoning,def-position-expected-direction.yaml,yes,no,fit,66,yes,yes,OK
def-position-expected-direction,medium,reasoning,def-position-expected-direction.yaml,yes,no,fit,66,yes,yes,OK
def-position-expected-direction,hard,reasoning,def-position-expected-direction.yaml,yes,no,wide,66,yes,yes,MAP_WIDE
def-position-revealed-direction,easy,reasoning,def-position-revealed-direction.yaml,yes,no,fit,66,yes,yes,OK
def-position-revealed-direction,medium,reasoning,def-position-revealed-direction.yaml,yes,no,fit,66,yes,yes,OK
def-position-revealed-direction,hard,reasoning,def-position-revealed-direction.yaml,yes,no,fit,66,yes,yes,OK
def-pre-position-mobile-reserve,easy,reasoning,def-pre-position-mobile-reserve.yaml,yes,no,fit,50,yes,yes,OK
def-pre-position-mobile-reserve,medium,reasoning,def-pre-position-mobile-reserve.yaml,yes,no,fit,50,yes,yes,OK
def-pre-position-mobile-reserve,hard,reasoning,def-pre-position-mobile-reserve.yaml,yes,no,fit,50,yes,yes,OK
def-reinforce-the-breach,easy,action,def-reinforce-the-breach.yaml,yes,no,fit,40,yes,yes,OK
def-reinforce-the-breach,medium,action,def-reinforce-the-breach.yaml,yes,no,fit,40,yes,yes,OK
def-reinforce-the-breach,hard,action,def-reinforce-the-breach.yaml,yes,no,fit,30,yes,yes,OK
def-retreat-and-rebuild,easy,reasoning,def-retreat-and-rebuild.yaml,yes,no,fit,60,yes,yes,OK
def-retreat-and-rebuild,medium,reasoning,def-retreat-and-rebuild.yaml,yes,no,fit,60,yes,yes,OK
def-retreat-and-rebuild,hard,reasoning,def-retreat-and-rebuild.yaml,yes,no,fit,60,yes,yes,OK
def-stance-mgmt-hold-then-attack,easy,action,def-stance-mgmt-hold-then-attack.yaml,yes,no,fit,55,yes,yes,OK
def-stance-mgmt-hold-then-attack,medium,action,def-stance-mgmt-hold-then-attack.yaml,yes,no,fit,55,yes,yes,OK
def-stance-mgmt-hold-then-attack,hard,action,def-stance-mgmt-hold-then-attack.yaml,yes,no,fit,55,yes,yes,OK
def-surprise-flank-react,easy,reasoning,def-surprise-flank-react.yaml,yes,yes,fit,50,yes,yes,OK
def-surprise-flank-react,medium,reasoning,def-surprise-flank-react.yaml,yes,yes,fit,50,yes,yes,OK
def-surprise-flank-react,hard,reasoning,def-surprise-flank-react.yaml,yes,yes,fit,50,yes,yes,OK
def-tower-line-vs-cluster,easy,reasoning,def-tower-line-vs-cluster.yaml,yes,yes,fit,60,yes,yes,OK
def-tower-line-vs-cluster,medium,reasoning,def-tower-line-vs-cluster.yaml,yes,yes,fit,60,yes,yes,OK
def-tower-line-vs-cluster,hard,reasoning,def-tower-line-vs-cluster.yaml,yes,yes,fit,70,yes,yes,OK
def-walls-vs-towers,easy,reasoning,def-walls-vs-towers.yaml,yes,yes,fit,60,yes,yes,OK
def-walls-vs-towers,medium,reasoning,def-walls-vs-towers.yaml,yes,yes,fit,60,yes,yes,OK
def-walls-vs-towers,hard,reasoning,def-walls-vs-towers.yaml,yes,yes,fit,60,yes,yes,OK
def-while-building,easy,reasoning,def-while-building.yaml,yes,yes,fit,60,yes,yes,OK
def-while-building,medium,reasoning,def-while-building.yaml,yes,yes,fit,60,yes,yes,OK
def-while-building,hard,reasoning,def-while-building.yaml,yes,yes,fit,60,yes,yes,OK
def-with-ambush,easy,reasoning,def-with-ambush.yaml,yes,no,fit,50,yes,yes,OK
def-with-ambush,medium,reasoning,def-with-ambush.yaml,yes,no,fit,50,yes,yes,OK
def-with-ambush,hard,reasoning,def-with-ambush.yaml,yes,no,fit,50,yes,yes,OK
defense-rush-survive,easy,reasoning,defense-rush-survive.yaml,yes,no,fit,60,yes,yes,OK
defense-rush-survive,medium,reasoning,defense-rush-survive.yaml,yes,no,fit,60,yes,yes,OK
defense-rush-survive,hard,reasoning,defense-rush-survive.yaml,yes,no,fit,60,yes,yes,OK
econ-burn-rate-management,easy,reasoning,econ-burn-rate-management.yaml,yes,yes,fit,14,yes,yes,OK
econ-burn-rate-management,medium,reasoning,econ-burn-rate-management.yaml,yes,yes,fit,12,yes,yes,OK
econ-burn-rate-management,hard,reasoning,econ-burn-rate-management.yaml,yes,yes,fit,11,yes,yes,OK
econ-buy-vs-build-decision,easy,reasoning,econ-buy-vs-build-decision.yaml,yes,no,fit,25,yes,yes,OK
econ-buy-vs-build-decision,medium,reasoning,econ-buy-vs-build-decision.yaml,yes,no,fit,25,yes,yes,OK
econ-buy-vs-build-decision,hard,reasoning,econ-buy-vs-build-decision.yaml,yes,no,fit,25,yes,yes,OK
econ-cash-reserve-management,easy,reasoning,econ-cash-reserve-management.yaml,yes,yes,fit,60,yes,yes,OK
econ-cash-reserve-management,medium,reasoning,econ-cash-reserve-management.yaml,yes,yes,fit,10,yes,yes,OK
econ-cash-reserve-management,hard,reasoning,econ-cash-reserve-management.yaml,yes,yes,fit,12,yes,yes,OK
econ-contention-with-enemy,easy,reasoning,econ-contention-with-enemy.yaml,yes,no,fit,61,yes,yes,OK
econ-contention-with-enemy,medium,reasoning,econ-contention-with-enemy.yaml,yes,no,fit,61,yes,yes,OK
econ-contention-with-enemy,hard,reasoning,econ-contention-with-enemy.yaml,yes,no,fit,61,yes,yes,OK
econ-contested-expansion,easy,reasoning,econ-contested-expansion.yaml,yes,no,fit,45,yes,yes,OK
econ-contested-expansion,medium,reasoning,econ-contested-expansion.yaml,yes,no,fit,45,yes,yes,OK
econ-contested-expansion,hard,reasoning,econ-contested-expansion.yaml,yes,no,fit,45,yes,yes,OK
